,,,,
1,,NapIes,1917,5
2,,켈미,1898,5
3,,신녀,1893,5
4,,체페시,1889,5
5,,강강술술,1875,5
6,,구공레이디,1860,5
7,,silo,1851,5
8,,남천,1850,5
9,,파초선,1849,5
10,,Reilz,1840,5
11,,dlfwls,1837,5
12,,워보스,1837,5
13,,개킹받쥬,1823,5
14,,Vishnu,1807,5
15,,바다의사랑,1804,5
16,,아리아드,1798,5
17,,Devas,1797,5
18,,커럽,1752,5
19,,yh창병,1693,5
20,,잔댜르크,1669,5
21,,임나엘,1669,5
22,,Brahma,1666,5
23,,강술전용버프켈,1661,5
24,,강술전용시머링,1656,5
25,,영술이긔,1652,5
26,,천도패왕,1625,5
27,,Celebrity,1621,5
28,,신기운,1621,5
29,,우치하강술이,1618,5
30,,연연술술,1616,5
31,,타락한강술,1602,5
32,,지크하트,1592,5
33,,엘카궁사,1582,5
34,,최온,1563,5
35,,liillililililili,1563,5
36,,Gunpowder,1558,5
37,,갓무도가,1556,5
38,,체리빙수,1547,5
39,,행복회로,1543,5
40,,혈색,1541,5
41,,뿌잉뽀잉,1540,5
42,,덥크,1537,5
43,,s세라s,1536,5
44,,먀옹,1529,5
45,,녹백,1519,5
46,,적치,1518,5
47,,원념,1515,5
48,,윤건이,1515,5
49,,팬데믹,1512,5
50,,화신왕,1510,5
