,職業,キャラクター,レベル,ポイント
1,n9,Deadly,1462,34168
2,n12,오리,2046,31998
3,n10,운좋은고양이,2038,28676
4,n0,산타루치노,2040,23127
5,n8,다누리,1835,22973
6,n19,길선미,2050,22018
7,n2,뉴삼총사,1895,21786
8,n8,이치키,2035,21060
9,n2,감자고구마,2031,18535
10,n0,운정리파괴자,2021,17999
11,n22,리퍼지크,2040,17628
12,n14,결제가아니라결재,2038,17569
13,n14,마악마,2007,17175
14,n20,전여친,2000,17032
15,n1,Guan_Yu,1459,16425
16,n7,와니천사,2002,15768
17,n16,웅치키,2048,15480
18,n7,_천상,1256,15359
19,n8,민쏘쏘,2000,15309
20,n22,물련금,2000,15072
21,n8,주악꾸악주의,2031,14499
22,n8,HOOT,2014,14312
23,n24,얌시선장,2000,14286
24,n8,샤또지마,1971,14123
25,n2,지옥불_,2000,14051
26,n9,숑숑이활쏜다,2044,13977
27,n8,보찌,2020,13797
28,n0,여체1,2032,13620
29,n20,웅치킨,2022,13461
30,n10,v1p1최강의조련사,882,13075
31,n7,금돌,2007,12854
32,n20,등치,2025,12743
33,n3,버닝12,2000,12670
34,n22,슈퍼파워연금,2000,12260
35,n2,망파,2000,12136
36,n20,뱌이,2012,12051
37,n8,맹밍,2028,11888
38,n25,짱친,2019,11880
39,n7,명량해전,2023,11829
40,n15,리촹,2011,11797
41,n7,기억해사랑해,1262,11740
42,n4,인생_콜전용,1714,11597
43,n19,차우니,1952,11528
44,n0,헤독,2017,11416
45,n8,스마트무빙,1985,11257
46,n18,사학광학사,1604,11190
47,n8,아려니,2021,11172
48,n9,maya,923,11136
49,n10,빠칸,2011,11076
50,n2,멋진숑숑이,2036,11063
51,n2,리트군,1304,10991
52,n10,장찬미,1862,10799
53,n10,Dark다모,2011,10793
54,n7,잇섭,2014,10725
55,n4,응묵,2000,10534
56,n13,응식이,2000,10394
57,n9,빨쿠,2012,10342
58,n9,나를찾지마,2011,10306
59,n12,S2조자룡,1411,10306
60,n8,Lo또,2000,10206
61,n2,SeungEE,2000,10180
62,n22,쇼팬,2050,10165
63,n19,쿠키돈먹음,2022,10120
64,n3,파이오니아,1923,10075
65,n8,잼쿠,2016,9841
66,n20,유이퐁,2001,9823
67,n21,핼버드,2000,9819
68,n7,묵꼼,1845,9810
69,n13,주공주,1436,9806
70,n19,리정인,2015,9745
71,n20,MILKMAID,1992,9740
72,n8,한우육회,2000,9717
73,n8,vvvvvvvvvvvvv,1747,9647
74,n8,죽어줄래,2030,9604
75,n10,투언,1918,9560
76,n14,앙루삥뽕,2000,9428
77,n25,우측,1420,9403
78,n7,D여비,2000,9301
79,n23,Gift_,1989,9282
80,n7,장은일,2000,9249
81,n4,무드리치,2000,9186
82,n8,심판,2027,9172
83,n0,없노,1808,9154
84,n8,Hwal,1795,9117
85,n0,Trudy,1985,9107
86,n8,스카이부동산,2000,8909
87,n0,배스낚시,1514,8708
88,n3,꽝뚜,1994,8700
89,n7,스와코프,2019,8675
90,n8,통통햄찌,1948,8670
91,n25,해선,2000,8657
92,n20,지죤,2000,8648
93,n21,이창원,2000,8622
94,n0,화이어,708,8600
95,n9,지긋이창,2000,8567
96,n8,Mikasa,2000,8549
97,n13,반짝반짝작은별,1917,8549
98,n10,죽일련,1417,8462
99,n20,아모튼,2000,8455
100,n13,너키,2005,8441
