,職業,キャラクター,レベル,ポイント
1,n9,Deadly,1462,34168
2,n12,오리,2047,33996
3,n10,운좋은고양이,2041,30069
4,n0,산타루치노,2047,25526
5,n19,길선미,2052,24029
6,n8,다누리,1835,22973
7,n8,이치키,2038,22713
8,n2,뉴삼총사,1897,21823
9,n2,감자고구마,2031,20278
10,n14,결제가아니라결재,2044,20102
11,n14,마악마,2009,18929
12,n17,웅치키,2061,18556
13,n0,운정리파괴자,2021,17999
14,n20,전여친,2000,17905
15,n22,리퍼지크,2040,17628
16,n8,주악꾸악주의,2032,16459
17,n1,Guan_Yu,1459,16425
18,n6,와니천사,2002,15900
19,n9,숑숑이활쏜다,2049,15888
20,n7,_천상,1257,15359
21,n8,민쏘쏘,2000,15309
22,n22,물련금,2000,15072
23,n0,여체1,2033,14748
24,n8,HOOT,2014,14478
25,n24,얌시선장,2000,14286
26,n8,샤또지마,1971,14123
27,n2,지옥불_,2000,14051
28,n8,보찌,2020,13797
29,n20,등치,2028,13639
30,n20,뱌이,2012,13512
31,n20,웅치킨,2022,13461
32,n10,v1p1최강의조련사,882,13075
33,n7,금돌,2007,12856
34,n19,쿠키돈먹음,2031,12757
35,n2,멋진숑숑이,2042,12751
36,n9,빨쿠,2013,12708
37,n3,버닝12,2000,12670
38,n7,명량해전,2023,12514
39,n8,맹밍,2030,12275
40,n22,슈퍼파워연금,2000,12260
41,n2,망파,2000,12136
42,n25,짱친,2019,12083
43,n15,리촹,2011,11798
44,n10,Dark다모,2011,11748
45,n7,기억해사랑해,1262,11740
46,n4,인생_콜전용,1714,11597
47,n8,아려니,2026,11533
48,n19,차우니,1952,11528
49,n0,헤독,2017,11416
50,n10,장찬미,1879,11398
51,n8,스마트무빙,1985,11257
52,n18,사학광학사,1604,11190
53,n9,잼쿠,2017,11166
54,n8,maya,924,11136
55,n10,빠칸,2011,11076
56,n22,쇼팬,2050,10993
57,n2,리트군,1304,10991
58,n25,우측,1421,10894
59,n7,잇섭,2014,10725
60,n10,투언,1946,10573
61,n4,응묵,2000,10534
62,n7,스와코프,2027,10420
63,n13,응식이,2000,10394
64,n9,나를찾지마,2011,10306
65,n12,S2조자룡,1411,10306
66,n20,MILKMAID,2000,10262
67,n25,해선,2000,10206
68,n8,Lo또,2000,10206
69,n2,SeungEE,2000,10180
70,n3,파이오니아,1923,10075
71,n20,핼버드,2000,9953
72,n20,아모튼,2000,9926
73,n8,통통햄찌,1987,9925
74,n20,유이퐁,2001,9823
75,n7,묵꼼,1845,9810
76,n13,주공주,1436,9806
77,n19,리정인,2015,9745
78,n19,다이신,2000,9741
79,n8,한우육회,2000,9717
80,n8,vvvvvvvvvvvvv,1747,9647
81,n8,죽어줄래,2030,9604
82,n8,심판,2027,9531
83,n14,앙루삥뽕,2000,9428
84,n7,D여비,2000,9301
85,n23,Gift_,1989,9282
86,n7,장은일,2000,9249
87,n4,무드리치,2000,9186
88,n0,없노,1808,9154
89,n10,죽일련,1418,9134
90,n22,llIIllIllIlll,1491,9133
91,n8,Hwal,1795,9117
92,n0,Trudy,1985,9107
93,n2,샌라이,1674,9047
94,n23,레오파,2000,8986
95,n10,연주가,2000,8956
96,n8,스카이부동산,2000,8909
97,n0,칼질하지마,2017,8872
98,n25,김치련,1369,8859
99,n25,흑인이싸면깜찍,1369,8828
100,n0,배스낚시,1514,8708
