,職業,キャラクター,レベル,ポイント
1,n16,악귀멸살,1265,353632357
2,n22,내일만사는아이,1529,353567813
3,n10,Beats,721,345899048
4,n8,신궁니르,1275,344129672
5,n0,토끼왕,1249,340590604
6,n8,한카리아스,1290,336527598
7,n7,임나엘,1766,333851409
8,n9,먀옹,1596,333390727
9,n23,금모으기운동,1533,330893433
10,n8,찰슨,1823,327159520
11,n16,쥬금이_영,1294,324141268
12,n5,베드로전서,81,323158039
13,n2,아르망디,1456,321193459
14,n19,Devas,1859,320941516
15,n23,꾸꾸아비,933,317063450
16,n24,좀이쁜닉네임,1513,315361976
17,n23,꾸꾸어머니,922,313852191
18,n11,LakShmi,1569,308614383
19,n20,딥스롯,1469,307759465
20,n9,뿌잉뽀잉,1808,304288064
21,n9,뚫어드림,1670,300358859
22,n15,강강술술,1954,299642633
23,n2,배고픈강아지,1409,299369564
24,n22,탕진,1263,282984456
25,n0,소울_파이터,1270,282132800
26,n9,구공레이디,1950,281423347
27,n7,숫찰떡,1560,280824003
28,n19,고덕규,1260,275447903
29,n2,쥬금이___,1457,273024664
30,n0,녹백,1577,271916063
31,n8,봄날의햇살,1264,271122510
32,n22,IlIlIIllllIIlIlI,1400,270468057
33,n1,3002,495,267845642
34,n13,윙첼,1708,265163600
35,n5,구원받지못한자들,1378,257754181
36,n9,신녀,2000,257436509
37,n9,궁수태,1240,251658248
38,n20,NapIes,2000,249904729
39,n8,yh창병,1923,246749328
40,n7,혼란,1440,245697594
41,n12,체페시,1992,238036681
42,n24,셩님,1467,233571350
43,n6,도핑왕,335,231276547
44,n21,파초선,1956,230500661
45,n2,그냥보조캐릭터,1623,229706759
46,n8,꾸꾸킹,1413,229048952
47,n1,CrimsonKnight,1697,227610149
48,n16,영술이긔,1681,221906263
49,n1,돈키오테,1223,221380614
50,n8,독고다이류,1443,209978304
51,n7,현율,1288,200081635
52,n1,강술전용시머링,1753,195437339
53,n7,개킹받쥬,1888,193210368
54,n16,최온,1680,190983195
55,n6,화려한춤시위a,1396,189072084
56,n11,핫식스포스,1575,188286335
57,n23,심야괴담회,1309,184746874
58,n19,커럽,1918,178465199
59,n3,Vishnu,1875,175122225
60,n7,노예페티쉬,998,172425278
61,n10,평화의행진곡,1518,169217689
62,n8,silo,1885,158277090
63,n8,켈미,1998,155726430
64,n7,스껄,1370,143393880
65,n10,때찌하는율,946,122617863
66,n8,제마,1403,119275947
67,n4,제마데카,1312,117702895
68,n5,양버들,212,111673357
69,n5,지도캐자,89,103022620
70,n18,단건우,1345,91358278
71,n4,s세라s,1729,75762559
72,n19,강술전용버프켈,1759,73870080
73,n8,어푸,1181,68288524
74,n2,아모르_법사,1324,68092129
75,n5,타락한강술,1649,62136135
76,n10,쪼맨,906,45613119
77,n9,아이돈Know유,1412,20251435
78,n12,봉선생,1491,21673
79,n10,핑크펄,1132,18852
80,n8,바다의사랑,1804,14678
81,n4,q주몽p,856,9755
82,n9,얼짱소녀,763,9121
83,n23,덥크,1597,9096
84,n2,1004대장,756,9072
85,n23,liillililililili,1626,8966
86,n23,연연술술,1655,8754
87,n7,우치하강술이,1651,8414
88,n16,잔댜르크,1843,7511
89,n5,혈색,1602,7489
90,n8,Polaris,1358,7484
91,n5,Brahma,1847,7098
92,n4,지화자뉴달봉,1354,6910
93,n10,버디와친구들,1491,6844
94,n8,아리아드,1851,6728
95,n14,적치,1586,6699
96,n11,환락가,1486,6567
97,n6,서랍속통닭,1289,6559
98,n2,버비야,1333,6543
99,n0,Reilz,1911,6453
100,n0,이쁜아2,1258,6078
