,職業,キャラクター,レベル,ポイント
1,n7,숫찰떡,1361,1065
2,n24,좀이쁜닉네임,1348,799
3,n9,미러미어미어미러,1348,665
4,n20,딥스롯,1302,606
5,n12,딥쓰롯,1294,566
6,n1,익플,1344,534
7,n23,심야괴담회,1272,465
8,n19,아침양,1277,254
9,n19,수인수,1289,163
10,n6,The_라온,1302,148
11,n22,마초조밥,1274,106
12,n23,꾸금,1309,100
13,n8,다니,1307,93
14,n4,캥카,1313,89
15,n16,쥬금이_영,1273,88
16,n12,뿌바오,1303,87
17,n10,밤조련,1309,78
18,n22,쌍천,1262,78
19,n19,가르텐,1280,77
20,n0,견최,1251,66
21,n9,함만봐주세요,1281,58
22,n0,소드아이스,1006,55
23,n10,질드레후작,1267,48
24,n24,부선장,919,44
25,n19,Dior_깜냥이,1257,43
26,n10,빛의어린이,1300,41
27,n4,흩날리는풀,1253,36
28,n20,밤의노예,1192,33
29,n20,쥐메,1265,30
30,n20,언니무쌍,1302,25
31,n5,달봉1,84,24
32,n5,dlqps7,70,24
33,n19,수인아렐,934,23
34,n23,초보,1259,22
35,n9,여름의기억,1266,21
36,n5,달봉5,73,21
37,n5,dlqps2,70,21
38,n5,클로1,68,21
39,n15,양의침묵,1263,20
40,n7,물주먹,1253,20
41,n22,그릇된정의a,1188,20
42,n22,빛탕,892,20
43,n5,dlqps5,73,19
44,n5,끌로5,68,19
45,n5,dlqps21,85,18
46,n5,달봉3,80,18
47,n5,dlqps3,80,18
48,n5,dlqps11,79,17
49,n19,찰슨_수,1256,16
50,n5,dlqps12,78,16
50,n5,dlqps9,78,16
52,n5,dlqps6,73,16
53,n5,dlqps1,70,16
54,n18,즐리어스_Jr시스,681,15
55,n5,dlqps18,82,15
56,n5,이두삼두호날두,79,15
57,n5,dlqps14,75,15
58,n5,dlqps15,69,15
59,n10,고집불통,1258,14
60,n14,강강슐슐,1252,14
61,n7,노가다목장갑,1250,14
62,n3,오늘만키운아이,892,14
63,n20,빛메이,805,14
64,n5,달봉4,73,14
65,n5,dlqps19,73,14
66,n20,다이슨a,1253,13
67,n20,일등,1251,13
68,n4,퓨른빛,957,13
69,n12,2024년04월18일,102,13
70,n5,dlqps4,82,13
71,n5,달봉7,75,13
72,n5,dlqps22,75,13
73,n22,흑염사,915,12
74,n22,명도의길,901,12
75,n22,허울의성,896,12
76,n5,dlqps10,68,12
77,n0,한발짝두발짝a,1251,11
78,n10,피리리제,1250,11
79,n0,오늘하루만더,904,11
80,n5,달봉6,74,11
81,n5,달봉2,62,11
82,n5,끌로3,60,11
83,n15,꾸악사,1260,10
84,n7,뇌전뇌전,1253,10
85,n15,빛꾸,762,10
86,n8,아니그러지마,639,10
87,n5,dlqps23,81,10
88,n5,클로7,71,10
89,n5,클로6,58,10
90,n11,핫식스포스,1259,9
91,n8,토니워커,1253,9
92,n22,자유로운아이,1252,9
93,n10,제주사랑jk,923,9
94,n7,워싱토니,908,9
95,n1,빛순,885,9
96,n5,dlqps17,68,9
97,n22,비바라비다a,1260,8
98,n20,허당,1250,8
99,n2,극음기,1250,8
100,n5,구원받지못한자들,1162,8
