,職業,キャラクター,レベル,ポイント
1,n9,insunsky,1730,17528
2,n10,천마신녀,1671,14652
3,n9,고운비,867,12654
4,n2,레드마인,1676,11112
5,n0,자연의마신,1512,10172
6,n9,test_1,853,9841
7,n10,윤형석,2021,9687
8,n4,의사면허정지,2021,9590
9,n2,다크루비,895,9400
10,n4,샤비o,1669,9358
11,n6,DestinyHERO2,2009,8373
12,n8,유드로얄,726,7616
13,n16,공약,2018,7536
14,n2,댕아,2031,7428
15,n1,폭한,2011,7409
16,n1,차도살인,1159,7400
17,n6,마카오박,761,7379
18,n10,뽀로로유치원,2018,7179
19,n4,홀리데인로마,2010,7085
20,n5,리에스,917,6936
21,n2,우르햄,2005,6587
22,n10,송그림,1879,6511
23,n24,Piracy,2030,6385
24,n6,gojyosatoru,2013,6138
25,n1,sdfsfsdf,1764,6068
26,n9,달빛바람v,1807,6058
27,n8,오데트,2000,6026
28,n1,뜨거운형제,1926,5878
29,n4,O___Oa,2005,5821
30,n0,Vaga_Bond,711,5821
31,n8,가품,2022,5765
32,n8,아리검,2024,5716
33,n1,뭐이새기야,1438,5478
34,n4,의사면허취소,2006,5294
35,n9,명궁revis,828,5094
36,n1,천국의기사1,1461,5067
37,n0,노을산마루,752,5057
38,n0,별이랑사,2000,5013
39,n20,지금니순간,2005,4989
40,n20,눈꽃잎,1714,4953
41,n9,무대뽀걸,1903,4923
42,n0,BeautifulLife,868,4809
43,n0,친구란두글자,954,4626
44,n10,꼬마여우_JM,748,4588
45,n19,김인성2,1806,4539
46,n19,료네,2006,4479
47,n4,홀__리,1892,4427
48,n19,결점,2037,4327
49,n15,블러드체페쉬,2013,4295
50,n10,수성용,2002,4291
51,n21,엔도르시,1990,4187
52,n8,윈도우걸,874,4180
53,n7,핑크블루,2012,4144
54,n8,힘을숨긴궁수,1891,4120
55,n0,타락한gg기사,878,4036
56,n0,멜로우키스,873,4036
57,n7,동관상사,867,3767
58,n9,Browns궁수,1460,3762
59,n10,혈마여련사,965,3707
60,n4,Twitter,1974,3585
61,n0,샷아빠,946,3525
62,n10,xKira,734,3458
63,n3,코울슬로,1667,3449
64,n10,이양_조련,806,3409
65,n13,거치른이쁜걸,844,3357
66,n24,xxXxXxx,2019,3333
67,n2,BTS_RapMonster,1960,3329
68,n2,라꿍이랑,1994,3295
69,n2,황제나라짱,761,3269
70,n9,상콤발랄,855,3261
71,n2,hong2,421,3179
72,n9,여전사도성,931,3164
73,n1,징한아이,928,3124
74,n6,블론드,1759,3116
75,n20,민소매,1376,3070
76,n11,예쁜누님,976,3069
77,n4,_Taric_,1669,3020
78,n0,김새봄,781,2969
79,n1,퍼펙트챔피언,1382,2954
80,n9,JNS마창,1946,2944
81,n10,미워할수없는존재,714,2927
82,n8,포세이돈의딸,1733,2925
83,n0,잭니클라우스,1296,2923
84,n2,?0firdoqwucfeki,517,2908
85,n1,파괴의신념,1501,2881
86,n19,에넬,1961,2872
87,n7,아르로미토스,2024,2870
88,n4,_천도_,1951,2867
89,n10,윈드에로우,909,2823
90,n2,아룡,705,2813
91,n4,철퇴로니뚝배기를,1514,2790
92,n8,현아사랑v,2001,2784
93,n4,라크_레크레이셔,2000,2778
94,n1,칸황,1393,2746
95,n15,Tosihiro,1961,2694
96,n0,배리본즈,800,2688
97,n3,모뉴엘,1400,2640
98,n0,천황성,1049,2598
99,n13,야채빵아,1990,2548
100,n13,혁이아빠,2000,2540
