,職業,キャラクター,レベル,ポイント
1,n8,Deadly,1436,34160
2,n8,다누리,1828,22913
3,n2,뉴삼총사,1854,21542
4,n11,운좋은고양이,2000,17476
5,n1,Guan_Yu,1459,16425
6,n7,_천상,1109,15355
7,n20,전여친,1826,14982
8,n12,오리,2000,14326
9,n8,민쏘쏘,1985,14319
10,n8,샤또지마,1907,13952
11,n23,물련금,1923,13076
12,n10,v1p1최강의조련사,882,13075
13,n7,금돌,2000,12445
14,n6,와니천사,1567,12346
15,n7,기억해사랑해,1262,11740
16,n24,얌시선장,1954,11718
17,n4,인생_콜전용,1714,11597
18,n3,지옥불_,1868,11344
19,n14,마악마,1917,11193
20,n8,maya,920,11136
21,n8,스마트무빙,1975,11135
22,n2,리트군,1304,10991
23,n0,운정리파괴자,1990,10715
24,n0,산타루치노,1917,10457
25,n12,S2조자룡,1411,10306
26,n0,헤독,2000,9844
27,n7,묵꼼,1843,9805
28,n8,vvvvvvvvvvvvv,1747,9647
29,n3,파이오니아,1812,9260
30,n4,무드리치,2000,9184
31,n8,나를찾지마,2000,8985
32,n20,MILKMAID,1889,8739
33,n18,사학광학사,1386,8729
34,n0,화이어,708,8600
35,n13,반짝반짝작은별,1912,8548
36,n8,가행건부,1772,8390
37,n4,삿제,1344,8361
38,n0,없노,1786,8249
39,n2,SeungEE,1916,8117
40,n8,아려니,1987,8098
41,n24,부선장,1340,8069
42,n8,HOOT,1965,7969
43,n9,Hwal,1759,7934
44,n23,돌아온연금,2000,7920
45,n3,버닝12,1865,7892
46,n6,투컷,1276,7888
47,n8,이치키,2000,7729
48,n20,유이퐁,1905,7409
49,n19,길선미,2000,7398
50,n6,깐지데쓰,899,7313
51,n0,배스낚시,1463,7167
52,n21,핼버드,1683,7071
53,n2,오사카_유니버셜,1364,7069
54,n0,하늘이다,904,7020
55,n20,SolarFlare,1982,6947
56,n8,지긋이창,1937,6912
57,n2,천상마법지존,774,6904
58,n4,1____M,1905,6783
59,n8,페르파,1809,6774
60,n12,주공주,1342,6766
61,n12,춰콜릿,1890,6708
62,n16,씽긋,1743,6700
63,n7,명량해전,1977,6686
64,n8,Lo또,1916,6656
65,n9,귓볼탱탱,1395,6560
66,n2,감자고구마,2000,6552
67,n19,리정인,2000,6407
68,n14,효됴르원펀치,1378,6397
69,n9,신민아이유인나,1812,6389
70,n6,리치골드,601,6310
71,n13,너키,1922,6239
72,n23,앙금술사,2000,6198
73,n7,잇섭,1881,6182
74,n4,선비타천,1262,6095
75,n8,양갱수리,1967,6077
76,n23,Gift_,1888,6033
77,n20,일단믿어봐,1730,5992
78,n19,오랜방황의끝,1926,5961
79,n1,넌내꼬,1281,5855
80,n16,뛰낀,1839,5806
81,n22,리퍼지크,2000,5731
82,n6,오I톨0l,873,5692
83,n8,여교사,1644,5683
84,n7,모다모다,2000,5649
85,n7,김이준,1778,5557
86,n19,한맹수인,1286,5522
87,n12,PPSWW,1748,5517
88,n19,너랭이,1928,5508
89,n14,멜론플레이어,1323,5433
90,n2,나는농부입니다,1846,5375
91,n13,무빙스피릿,1978,5337
92,n4,무기없는잇터님,2000,5254
93,n24,이순신민아이유,1904,5209
94,n1,Trudy,1891,5198
95,n19,Doncic,1779,5144
96,n18,쿠키돈먹음,2000,5136
97,n12,얘린,1776,5130
98,n20,디아볼릭,1686,5113
99,n8,유로폼,1990,5107
100,n22,이사건은내가맡죠,917,4988
