,職業,キャラクター,レベル,ポイント
1,n8,Deadly,1436,34160
2,n8,다누리,1821,22913
3,n2,뉴삼총사,1835,21459
4,n11,운좋은고양이,1986,17286
5,n1,Guan_Yu,1459,16425
6,n7,_천상,1109,15355
7,n20,전여친,1783,14891
8,n8,샤또지마,1887,13829
9,n8,민쏘쏘,1945,13672
10,n10,v1p1최강의조련사,882,13075
11,n12,오리,2000,12891
12,n23,물련금,1882,12487
13,n6,와니천사,1490,12001
14,n7,금돌,1958,11939
15,n7,기억해사랑해,1262,11740
16,n4,인생_콜전용,1714,11597
17,n24,얌시선장,1904,11176
18,n8,maya,920,11136
19,n2,리트군,1304,10991
20,n3,지옥불_,1810,10908
21,n8,스마트무빙,1936,10748
22,n15,마악마,1866,10553
23,n12,S2조자룡,1411,10306
24,n0,산타루치노,1874,10249
25,n1,운정리파괴자,1941,10012
26,n7,묵꼼,1843,9805
27,n8,vvvvvvvvvvvvv,1747,9647
28,n0,헤독,1992,9561
29,n3,파이오니아,1787,9260
30,n4,무드리치,1973,8743
31,n0,화이어,708,8600
32,n20,MILKMAID,1847,8541
33,n13,반짝반짝작은별,1899,8518
34,n9,가행건부,1771,8390
35,n19,사학광학사,1378,8342
36,n8,나를찾지마,1973,8334
37,n4,삿제,1341,7982
38,n0,없노,1776,7977
39,n6,투컷,1259,7869
40,n23,돌아온연금,1992,7775
41,n24,부선장,1337,7723
42,n9,Hwal,1750,7714
43,n8,아려니,1943,7587
44,n2,SeungEE,1878,7552
45,n19,길선미,2000,7395
46,n3,버닝12,1837,7353
47,n6,깐지데쓰,899,7313
48,n8,HOOT,1916,7305
49,n21,핼버드,1683,7071
50,n0,하늘이다,904,7020
51,n0,배스낚시,1456,6996
52,n2,천상마법지존,774,6904
53,n8,이치키,1981,6891
54,n2,오사카_유니버셜,1363,6791
55,n8,페르파,1809,6774
56,n12,춰콜릿,1877,6706
57,n16,씽긋,1742,6700
58,n20,유이퐁,1854,6684
59,n20,SolarFlare,1951,6436
60,n4,1____M,1865,6436
61,n12,주공주,1339,6431
62,n19,리정인,2000,6407
63,n15,효됴르원펀치,1378,6395
64,n9,신민아이유인나,1812,6389
65,n6,리치골드,601,6310
66,n9,지긋이창,1910,6262
67,n9,귓볼탱탱,1386,6241
68,n7,명량해전,1925,6186
69,n4,선비타천,1262,6095
70,n8,Lo또,1903,6083
71,n13,너키,1896,6010
72,n20,일단믿어봐,1730,5992
73,n1,넌내꼬,1273,5854
74,n2,감자고구마,1943,5835
75,n16,뛰낀,1839,5794
76,n23,앙금술사,1958,5782
77,n6,오I톨0l,873,5692
78,n19,오랜방황의끝,1889,5624
79,n7,잇섭,1828,5598
80,n19,한맹수인,1286,5522
81,n12,PPSWW,1748,5517
82,n23,Gift_,1854,5516
83,n8,양갱수리,1918,5486
84,n14,멜론플레이어,1323,5433
85,n7,모다모다,1983,5397
86,n7,김이준,1768,5378
87,n2,나는농부입니다,1826,5222
88,n19,Doncic,1779,5144
89,n12,얘린,1776,5127
90,n20,디아볼릭,1686,5113
91,n19,너랭이,1886,5102
92,n9,여교사,1613,4994
93,n22,이사건은내가맡죠,917,4988
94,n0,강원마미,706,4953
95,n2,다식한고양이,1501,4941
96,n8,보찌,1861,4904
97,n24,이순신민아이유,1883,4897
98,n13,무빙스피릿,1938,4878
99,n4,무기없는잇터님,1972,4863
100,n4,칼로츠,1420,4840
