,職業,キャラクター,レベル,ポイント
1,n8,Deadly,1436,34160
2,n8,다누리,1822,22913
3,n2,뉴삼총사,1842,21479
4,n11,운좋은고양이,2000,17476
5,n1,Guan_Yu,1459,16425
6,n7,_천상,1109,15355
7,n20,전여친,1813,14950
8,n8,샤또지마,1893,13864
9,n8,민쏘쏘,1956,13833
10,n12,오리,2000,13224
11,n10,v1p1최강의조련사,882,13075
12,n23,물련금,1894,12628
13,n7,금돌,1973,12099
14,n6,와니천사,1514,12045
15,n7,기억해사랑해,1262,11740
16,n4,인생_콜전용,1714,11597
17,n24,얌시선장,1918,11286
18,n8,maya,920,11136
19,n3,지옥불_,1826,10995
20,n2,리트군,1304,10991
21,n8,스마트무빙,1947,10853
22,n14,마악마,1882,10731
23,n12,S2조자룡,1411,10306
24,n0,산타루치노,1891,10280
25,n0,운정리파괴자,1957,10169
26,n7,묵꼼,1843,9805
27,n8,vvvvvvvvvvvvv,1747,9647
28,n0,헤독,1999,9634
29,n3,파이오니아,1794,9260
30,n4,무드리치,1990,8882
31,n0,화이어,708,8600
32,n20,MILKMAID,1855,8591
33,n13,반짝반짝작은별,1903,8529
34,n8,나를찾지마,1982,8527
35,n18,사학광학사,1381,8462
36,n9,가행건부,1771,8390
37,n4,삿제,1342,8083
38,n0,없노,1780,8065
39,n23,돌아온연금,2000,7884
40,n6,투컷,1266,7880
41,n24,부선장,1339,7828
42,n9,Hwal,1753,7773
43,n8,아려니,1958,7715
44,n2,SeungEE,1891,7676
45,n3,버닝12,1844,7519
46,n8,HOOT,1929,7486
47,n19,길선미,2000,7398
48,n6,깐지데쓰,899,7313
49,n8,이치키,1992,7080
50,n21,핼버드,1683,7071
51,n0,배스낚시,1459,7059
52,n0,하늘이다,904,7020
53,n2,천상마법지존,774,6904
54,n20,유이퐁,1862,6840
55,n2,오사카_유니버셜,1363,6839
56,n8,페르파,1809,6774
57,n12,춰콜릿,1881,6706
58,n16,씽긋,1742,6700
59,n4,1____M,1875,6574
60,n20,SolarFlare,1962,6564
61,n12,주공주,1341,6520
62,n8,지긋이창,1915,6414
63,n19,리정인,2000,6407
64,n14,효됴르원펀치,1378,6397
65,n9,신민아이유인나,1812,6389
66,n9,귓볼탱탱,1391,6380
67,n6,리치골드,601,6310
68,n7,명량해전,1936,6297
69,n8,Lo또,1907,6244
70,n4,선비타천,1262,6095
71,n13,너키,1904,6069
72,n2,감자고구마,1973,6062
73,n20,일단믿어봐,1730,5992
74,n23,앙금술사,1976,5919
75,n1,넌내꼬,1275,5854
76,n16,뛰낀,1839,5806
77,n19,오랜방황의끝,1904,5711
78,n6,오I톨0l,873,5692
79,n23,Gift_,1865,5683
80,n7,잇섭,1842,5677
81,n8,양갱수리,1927,5635
82,n7,모다모다,1998,5596
83,n19,한맹수인,1286,5522
84,n12,PPSWW,1748,5517
85,n7,김이준,1772,5434
86,n14,멜론플레이어,1323,5433
87,n2,나는농부입니다,1835,5262
88,n19,너랭이,1899,5192
89,n8,여교사,1619,5159
90,n19,Doncic,1779,5144
91,n12,얘린,1776,5130
92,n20,디아볼릭,1686,5113
93,n4,무기없는잇터님,1987,5051
94,n19,쿠키돈먹음,1999,5022
95,n13,무빙스피릿,1952,5011
96,n22,이사건은내가맡죠,917,4988
97,n24,이순신민아이유,1889,4975
98,n0,강원마미,706,4953
99,n2,다식한고양이,1501,4941
100,n1,Trudy,1876,4906
