,職業,キャラクター,レベル,ポイント
1,n22,테스트한다,1827,3471
2,n24,짱친,1380,1664
3,n20,지메일,1422,1404
4,n4,암튼,1428,1335
5,n19,꾸름,1484,1289
6,n20,닉네임일곱글자,1163,1254
7,n20,반틈,1436,1140
8,n23,빙밍,1415,1089
9,n10,피리맨,1087,1085
10,n19,웅가,1461,948
11,n20,육은영,1415,887
12,n10,탬프,1289,794
13,n22,야전삽,1390,640
14,n15,썩을련,1351,619
15,n1,우모스_악령,1730,603
16,n23,쌀먹이꿈,1338,599
17,n21,원한,1490,558
18,n23,사놔,1337,555
19,n10,왈숙,1330,541
20,n23,살찐이,1252,538
21,n10,투언,1344,536
22,n24,캡틘,1330,435
23,n24,낳다가아니라낫다,1264,413
24,n9,무튼,1110,378
25,n20,마슐,984,363
26,n12,돌8매,1301,345
27,n3,꽝뚜,1348,340
28,n19,피피,1371,325
29,n6,녜뜨,1306,312
30,n4,Luna_2Dx,1278,312
31,n11,신담비,1279,311
32,n19,쿠팡플레이,1433,307
33,n20,메이드련,1350,304
34,n23,살찡이,1250,299
35,n8,동태전,1357,286
36,n24,뉴진스,1331,282
37,n24,열혈선장이,1325,276
38,n7,탕탕이빨이후루루,1309,273
39,n22,인중,1253,272
40,n18,래원,1271,267
41,n14,어머련,1254,265
42,n0,영원의반지,1426,264
43,n20,케닌메이드,1365,264
44,n4,권능의반지,1422,249
45,n19,꼴꼴,1375,247
46,n23,판매완료,1426,245
47,n7,니다지,1291,245
48,n23,임플로드,1308,243
49,n19,뒤틀린,1303,240
50,n16,키제나,1308,224
51,n24,용선장,1355,219
52,n2,피망연근우엉,1271,209
53,n12,에잉,1315,208
54,n20,무친년,1344,200
55,n4,낌사,1313,200
56,n9,구궁마,1087,198
57,n24,술내놔술,1319,197
58,n8,감댕이,1378,193
59,n20,빗자루젼내크당,1291,182
60,n0,_할복,1255,178
61,n2,제트컷,1049,176
62,n4,씩씩해,964,175
63,n20,바뀐,1411,173
64,n7,Existence,1328,173
65,n19,AileenH,1319,172
66,n20,Clapper,1303,171
67,n16,리젤로테,1303,167
68,n19,중약,1332,166
69,n1,남동무,1255,164
70,n23,딥핑,1254,162
71,n22,향스페라도,1349,156
72,n22,우주꼴초,1289,156
73,n9,김찬,1380,155
74,n8,미미매,1358,152
75,n19,바다바라기,1385,147
76,n24,바다선장,1323,146
77,n20,청소잘합니당,1344,142
78,n23,갈카,1332,138
79,n14,피곤,1255,137
80,n9,미륵창,1318,134
81,n0,옆집오퐈,935,134
82,n15,사타닉,1336,131
83,n10,흔들린,1302,130
84,n2,Yollo,1055,130
85,n8,칸무,1303,129
86,n10,스타인웨이,876,129
87,n20,이창원,1287,128
88,n8,마감내역서,1340,125
89,n20,귀여운병아리,952,124
90,n20,비틀린,1295,123
91,n19,반딧불OI,1311,121
92,n1,전사외길인생,1316,119
93,n2,뽀굼,1268,119
94,n21,어른도화가,1313,118
95,n23,패국,1251,118
96,n23,내일밤,1325,117
97,n1,도시락김,1314,117
98,n10,거북잉,1331,115
99,n20,열무메이드,1349,110
100,n18,하이어,1260,110
