,,,,
1,,봉선생,1470,21673
2,,핑크펄,1124,18852
3,,바다의사랑,1804,14678
4,,NapIes,1893,13229
5,,켈미,1871,10146
6,,구공레이디,1851,9984
7,,q주몽p,856,9755
8,,강강술술,1856,9653
9,,Devas,1789,9583
10,,최온,1556,9143
11,,얼짱소녀,763,9121
12,,1004대장,756,9072
13,,강술전용버프켈,1644,8965
14,,신녀,1872,8567
15,,임나엘,1659,8520
16,,Vishnu,1798,8499
17,,개킹받쥬,1818,8273
18,,파초선,1832,8078
19,,liillililililili,1551,7883
20,,커럽,1681,7849
21,,연연술술,1610,7684
22,,Polaris,1358,7484
23,,강술전용시머링,1644,7456
24,,우치하강술이,1614,7397
25,,체페시,1866,7344
26,,덥크,1526,7337
27,,먀옹,1521,6915
28,,지화자뉴달봉,1333,6910
29,,silo,1850,6843
30,,아리아드,1794,6613
31,,서랍속통닭,1289,6559
32,,버비야,1316,6543
33,,타락한강술,1595,6507
34,,Reilz,1833,6402
35,,이쁜아2,1258,6078
36,,q삼족오p,853,5825
37,,남천,1836,5798
38,,녹백,1511,5646
39,,버디와친구들,1435,5581
40,,헤차니스a,860,5561
41,,작열,759,5475
42,,혈색,1531,5408
43,,잔댜르크,1647,5368
44,,갓무도가,1555,5353
45,,환락가,1429,5340
46,,한나수이,649,5248
47,,천사사랑3,759,5234
48,,버닝조련1,923,5142
49,,적치,1511,5050
50,,Brahma,1638,4999
51,,뚫어드림,1467,4948
52,,바른말고운말,1375,4813
53,,dfsfsgferw,781,4808
54,,적중100퍼,781,4808
55,,못난이님,1346,4629
56,,천천히크는사람,1281,4596
57,,어르신,964,4584
58,,Celebrity,1621,4551
59,,푸른달의마녀,344,4452
60,,유티,1418,4362
61,,인자무인,708,4304
62,,s가을동화s,792,4298
63,,지크하트,1592,4161
64,,너랭이,1422,4152
65,,눈꽃의희야,1241,4096
66,,은하계수리공,657,4037
67,,o여름향기o,846,3961
68,,투옵,828,3867
69,,LakShmi,1469,3816
70,,사랑은유죄,904,3810
71,,IlIl레이지lIIl,931,3781
72,,레전더리,1501,3765
73,,정화목,938,3744
74,,보라3,810,3704
75,,핼리해성,1391,3689
76,,재키찬75,745,3645
77,,무한사신,234,3625
78,,yh창병,1642,3594
79,,붉은보석을훔친자,885,3571
80,,보석전사,726,3547
81,,Izzy,1500,3475
82,,채륜,1506,3469
83,,메인모을거야,1466,3438
84,,정의무변,368,3392
85,,랑ol,753,3380
86,,까칠한것들,367,3214
87,,꽃이겨울바람에게,856,3156
88,,대천사라파엘,753,3146
89,,앙앙프리츠,771,3130
90,,건방진것들,368,3118
91,,트루디꼬봉,649,3022
92,,보조하는전사,1404,2960
93,,Gunpowder,1558,2927
94,,블랙홀즈,1090,2916
95,,혼란,1425,2893
96,,레전드박창훈,701,2872
97,,꺼어어어억,1317,2855
98,,창공의소환사,727,2760
99,,쥬금이_수,1393,2724
100,,템빨,913,2716
