,職業,キャラクター,レベル,ポイント
1,n9,insunsky,1577,15345
2,n10,천마신녀,1546,14651
3,n9,고운비,867,12654
4,n2,레드마인,1550,11111
5,n9,test_1,853,9841
6,n0,자연의마신,1358,9713
7,n2,다크루비,895,9400
8,n4,샤비o,1543,9357
9,n8,유드로얄,726,7616
10,n1,차도살인,1159,7400
11,n6,마카오박,761,7379
12,n5,리에스,917,6936
13,n6,DestinyHERO2,1801,6541
14,n1,뜨거운형제,1835,5870
15,n0,Vaga_Bond,711,5821
16,n1,폭한,1818,5780
17,n1,뭐이새기야,1438,5478
18,n1,sdfsfsdf,1520,5406
19,n9,명궁revis,828,5094
20,n0,노을산마루,752,5057
21,n20,눈꽃잎,1714,4953
22,n4,홀리데인로마,1864,4845
23,n0,BeautifulLife,868,4809
24,n1,천국의기사1,1266,4658
25,n0,친구란두글자,954,4626
26,n10,꼬마여우_JM,748,4588
27,n10,송그림,1555,4533
28,n8,윈도우걸,874,4180
29,n0,타락한gg기사,878,4036
30,n0,멜로우키스,873,4036
31,n7,동관상사,867,3767
32,n9,무대뽀걸,1733,3753
33,n9,Browns궁수,1264,3713
34,n10,혈마여련사,965,3707
35,n0,샷아빠,946,3525
36,n10,xKira,734,3458
37,n1,별이랑사,1806,3436
38,n8,아리검,1888,3432
39,n10,이양_조련,806,3409
40,n13,거치른이쁜걸,844,3357
41,n2,황제나라짱,761,3269
42,n9,상콤발랄,855,3261
43,n10,수성용,1886,3234
44,n2,hong2,421,3179
45,n9,여전사도성,931,3164
46,n1,징한아이,928,3124
47,n15,블러드체페쉬,1871,3121
48,n6,블론드,1759,3116
49,n20,민소매,1376,3070
50,n11,예쁜누님,976,3069
51,n0,김새봄,781,2969
52,n1,퍼펙트챔피언,1343,2952
53,n10,미워할수없는존재,714,2927
54,n8,포세이돈의딸,1732,2925
55,n8,달빛바람v,1542,2915
56,n2,?0firdoqwucfeki,517,2908
57,n1,파괴의신념,1500,2881
58,n0,잭니클라우스,1227,2868
59,n2,댕아,1876,2823
60,n10,윈드에로우,909,2823
61,n2,아룡,705,2813
62,n4,Twitter,1839,2811
63,n4,철퇴로니뚝배기를,1513,2790
64,n1,칸황,1393,2746
65,n19,김인성2,1670,2690
66,n0,배리본즈,800,2688
67,n3,모뉴엘,1400,2640
68,n0,천황성,1046,2598
69,n19,에넬,1854,2597
70,n24,Piracy,1852,2545
71,n10,무지개의안개,725,2517
72,n0,보라두비,1793,2494
73,n1,야원,1024,2451
74,n3,코울슬로,1514,2428
75,n21,엔도르시,1812,2426
76,n8,틈새공략,910,2409
77,n7,핑크블루,1859,2395
78,n0,날렵맨,764,2355
79,n6,웃을께이젠,800,2350
80,n16,사랑과정열을위해,1804,2344
81,n8,현아사랑v,1893,2307
82,n2,이상복,885,2305
83,n0,키노악마,715,2304
84,n8,lnstagram,1848,2288
85,n10,가람_영원,782,2276
86,n24,xxXxXxx,1866,2275
87,n16,다비니,1382,2250
88,n1,Ol노무시키,1322,2177
89,n2,바람의법사z,785,2159
90,n6,도시를훔처라,872,2133
91,n23,너의얼굴연금중,1800,2094
92,n7,INEEDU,1859,2091
93,n0,인휴,900,2071
94,n3,정품이라고,1029,2039
95,n1,보고또보고,1264,2028
96,n10,절산비행소녀,662,2028
97,n0,매직포지션,861,2007
98,n2,깡냉이,858,1970
99,n2,BTS_RapMonster,1828,1969
100,n0,얀시,646,1931
