,職業,キャラクター,レベル,ポイント
1,n8,Deadly,1441,34160
2,n8,다누리,1835,22973
3,n2,뉴삼총사,1893,21784
4,n10,운좋은고양이,2007,19078
5,n13,오리,2018,17928
6,n1,Guan_Yu,1459,16425
7,n20,전여친,1922,15827
8,n7,_천상,1109,15355
9,n8,민쏘쏘,2000,15309
10,n22,물련금,2000,14914
11,n8,샤또지마,1935,14066
12,n24,얌시선장,2000,13484
13,n6,와니천사,1904,13388
14,n14,마악마,2000,13138
15,n10,v1p1최강의조련사,882,13075
16,n7,금돌,2007,12854
17,n0,운정리파괴자,2007,12551
18,n3,지옥불_,1927,12256
19,n0,산타루치노,2002,12057
20,n7,기억해사랑해,1262,11740
21,n4,인생_콜전용,1714,11597
22,n0,헤독,2017,11416
23,n8,스마트무빙,1985,11257
24,n8,maya,921,11136
25,n2,리트군,1304,10991
26,n8,이치키,2014,10896
27,n8,HOOT,2010,10438
28,n9,나를찾지마,2011,10306
29,n12,S2조자룡,1411,10306
30,n2,SeungEE,2000,10089
31,n19,길선미,2021,9877
32,n7,묵꼼,1844,9810
33,n8,vvvvvvvvvvvvv,1747,9647
34,n22,리퍼지크,2022,9569
35,n3,파이오니아,1860,9547
36,n8,아려니,2009,9362
37,n19,사학광학사,1391,9357
38,n4,무드리치,2000,9186
39,n20,MILKMAID,1935,9183
40,n3,버닝12,1906,9111
41,n20,유이퐁,1985,9017
42,n2,감자고구마,2015,8653
43,n0,없노,1794,8609
44,n0,화이어,708,8600
45,n8,지긋이창,2000,8567
46,n13,반짝반짝작은별,1917,8549
47,n7,잇섭,2002,8476
48,n9,가행건부,1772,8390
49,n9,Hwal,1771,8387
50,n4,삿제,1344,8379
51,n8,Lo또,1958,8170
52,n25,부선장,1340,8081
53,n7,명량해전,2004,8043
54,n23,돌아온연금,2000,7921
55,n6,투컷,1279,7888
56,n0,배스낚시,1475,7489
57,n12,주공주,1366,7453
58,n20,SolarFlare,2000,7409
59,n6,깐지데쓰,899,7313
60,n9,귓볼탱탱,1411,7258
61,n2,오사카_유니버셜,1366,7129
62,n21,핼버드,1683,7071
63,n0,하늘이다,905,7020
64,n19,오랜방황의끝,1994,6991
65,n14,리촹,1974,6985
66,n23,Gift_,1938,6925
67,n2,천상마법지존,774,6904
68,n8,보찌,1984,6890
69,n4,1____M,1923,6886
70,n20,뱌이,2001,6811
71,n8,페르파,1809,6774
72,n14,효됴르원펀치,1385,6752
73,n8,한우육회,1911,6740
74,n12,춰콜릿,1892,6708
75,n16,씽긋,1745,6700
76,n13,너키,1969,6665
77,n9,여교사,1703,6656
78,n19,너랭이,2001,6630
79,n8,양갱수리,2000,6604
80,n8,유로폼,2004,6567
81,n16,바라코스,2012,6554
82,n4,무기없는잇터님,2013,6546
83,n20,서하엘,1930,6542
84,n8,스카이부동산,1945,6519
85,n24,망침,2005,6421
86,n19,리정인,2000,6407
87,n9,신민아이유인나,1812,6389
88,n20,지죤,1951,6382
89,n8,시옷,2004,6333
90,n22,탄알일발장전,1937,6325
91,n20,웅치킨,1964,6319
92,n6,리치골드,601,6310
93,n1,Trudy,1934,6309
94,n4,튼실,1994,6241
95,n23,앙금술사,2000,6198
96,n14,결제가아니라결재,2004,6183
97,n22,슈퍼파워연금,1745,6143
98,n8,최서린,2000,6108
99,n4,선비타천,1262,6095
100,n19,쿠키돈먹음,2002,6056
