1位,,∋天金爛漫∈,そこみんRT付,9671940
2位,,星屑たちの集い卍,Clarity,9665160
3位,,パンプキン_from_S鯖,フェリア,9664070
4位,,金鯖をご存知か,EMエーテル,9663610
5位,,ぶるむんっ！,金ぜの,9663430
6位,,ニクオ幼稚園,IntelliMacho,9663430
7位,,らすぷちん金鯖１号店,ねくぱん２号店,9662430
8位,,プリンセス,P_苑十那,9662150
9位,,☆カミサマの遊技場☆,ミコサマン,9661720
10位,,レナス金鯖出張所,ﾀﾝｸﾄｯﾌﾟﾏｽﾀｰ,9661040
11位,,推しの旅,エミール,9660240
12位,,ぬ゛金鯖支店,マサマサ,9660150
13位,,猫の事務所,メリデ♪,9660120
14位,,金のぐーたら村。,Ma☆とろん,9659570
15位,,おさかな天国２０２３,ゆびゆび,9657140
16位,,てでぃらびっと＠B鯖,ランテット,9655850
17位,,ファーストKiss☆物語Ⅱ,高坂宏,9654350
18位,,さまなていま～ず,くるる＠１７歳JK,9650840
19位,,みかん王国,みかん王国,9648370
20位,,炎団（金鯖）,ｽﾞｷｭｳｩｩﾝ,9625270
1位,,金サBarりばぁCh,ますたｧ☆ぶらみｨ,9668230
2位,,２８組_Ｓ鯖,ちゃらめる,9667080
3位,,アルパカ牧場ver4,かばねりーふぃー,9665700
4位,,高原組,シャリファ,9663230
5位,,熱いぞ！ﾜｯﾁｮｲ,楓燐,9662840
6位,,金華咲,うにゃ丸水産,9661410
7位,,太陽,ﾅ⊇→〆v）⊃＜。,9661010
8位,,鶏　,Fighter,9660410
9位,,トキヨシカンパニー,エンヴァ,9659680
10位,,VIPPERSin金鯖,ハチワレ,9658950
11位,,【自宅警備連合軍】,キャロりん,9658310
12位,,陽炎,美樹さやか,9658040
13位,,三匹が斬る！,白いポンデリング,9658020
14位,,†金鯖の時計塔†,リネイラ,9656790
15位,,なまら水族館,いるか,9361860
16位,,Ｒ５年Ｓ鯖ハイリガ豚組,角の煮豚,9344880
17位,,†聖騎士WhiteSoldier†,たかうー,9090200
18位,,Gravity＠B鯖,Astronomer,7232320
19位,,秘密の穴,お尻はやめて！,433360
20位,,ニクオ保育園,lntelllMacho,0
21位,,おやつは３Mまで＠金鯖,おさんさん,0
22位,,A_Orfina,紫怨,0
23位,,☆安心できる憩いの場☆,コル宅系ﾉﾌﾞﾅｶﾞ,0
24位,,金興宗教ガミガミ教,たいきしゃとる,0
25位,,0僕の地球を守って,コモンセンス,0
26位,,Beatnuts,究極のゲッター,0
27位,,☆にゃんたす★,撲殺天使たっくん,0
28位,,さばのみそに,tsubaki,0
29位,,おやつは３Ｍまで＠Ｖ鯖,おさん２,0
30位,,にごりまろやか,おつぼてゃ,0
