,サマナー,ぷーちゃん♪,1425,5
2位,,ビショップ,狼輝,1422,5
3位,,ランサー,狗神めありー,1417,5
4位,,武道家,暇潰,1415,5
5位,,戦士,地方都市のﾒﾒﾝﾄﾓﾘ,1412,5
6位,,ランサー,ワユ,1408,5
7位,,武道家,岡部_誠,1406,5
8位,,獣人,ｹﾓ蔵,1404,5
9位,,霊術師,舞牡丹,1402,5
10位,,武道家,はちみつ。,1401,5
11位,,アルケミスト,tantan_01,1400,5
12位,,獣人,解離,1400,5
13位,,プリンセス,Le・Ciel,1400,5
14位,,武道家,ヒャム,1400,5
15位,,黒魔術師,￡Gazelle,1397,5
16位,,霊術師,ボイン姉ちゃん,1395,5
17位,,剣士,正午の紅茶,1395,5
18位,,霊術師,ちんき。,1394,5
19位,,悪魔,えんまねこ,1391,5
20位,,プリンセス,やっくる♪,1391,5
21位,,プリンセス,未美凛,1384,5
22位,,ランサー,さなっしー,1381,5
23位,,霊術師,あなたのハートに,1380,5
24位,,ランサー,わかまつあいな,1378,5
25位,,剣士,RAD大好き,1377,5
26位,,霊術師,カマキリ令嬢,1375,5
27位,,ランサー,＄神様家族＄,1375,5
28位,,戦士,コボルト秘密ULT,1371,5
29位,,霊術師,鬼一家の霊術師,1364,5
30位,,ランサー,ニート太郎,1361,5
31位,,ランサー,紙ねろ,1356,5
32位,,プリンセス,おつまみさん,1340,5
33位,,サマナー,みゅうごろう,1331,5
34位,,ランサー,べろちゅっちゅ,1330,5
35位,,ウィザード,9rpm,1326,5
36位,,黒魔術師,アーリア。,1324,5
37位,,武道家,セっツ,1318,5
38位,,追放天使,シル星,1314,5
39位,,黒魔術師,メロメロイド,1310,5
40位,,戦士,AnotherOrion,1309,5
41位,,黒魔術師,闇卵,1308,5
42位,,シーフ,るてさん。,1300,5
43位,,アルケミスト,ゆゆたそ,1299,5
44位,,ビーストテイマー,フウリン,1298,5
45位,,追放天使,こるてんし（仮）,1295,5
46位,,アルケミスト,きれのじろう,1294,5
47位,,剣士,ﾄﾞﾔ顔の達人。,1293,5
48位,,武道家,legel,1291,5
49位,,剣士,わんくろ,1289,5
50位,,メイド,つばきひめ,1287,5
51位,,アーチャー,gurai,1283,5
52位,,ウィザード,MBMM１２,1281,5
53位,,武道家,ラカリフサの村長,1280,5
54位,,黒魔術師,いぼのじろう,1278,5
55位,,武道家,瓏蓮,1278,5
56位,,黒魔術師,鬼一家の黒魔,1277,5
57位,,プリンセス,Harmonie,1277,5
58位,,霊術師,ハープちゃん,1275,5
59位,,黒魔術師,狼妖,1274,5
60位,,シーフ,ぷいきゅあ～,1274,5
61位,,武道家,暇つぶ,1272,5
62位,,武道家,sunafu,1270,5
63位,,霊術師,芋がいい,1266,5
64位,,ランサー,くりゅ,1266,5
65位,,ランサー,バジル・ユバ,1265,5
66位,,戦士,餅の･∀･凍結,1265,5
67位,,武道家,さらまんだーγ,1264,5
68位,,ランサー,ネオン♪゛,1263,5
69位,,剣士,DragonTwi☆ミ,1262,5
70位,,追放天使,真ﾉ天使（ｵﾄｺ）,1261,5
71位,,アーチャー,Lanval,1260,5
72位,,シーフ,攻めがわ,1259,5
73位,,ウィザード,創造神皇ダニエル,1259,5
74位,,霊術師,tantan_08,1258,5
75位,,武道家,勃起,1258,5
76位,,霊術師,狼闘,1257,5
77位,,ウィザード,star＠wiz,1257,5
78位,,光奏師,ゆゆちゃ,1256,5
79位,,霊術師,ぶろんずごりら,1256,5
80位,,ランサー,微笑のテレサ,1255,5
81位,,獣人,PiPiPuRi,1253,5
82位,,ビーストテイマー,waspinator,1252,5
83位,,ウィザード,しゃいん･れい,1252,5
84位,,リトルウィッチ,みけぼん,1251,5
85位,,戦士,こるじょん,1251,5
86位,,悪魔,濁湯馬鈴薯,1250,5
87位,,ランサー,ムロモン,1250,5
88位,,リトルウィッチ,StoPBlTch,1248,5
89位,,光奏師,kicky,1247,5
90位,,シーフ,ジェシ‐おいたん,1244,5
91位,,黒魔術師,ふに゜,1243,5
92位,,ランサー,peace。,1243,5
93位,,ビショップ,ServerDown,1242,5
94位,,アーチャー,chachami,1240,5
95位,,武道家,うりゅうううう,1240,5
96位,,シーフ,towaco．,1240,5
97位,,アーチャー,ちょめ助,1238,5
98位,,リトルウィッチ,お寿司4,1235,5
99位,,ランサー,ｱｼﾝﾒﾄﾘｰ,1234,5
100位,,アーチャー,趣味は・・・矢,1232,5
101位,,武道家,あとぅむ,1231,5
102位,,ビショップ,ぽいちゃん,1226,5
103位,,シーフ,＋カイト＋,1221,5
104位,,戦士,§Alexandrite§,1220,5
105位,,霊術師,bakkyiii,1218,5
106位,,シーフ,瞬影,1216,5
107位,,黒魔術師,日影アゲハ,1214,5
108位,,黒魔術師,ヴァシリッサ,1210,5
109位,,ランサー,ねこみみ弐号,1210,5
110位,,ランサー,記録の地平線,1210,5
111位,,光奏師,四ツ矢丸,1207,5
112位,,ビーストテイマー,ういオレンジ,1207,5
113位,,プリンセス,蛍猫姫♪,1205,5
114位,,ランサー,ちはるちゃんん,1205,5
115位,,武道家,隻眼盗賊,1205,5
116位,,ランサー,～破幻～,1204,5
117位,,黒魔術師,meden,1203,5
118位,,獣人,べーやまぁ,1203,5
119位,,ビショップ,神聖桜,1203,5
120位,,ランサー,システィール,1202,5
121位,,武道家,Melttykiss☆,1201,5
122位,,武道家,ねこぱんつ,1201,3
123位,,光奏師,一色菫,1200,5
124位,,光奏師,tantan_13,1200,5
125位,,霊術師,℃hantsumi,1200,5
126位,,シーフ,WELLBE,1200,5
127位,,追放天使,ダーグル,1200,5
128位,,ビショップ,†御殴裏隙打郎†,1200,5
129位,,霊術師,Gazelle_yui,1195,5
130位,,ランサー,愛犬サクラ,1193,5
131位,,武道家,カピカピのおもち,1193,5
132位,,闘士,てぽっく,1192,5
133位,,武道家,神風の隼,1192,5
134位,,霊術師,揺杏,1191,5
135位,,霊術師,ちんき２,1190,5
136位,,プリンセス,狼妃,1190,5
137位,,ランサー,〝AIO〟,1190,5
138位,,追放天使,【ポッセ】,1190,5
139位,,シーフ,温泉ソムリエ,1189,5
140位,,戦士,くびら,1189,5
141位,,ビーストテイマー,karu_g,1188,5
142位,,ウィザード,Lenard,1187,5
143位,,ビーストテイマー,∬ルシフェリア∬,1186,5
144位,,ランサー,ふぁみりった,1186,5
145位,,シーフ,バイフリッツ,1186,5
146位,,ランサー,ko_san,1183,5
147位,,シーフ,nanakusa,1182,5
148位,,武道家,まるゴキ,1181,5
149位,,獣人,UltimateRAD,1178,5
150位,,ウィザード,イフリィート,1177,5
151位,,剣士,☆シグマワイ,1174,5
152位,,追放天使,Cens,1173,5
153位,,黒魔術師,FrouFrou,1171,5
154位,,霊術師,まえがちゃん,1171,5
155位,,霊術師,キッコーマソ,1170,5
156位,,ランサー,20％Over,1170,5
157位,,獣人,山佐の獣撃,1167,5
158位,,霊術師,ふーにゃ,1163,5
159位,,悪魔,魔法の壁,1163,5
160位,,ウィザード,大動脈瘤,1162,5
161位,,霊術師,ψ七ちψ,1160,5
162位,,シーフ,鬼一家,1158,5
163位,,ランサー,ﾛﾐｵ＆ｼﾞｭﾘｴｯﾄ,1157,5
164位,,獣人,ひひまま,1156,5
165位,,武道家,かみまみ,1156,5
166位,,ランサー,￡impulse￡,1153,5
167位,,シーフ,漣鎖,1151,5
168位,,ウィザード,nayaata,1151,5
169位,,武道家,backnumber大好き,1148,5
170位,,ウィザード,残兵首領,1146,5
171位,,剣士,くろしば,1142,5
172位,,ウィザード,akimasaだよ。,1139,5
173位,,黒魔術師,紫りのん,1138,5
174位,,戦士,カトリ。,1138,5
175位,,黒魔術師,Lime。,1133,5
176位,,サマナー,帝愛会長,1133,5
177位,,ランサー,つば○,1133,5
178位,,獣人,わべ助,1132,5
179位,,武道家,いもむし♪,1132,5
180位,,剣士,ﾀﾞｰﾄﾃﾄﾗ,1130,5
181位,,ウィザード,hinaru,1129,5
182位,,シーフ,シッフー,1128,5
183位,,戦士,カナト,1128,5
184位,,霊術師,吉田沙保里のASMR,1126,5
185位,,ランサー,Tummy,1126,5
186位,,ランサー,イリス・エリス,1126,5
187位,,ウルフマン,忠義の狗爪ココ,1122,5
188位,,剣士,隴燐,1122,5
189位,,マスケッティア,ズックにロック,1121,5
190位,,霊術師,￡SiroTotoro￡,1121,5
191位,,霊術師,watta_gra,1121,5
192位,,黒魔術師,ψ芽亜ψ,1120,5
193位,,ランサー,ﾗﾐｰﾉｰｽﾞﾃﾄﾗ,1120,5
194位,,ランサー,藤井聡太,1120,5
195位,,ランサー,弓兵頭,1120,5
