,-,職業,キャラクター,レベル,転生回数
1,-,,mttt,2025,5
2,-,,カカオ零,2022,5
3,-,,krisu,2018,5
4,-,,たいやきあんこ,2013,5
5,-,,うにゃDX,2013,5
6,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2010,5
7,-,,ﾌｪﾘｱ,2010,5
8,-,,ウリ☆,2010,5
9,-,,ドカ食い気絶部,2009,5
10,-,,永遠の暗闇,2008,5
11,-,,サイバーナイト,2007,5
12,-,,もぐらⅲ,2006,5
13,-,,ろずこ,2006,5
14,-,,マハーデーヴィー,2006,5
15,-,,hanacyan,2006,5
16,-,,marui11111,2005,5
17,-,,思いやりGDX,2005,5
18,-,,ほしめろちゃん,2005,5
19,-,,アリス・ワンダー,2004,5
20,-,,ξスロウξ,2003,5
21,-,,ψXENOψ,2003,5
22,-,,ちゃらめる,2003,5
23,-,,アクシズ教神官,2003,5
24,-,,ﾛｰﾈﾙ,2003,5
25,-,,黒虎ちゃん,2003,5
26,-,,vellr1a,2003,5
27,-,,Oddesy,2002,5
28,-,,御暇さん,2002,5
29,-,,アバブ,2002,5
30,-,,☆キノ♪,2001,5
31,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,2001,5
32,-,,ちよし姫,2001,5
33,-,,マゼ・ドレーク,2001,5
34,-,,猫邪,2001,5
35,-,,対立ちゃん,2001,5
36,-,,nishi,2000,5
37,-,,ライブリー,2000,5
38,-,,カジュアル,2000,5
39,-,,ナイスキャッチ,2000,5
40,-,,ずっさん,2000,5
41,-,,＊鬼鮫＊,2000,5
42,-,,Unlimited快楽園,2000,5
43,-,,ルベーグ2世,2000,5
44,-,,†ユファ†,2000,5
45,-,,ｼｮﾝﾎﾞﾘ沈殿丸,2000,5
46,-,,戦略破壊魔術兵器,2000,5
47,-,,エルロン5,2000,5
48,-,,豹弦,2000,5
49,-,,ハイドシークス,2000,5
50,-,,†LightSide†,2000,5
