位,,サマナー,ぷーちゃん♪,1446,5
2位,,ランサー,ワユ,1432,5
3位,,ビショップ,狼輝,1431,5
4位,,戦士,地方都市のﾒﾒﾝﾄﾓﾘ,1430,5
5位,,光奏師,ｹﾓ蔵,1427,5
6位,,ランサー,狗神めありー,1427,5
7位,,武道家,岡部_誠,1422,5
8位,,霊術師,舞牡丹,1417,5
9位,,プリンセス,Le・Ciel,1417,5
10位,,プリンセス,未美凛,1416,5
11位,,霊術師,ちんき。,1415,5
12位,,ランサー,さなっしー,1415,5
13位,,武道家,暇潰,1415,5
14位,,アルケミスト,tantan_01,1412,5
15位,,悪魔,えんまねこ,1410,5
16位,,黒魔術師,￡Gazelle,1409,5
17位,,プリンセス,やっくる♪,1406,5
18位,,ランサー,ニート太郎,1406,5
19位,,闘士,あなたのハートに,1404,5
20位,,剣士,RAD大好き,1403,5
21位,,霊術師,ボイン姉ちゃん,1401,5
22位,,武道家,はちみつ。,1401,5
23位,,獣人,解離,1400,5
24位,,アーチャー,＄神様家族＄,1400,5
25位,,武道家,ヒャム,1400,5
26位,,闘士,鬼一家の霊術師,1391,5
27位,,闘士,カマキリ令嬢,1387,5
28位,,戦士,コボルト秘密ULT,1382,5
29位,,ランサー,わかまつあいな,1380,5
30位,,ビショップ,シル星,1377,5
31位,,ランサー,紙ねろ,1371,5
32位,,戦士,AnotherOrion,1371,5
33位,,黒魔術師,アーリア。,1368,5
34位,,プリンセス,おつまみさん,1367,5
35位,,アルケミスト,きれのじろう,1364,5
36位,,黒魔術師,闇卵,1356,5
37位,,シーフ,セっツ,1354,5
38位,,ビショップ,こるてんし（仮）,1342,5
39位,,シーフ,暇つぶ,1340,5
40位,,戦士,餅の･∀･凍結,1338,5
41位,,ウィザード,9rpm,1337,5
42位,,サマナー,みゅうごろう,1332,5
43位,,ランサー,べろちゅっちゅ,1330,5
44位,,ビショップ,素人僧侶ぽいぽい,1329,5
45位,,武道家,さらまんだーγ,1327,5
46位,,アーチャー,趣味は・・・矢,1324,5
47位,,黒魔術師,メロメロイド,1322,5
48位,,ビーストテイマー,フウリン,1316,5
49位,,シーフ,るてさん。,1303,5
50位,,追放天使,【ポッセ】,1301,5
51位,,アルケミスト,ゆゆたそ,1299,5
52位,,メイド,つばきひめ,1293,5
53位,,シーフ,勃起,1293,5
54位,,剣士,ﾄﾞﾔ顔の達人。,1293,5
55位,,武道家,legel,1291,5
56位,,ウィザード,MBMM１２,1291,5
57位,,剣士,わんくろ,1290,5
58位,,ランサー,くりゅ,1284,5
59位,,闘士,tantan_08,1283,5
60位,,アーチャー,gurai,1283,5
61位,,シーフ,ぷいきゅあ～,1282,5
62位,,黒魔術師,鬼一家の黒魔,1281,5
63位,,武道家,ラカリフサの村長,1280,5
64位,,悪魔,濁湯馬鈴薯,1279,5
65位,,リトルウィッチ,Harmonie,1279,5
66位,,黒魔術師,いぼのじろう,1278,5
67位,,武道家,瓏蓮,1278,5
68位,,霊術師,ハープちゃん,1275,5
69位,,黒魔術師,狼妖,1274,5
70位,,剣士,DragonTwi☆ミ,1273,5
71位,,ランサー,バジル・ユバ,1272,5
72位,,追放天使,真ﾉ天使（ｵﾄｺ）,1272,5
73位,,武道家,sunafu,1270,5
74位,,光奏師,tantan_13,1267,5
75位,,霊術師,ぶろんずごりら,1266,5
76位,,霊術師,芋がいい,1266,5
77位,,ランサー,システィール,1265,5
78位,,ウィザード,star＠wiz,1265,5
79位,,ランサー,ネオン♪゛,1263,5
80位,,ランサー,chachami,1261,5
81位,,アーチャー,Lanval,1260,5
82位,,ウィザード,創造神皇ダニエル,1260,5
83位,,シーフ,攻めがわ,1259,5
84位,,霊術師,狼闘,1257,5
85位,,戦士,§Alexandrite§,1257,5
86位,,光奏師,ゆゆちゃ,1256,5
87位,,アーチャー,微笑のテレサ,1255,5
88位,,獣人,PiPiPuRi,1254,5
89位,,リトルウィッチ,StoPBlTch,1254,5
90位,,シーフ,towaco．,1254,5
91位,,ランサー,ｱｼﾝﾒﾄﾘｰ,1253,5
92位,,ビーストテイマー,waspinator,1252,5
93位,,ウィザード,しゃいん･れい,1252,5
94位,,戦士,こるじょん,1252,5
95位,,リトルウィッチ,みけぼん,1251,5
96位,,武道家,あとぅむ,1251,5
97位,,追放天使,ServerDown,1251,5
98位,,ランサー,ムロモン,1250,5
99位,,光奏師,kicky,1247,5
100位,,シーフ,ジェシ‐おいたん,1244,5
101位,,黒魔術師,ふに゜,1243,5
102位,,ランサー,peace。,1243,5
103位,,武道家,うりゅうううう,1240,5
104位,,アーチャー,ちょめ助,1238,5
105位,,剣士,隴燐,1238,5
106位,,リトルウィッチ,お寿司4,1235,5
107位,,シーフ,＋カイト＋,1234,5
108位,,アーチャー,ねこみみ弐号,1233,5
109位,,ウィザード,業者,1232,5
110位,,獣人,UltimateRAD,1228,5
111位,,ランサー,愛犬サクラ,1228,5
112位,,光奏師,一色菫,1226,5
113位,,剣士,☆シグマワイ,1225,5
114位,,霊術師,bakkyiii,1218,5
115位,,アーチャー,〝AIO〟,1216,5
116位,,シーフ,瞬影,1216,5
117位,,黒魔術師,日影アゲハ,1214,5
118位,,ランサー,～破幻～,1214,5
119位,,黒魔術師,ヴァシリッサ,1210,5
120位,,獣人,四ツ矢丸,1210,5
121位,,ランサー,ﾛﾐｵ＆ｼﾞｭﾘｴｯﾄ,1210,5
122位,,ランサー,記録の地平線,1210,5
123位,,霊術師,ψ七ちψ,1209,5
124位,,武道家,カピカピのおもち,1209,5
125位,,武道家,まるゴキ,1209,5
126位,,獣人,べーやまぁ,1208,5
127位,,霊術師,ちんき２,1208,5
128位,,ウィザード,大動脈瘤,1208,5
129位,,剣士,Asley_Cade,1208,5
130位,,ビーストテイマー,ういオレンジ,1207,5
131位,,獣人,山佐の獣撃,1205,5
132位,,プリンセス,蛍猫姫♪,1205,5
133位,,ランサー,ちはるちゃんん,1205,5
