,-,職業,キャラクター,レベル,転生回数
1,-,,Maki,1300,5
2,-,,みどりん,1275,5
3,-,,うに姫。,1261,5
4,-,,塵地螺鈿飾剣,1258,5
5,-,,ノワール・ヴィ,1254,5
6,-,,ドロップに期待,1254,5
7,-,,快活の原罪,1253,5
8,-,,きんぎょ。,1252,5
9,-,,ねこのて,1251,5
10,-,,焼き飯食べたい,1230,5
11,-,,闇鴉,1215,5
12,-,,ソムリエ,1148,5
13,-,,えるふぁいやー！,1118,5
14,-,,ELGIN,1116,5
15,-,,誤乗サドル,1114,5
16,-,,野獣と化した先輩,1112,5
17,-,,takasaki,1110,5
18,-,,dedede,1097,5
19,-,,甘栗うまい！,1089,5
20,-,,DEATHNOTE,1088,5
21,-,,CR大日本帝国,1087,5
22,-,,ゆなちー！,1076,5
23,-,,MaLyi,1057,5
24,-,,ねーさま,1047,5
25,-,,￡＋,1046,5
26,-,,夏のクマジェネ,1042,5
27,-,,code,1038,5
28,-,,らっきーたむたむ,1035,5
29,-,,ししまる,1029,5
30,-,,〆さば,1021,5
31,-,,バチギレン,1016,5
32,-,,聖少女領域,1013,5
33,-,,竈門炭治郎,1010,5
34,-,,penta,1006,5
35,-,,るびっきゅー,1005,5
36,-,,天＿砲,1001,5
37,-,,あるもんて,987,5
38,-,,アルスちゃん,975,5
39,-,,saburu1,972,5
40,-,,瀬戸,954,5
41,-,,どかちゃんまん,953,5
42,-,,夕さまぁ。,947,5
43,-,,Bぐり,937,5
44,-,,contami,934,5
45,-,,しおりのうた,932,5
46,-,,ロリショタ,930,5
47,-,,えりぃと,930,5
48,-,,ぱろむ,929,5
49,-,,すばっちゃ,927,5
50,-,,メタプラ,926,5
