,-,職業,キャラクター,レベル,転生回数
1,-,,塵地螺鈿飾剣,1500,5
2,-,,ELGIN,1500,5
3,-,,ソムリエ,1449,5
4,-,,ていたらく,1448,5
5,-,,みお＊,1445,5
6,-,,Maki,1443,5
7,-,,うに姫。,1441,5
8,-,,ねこのて,1440,5
9,-,,non1341,1427,5
10,-,,seef,1419,5
11,-,,捨てキング,1417,5
12,-,,レジェンド左橋,1416,5
13,-,,魔女のお茶会,1413,5
14,-,,みどりん,1403,5
15,-,,penta,1402,5
16,-,,saburu1,1401,5
17,-,,ノワール・ヴィ,1392,5
18,-,,うーたろう,1382,5
19,-,,野獣と化した先輩,1379,5
20,-,,ドロップに期待,1373,5
21,-,,DEATHNOTE,1372,5
22,-,,ジェノ氏,1371,5
23,-,,ジェット天秤,1366,5
24,-,,神奈備命,1364,5
25,-,,えるふぁいやー！,1362,5
26,-,,Bぐり,1362,5
27,-,,takasaki,1361,5
28,-,,甘栗うまい！,1361,5
29,-,,ζｃanotarosζ,1361,5
30,-,,Rusalka,1358,5
31,-,,やわやわ戦車,1357,5
32,-,,あじまる屋さん,1356,5
33,-,,CR大日本帝国,1355,5
34,-,,強キ者,1353,5
35,-,,YUSA,1353,5
36,-,,蒼佑,1352,5
37,-,,ぼすごん,1351,5
38,-,,忍野忍,1350,5
39,-,,GP03ﾃﾞﾝﾄﾞﾛﾋﾞｳﾑ,1350,5
40,-,,トルテ,1350,5
41,-,,黙れドン太郎,1346,5
42,-,,こん＾＾,1345,5
43,-,,あるもんて,1343,5
44,-,,￡＋,1343,5
45,-,,小鳥遊,1342,5
46,-,,code,1341,5
47,-,,CIAOちゅ～る,1341,5
48,-,,快活の原罪,1337,5
49,-,,美甘ネル,1337,5
50,-,,ししまる,1336,5
