,-,職業,キャラクター,レベル,転生回数
1,-,,カジュアル,2000,5
2,-,,krisu,2000,5
3,-,,あぷりこ,2000,5
4,-,,Oddesy,2000,5
5,-,,ラクサスドレアン,2000,5
6,-,,ψXENOψ,2000,5
7,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2000,5
8,-,,ハイドシークス,2000,5
9,-,,たいやきあんこ,2000,5
10,-,,marui11111,2000,5
11,-,,mttt,2000,5
12,-,,レジェンド石橋,2000,5
13,-,,アリス・ワンダー,2000,5
14,-,,うにゃDX,2000,5
15,-,,快活ねえさん,2000,5
16,-,,xたまきちx,2000,5
17,-,,蜜月抄,2000,5
18,-,,思いやりGDX,1999,5
19,-,,真ぜの,1999,5
20,-,,ウリ☆,1998,5
21,-,,akmm,1996,5
22,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1986,5
23,-,,＊鬼鮫＊,1985,5
24,-,,愛泉,1984,5
25,-,,Miki_,1982,5
26,-,,猫邪,1980,5
27,-,,腐敗キノコ,1979,5
28,-,,御暇さん,1978,5
29,-,,アクシズ教神官,1977,5
30,-,,MVアグスタ,1973,5
31,-,,サイバーナイト,1971,5
32,-,,ﾌｪﾘｱ,1968,5
33,-,,魔法姫ひかり,1967,5
34,-,,ろずこ,1957,5
35,-,,ΨtinariΨ,1957,5
36,-,,ふぇの,1955,5
37,-,,ほしめろちゃん,1955,5
38,-,,ルベーグ2世,1952,5
39,-,,ちよし姫,1946,5
40,-,,☆☆うっちぃ☆☆,1939,5
41,-,,氷華舞い散る,1936,5
42,-,,ああ播磨灘,1932,5
43,-,,黒虎ちゃん,1928,5
44,-,,アバブ,1927,5
45,-,,☆キノ♪,1926,5
46,-,,WaterLilyFlower,1925,5
47,-,,戦略破壊魔術兵器,1923,5
48,-,,永遠の暗闇,1920,5
49,-,,Unlimited快楽園,1918,5
50,-,,れもんψ,1915,5
