,-,職業,キャラクター,レベル,転生回数
1,-,,mttt,2032,5
2,-,,永遠の暗闇,2031,5
3,-,,カカオ零,2030,5
4,-,,krisu,2023,5
5,-,,骨ラーメン☆,2020,5
6,-,,ドカ食い気絶部,2020,5
7,-,,ΨtinariΨ,2018,5
8,-,,vellr1a,2018,5
9,-,,対立ちゃん,2017,5
10,-,,サイバーナイト,2016,5
11,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2014,5
12,-,,うにゃDX,2014,5
13,-,,たいやきあんこ,2013,5
14,-,,ﾌｪﾘｱ,2011,5
15,-,,hanacyan,2011,5
16,-,,思いやりGDX,2010,5
17,-,,ウリ☆,2010,5
18,-,,ちよし姫,2010,5
19,-,,KUREHA_GtS,2010,5
20,-,,ずっさん,2008,5
21,-,,ψXENOψ,2008,5
22,-,,ちゃらめる,2008,5
23,-,,もぐらⅲ,2007,5
24,-,,甘酒ココア,2007,5
25,-,,ろずこ,2006,5
26,-,,マハーデーヴィー,2006,5
27,-,,ﾛｰﾈﾙ,2006,5
28,-,,marui11111,2006,5
29,-,,マゼ・ドレーク,2006,5
30,-,,FILIBUSTER,2006,5
31,-,,ξスロウξ,2005,5
32,-,,あまぞねす。,2005,5
33,-,,ほしめろちゃん,2005,5
34,-,,HGRY,2004,5
35,-,,アクシズ教神官,2004,5
36,-,,黒虎ちゃん,2004,5
37,-,,アリス・ワンダー,2004,5
38,-,,Bird_of_Hermes,2004,5
39,-,,うなぎ。,2004,5
40,-,,てっぷ。,2003,5
41,-,,＊鬼鮫＊,2002,5
42,-,,Oddesy,2002,5
43,-,,御暇さん,2002,5
44,-,,アバブ,2002,5
45,-,,☆キノ♪,2002,5
46,-,,ゆきちゃま,2002,5
47,-,,猫邪,2002,5
48,-,,明桜,2002,5
49,-,,らびゅりんす,2002,5
50,-,,ｱﾆﾘｿ,2001,5
