,-,職業,キャラクター,レベル,転生回数
1,-,,UnBiR,2024,5
2,-,,カマキリ令嬢,2023,5
3,-,,ぷーちゃん♪,2015,5
4,-,,狼輝,2011,5
5,-,,シル星,2011,5
6,-,,おーいえ,2008,5
7,-,,りんじょー,2006,5
8,-,,Narmaya,2005,5
9,-,,あざといたぬき,2004,5
10,-,,アーリア。,2004,5
11,-,,しらたま団子ＬＬ,2004,5
12,-,,ψ七ちψ,2004,5
13,-,,愛犬サクラ,2002,5
14,-,,＋カイト＋,2002,5
15,-,,〝AIO〟,2002,5
16,-,,とろっとろ牛すじ,2002,5
17,-,,ループド,2002,5
18,-,,DXUキャプテンUSA,2001,5
19,-,,【ポッセ】,2001,5
20,-,,ぼのの,2001,5
21,-,,野獣パイセン,2001,5
22,-,,長谷川千雨,2000,5
23,-,,弓兵頭,2000,5
24,-,,みゅうごろう,2000,5
25,-,,あなたのハートに,2000,5
26,-,,大動脈瘤,2000,5
27,-,,伊勢七海,2000,5
28,-,,Vitamin3000,2000,5
29,-,,捨ノ型・生生流転,2000,5
30,-,,お～い恋茶,2000,5
31,-,,ぬりぼう,2000,5
32,-,,ｂｏｗ‐ｗｏｗ,1995,5
33,-,,メリデ♪,1987,5
34,-,,darkfy,1987,5
35,-,,か～ら,1985,5
36,-,,sunafu,1984,5
37,-,,甘栗うっまW,1982,5
38,-,,鷸榧,1982,5
39,-,,レバナス父ちゃん,1979,5
40,-,,おぃ、止まれ！？,1979,5
41,-,,yamada3000,1975,5
42,-,,たこち,1974,5
43,-,,狼獄,1969,5
44,-,,11000円,1968,5
45,-,,ねこみみ弐号,1965,5
46,-,,卵人,1965,5
47,-,,katsuxxx,1959,5
48,-,,ﾙﾙｰｼｭ・ﾗﾝﾍﾟﾙｰｼﾞ,1957,5
49,-,,サトノレイナス,1956,5
50,-,,§エス§,1944,5
