,-,職業,キャラクター,レベル,転生回数
1,-,,penta,1500,5
2,-,,パトリック,1500,5
3,-,,みお＊,1500,5
4,-,,不穏な悲鳴,1500,5
5,-,,ぎんどりⅡ,1500,5
6,-,,天音ちゃ,1500,5
7,-,,みお☆,1500,5
8,-,,エクレール,1500,5
9,-,,クラフティ,1500,5
10,-,,夢花火,1500,5
11,-,,だいもんじ,1500,5
12,-,,Join_Helldivers,1478,5
13,-,,金鯖立ちんぼ女子,1452,5
14,-,,きゃーのん,1437,5
15,-,,テケ子,1430,5
16,-,,banapagg,1429,5
17,-,,なんた,1420,5
18,-,,どらんぱ,1401,5
19,-,,nimucap,1401,5
20,-,,mkrain,1400,5
21,-,,これが罵倒,1394,5
22,-,,らいがる,1387,5
23,-,,code,1385,5
24,-,,ぎんどり,1385,5
25,-,,Licos_More,1381,5
26,-,,なな,1379,5
27,-,,灰の魔女イレイナ,1378,5
28,-,,キャノーラロイ,1375,5
29,-,,ピー,1370,5
30,-,,YUSA,1367,5
31,-,,罪と罰,1365,5
32,-,,くだもの。,1363,5
33,-,,ゆなちー！,1360,5
34,-,,ちょこっとだけ,1355,5
35,-,,ReSept,1354,5
36,-,,♪つんぬこ♪,1352,5
37,-,,ぼすごん,1352,5
38,-,,金鯖あちゃ,1352,5
39,-,,右衛門九,1339,5
40,-,,contami,1337,5
41,-,,尊師,1334,5
42,-,,まつぼっくり,1326,5
43,-,,たむ,1324,5
44,-,,きゃのーら油,1323,5
45,-,,六根清浄,1321,5
46,-,,8833,1319,5
47,-,,あいけん,1317,5
48,-,,eeke,1316,5
49,-,,パトメイド,1316,5
50,-,,いかさ,1315,5
