,-,職業,キャラクター,レベル,転生回数
1,-,,mttt,2032,5
2,-,,永遠の暗闇,2031,5
3,-,,ΨtinariΨ,2030,5
4,-,,カカオ零,2030,5
5,-,,対立ちゃん,2030,5
6,-,,vellr1a,2030,5
7,-,,骨ラーメン☆,2028,5
8,-,,krisu,2023,5
9,-,,サイバーナイト,2020,5
10,-,,ドカ食い気絶部,2020,5
11,-,,KUREHA_GtS,2020,5
12,-,,マゼ・ドレーク,2019,5
13,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2018,5
14,-,,甘酒ココア,2014,5
15,-,,うにゃDX,2014,5
16,-,,ﾌｪﾘｱ,2013,5
17,-,,たいやきあんこ,2013,5
18,-,,ずっさん,2012,5
19,-,,蜜月抄,2012,5
20,-,,hanacyan,2011,5
21,-,,ψXENOψ,2010,5
22,-,,思いやりGDX,2010,5
23,-,,ウリ☆,2010,5
24,-,,ちよし姫,2010,5
25,-,,HGRY,2009,5
26,-,,ちゃらめる,2009,5
27,-,,ﾛｰﾈﾙ,2009,5
28,-,,_とろ_,2008,5
29,-,,†LightSide†,2008,5
30,-,,純燼,2008,5
31,-,,もぐらⅲ,2007,5
32,-,,ああ播磨灘,2007,5
33,-,,ほしめろちゃん,2007,5
34,-,,あまぞねす。,2006,5
35,-,,ろずこ,2006,5
36,-,,あぷりこ,2006,5
37,-,,マハーデーヴィー,2006,5
38,-,,marui11111,2006,5
39,-,,にゃ～ん（笑）,2006,5
40,-,,FILIBUSTER,2006,5
41,-,,ξスロウξ,2005,5
42,-,,アクシズ教神官,2004,5
43,-,,黒虎ちゃん,2004,5
44,-,,アリス・ワンダー,2004,5
45,-,,lave｡,2004,5
46,-,,Bird_of_Hermes,2004,5
47,-,,うなぎ。,2004,5
48,-,,らびゅりんす,2004,5
49,-,,＊鬼鮫＊,2003,5
50,-,,☆キノ♪,2003,5
