,-,職業,キャラクター,レベル,転生回数
1,-,,たいやきあんこ,1920,5
2,-,,mttt,1914,5
3,-,,ψXENOψ,1911,5
4,-,,アリス・ワンダー,1899,5
5,-,,レジェンド石橋,1873,5
6,-,,思いやりGDX,1870,5
7,-,,カジュアル,1869,5
8,-,,れもんψ,1867,5
9,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1863,5
10,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1859,5
11,-,,ラクサスドレアン,1858,5
12,-,,快活ねえさん,1856,5
13,-,,蜜月抄,1852,5
14,-,,krisu,1851,5
15,-,,アクシズ教神官,1851,5
16,-,,あぷりこ,1848,5
17,-,,キングプー,1845,5
18,-,,ｱﾆﾘｿ,1844,5
19,-,,二階堂パンパース,1843,5
20,-,,Oddesy,1842,5
21,-,,猫邪,1841,5
22,-,,愛泉,1840,5
23,-,,☆あおり☆,1840,5
24,-,,xたまきちx,1840,5
25,-,,ﾌｪﾘｱ,1839,5
26,-,,＊鬼鮫＊,1837,5
27,-,,御暇さん,1837,5
28,-,,ろずこ,1836,5
29,-,,marui11111,1836,5
30,-,,戦略破壊魔術兵器,1835,5
31,-,,ハイドシークス,1835,5
32,-,,うにゃDX,1835,5
33,-,,しらすたっぷ。,1832,5
34,-,,サイバーナイト,1827,5
35,-,,ζhaluluζ,1823,5
36,-,,☆キノ♪,1821,5
37,-,,†フィル†,1820,5
38,-,,ξスロウξ,1818,5
39,-,,shogi,1818,5
40,-,,Hard_A,1817,5
41,-,,あぼん☆,1815,5
42,-,,ルベーグ2世,1815,5
43,-,,ああ播磨灘,1815,5
44,-,,不動心ミノル,1813,5
45,-,,Luvric_ver0,1812,5
46,-,,Miki_,1812,5
47,-,,ずっさん,1811,5
48,-,,アバブ,1811,5
49,-,,黒虎ちゃん,1811,5
50,-,,VR戦士,1810,5
