,-,職業,キャラクター,レベル,転生回数
1,-,,Saphir,1500,5
2,-,,タヌキ,1500,5
3,-,,ジェノ氏,1500,5
4,-,,うるてぃめっと,1500,5
5,-,,家系らーめん,1500,5
6,-,,キャノかめ,1500,5
7,-,,ELGIN,1500,5
8,-,,鶏白湯ラーメン,1500,5
9,-,,甘栗うまい！,1500,5
10,-,,いたさん,1500,5
11,-,,penta,1500,5
12,-,,shiro,1500,5
13,-,,じゃむにあ,1500,5
14,-,,塵地螺鈿飾剣,1500,5
15,-,,背中の壺【2025】,1500,5
16,-,,そうこみん３,1500,5
17,-,,ζｃanotarosζ,1500,5
18,-,,Maki,1500,5
19,-,,あじまる屋さん,1500,5
20,-,,DEATHNOTE,1500,5
21,-,,パトリック,1500,5
22,-,,みどりん,1500,5
23,-,,ノワール・ヴィ,1500,5
24,-,,takasaki,1500,5
25,-,,non1341,1500,5
26,-,,MaLyi,1500,5
27,-,,えるふぁいやー！,1500,5
28,-,,ドロップに期待,1500,5
29,-,,うに姫。,1500,5
30,-,,海月さん,1500,5
31,-,,うーたろう,1500,5
32,-,,ていたらく,1500,5
33,-,,モンステラ,1500,5
34,-,,金のうにゃ缶,1500,5
35,-,,夕さまぁ。,1500,5
36,-,,CIAOちゅ～る,1500,5
37,-,,蒼佑,1500,5
38,-,,舞葵,1500,5
39,-,,Prim,1500,5
40,-,,おつぼちゃん,1500,5
41,-,,フルーツキャノン,1500,5
42,-,,ねこのて,1500,5
43,-,,やわやわ戦車,1500,5
44,-,,黙れドン太郎,1500,5
45,-,,レジェンド左橋,1500,5
46,-,,神奈備命,1500,5
47,-,,捨てキング,1500,5
48,-,,強キ者,1500,5
49,-,,すばっちゃ,1500,5
50,-,,ぴあどら,1500,5
