,-,職業,キャラクター,レベル,転生回数
1,-,,ともたん333,671,15
2,-,,たいやきあんこ,1837,5
3,-,,ψXENOψ,1835,5
4,-,,レジェンド石橋,1831,5
5,-,,アリス・ワンダー,1831,5
6,-,,ハイドシークス,1829,5
7,-,,二階堂パンパース,1828,5
8,-,,☆あおり☆,1828,5
9,-,,mttt,1827,5
10,-,,思いやりGDX,1823,5
11,-,,ζhaluluζ,1822,5
12,-,,れもんψ,1821,5
13,-,,ｱﾆﾘｿ,1820,5
14,-,,＊鬼鮫＊,1819,5
15,-,,ろずこ,1818,5
16,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1818,5
17,-,,快活ねえさん,1817,5
18,-,,キングプー,1814,5
19,-,,krisu,1813,5
20,-,,Oddesy,1809,5
21,-,,愛泉,1807,5
22,-,,戦略破壊魔術兵器,1806,5
23,-,,うにゃDX,1806,5
24,-,,marui11111,1805,5
25,-,,サクラサケ,1804,5
26,-,,御暇さん,1803,5
27,-,,ルベーグ2世,1802,5
28,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1802,5
29,-,,アバブ,1801,5
30,-,,腐敗キノコ,1801,5
31,-,,ラクサスドレアン,1800,5
32,-,,ﾌｪﾘｱ,1800,5
33,-,,ちぇころん,1800,5
34,-,,しらすたっぷ。,1800,5
35,-,,Hard_A,1800,5
36,-,,nonamealcemist,1800,5
37,-,,カジュアル,1795,5
38,-,,ウリ☆,1795,5
39,-,,たっぷ。,1793,5
40,-,,ξスロウξ,1792,5
41,-,,Luvric_ver0,1791,5
42,-,,shogi,1788,5
43,-,,アクシズ教神官,1787,5
44,-,,ああ播磨灘,1784,5
45,-,,元団長さん,1780,5
46,-,,黒虎ちゃん,1780,5
47,-,,†LightSide†,1777,5
48,-,,ずっさん,1776,5
49,-,,羽熊,1772,5
50,-,,雨時々はるぅ,1768,5
