,-,職業,キャラクター,レベル,転生回数
1,-,,るびっきゅー,1500,5
2,-,,ちるたそ,1500,5
3,-,,海月さん,1500,5
4,-,,苺鬼,1500,5
5,-,,しかのこのこのこ,1500,5
6,-,,甘栗うまい！,1500,5
7,-,,ﾜｶﾙﾜｶﾙｼﾗﾝｹﾄﾞ,1500,5
8,-,,うに姫,1500,5
9,-,,Mami,1500,5
10,-,,NoLLy,1500,5
11,-,,darkfy_V,1500,5
12,-,,Pさま,1500,5
13,-,,vellria,1500,5
14,-,,シエスタ,1500,5
15,-,,Guilty,1500,5
16,-,,PrincessKnight,1500,5
17,-,,ねこのて,1500,5
18,-,,捨てキング,1500,5
19,-,,ふぁるけもな～,1500,5
20,-,,ﾊﾞﾗﾁｬｰｼｭｰ直火,1500,5
21,-,,「うつぼ」,1500,5
22,-,,轟はじめ,1500,5
23,-,,烈火発射装置,1500,5
24,-,,nonnob4l,1500,5
25,-,,水廻まるまるか,1494,5
26,-,,RANK337の騎空士,1476,5
27,-,,つよみんの夏休み,1464,5
28,-,,anchoring,1460,5
29,-,,PFOG,1456,5
30,-,,AZALEA,1435,5
31,-,,海廻りまるまるか,1422,5
32,-,,天音ちゃ,1421,5
33,-,,ひめっち,1421,5
34,-,,ふぇると,1416,5
35,-,,TANWA,1414,5
36,-,,カラス,1411,5
37,-,,●●●●●●,1411,5
38,-,,みお☆,1411,5
39,-,,ふぁーな,1410,5
40,-,,天賦絢爛,1407,5
41,-,,ゆきちゃま,1404,5
42,-,,キンデスイート,1399,5
43,-,,いかりんぐ,1398,5
44,-,,ゴンヂ,1396,5
45,-,,星野アイ,1394,5
46,-,,ピンコ,1393,5
47,-,,メザリア,1392,5
48,-,,腸詰,1392,5
49,-,,野獣先輩,1391,5
50,-,,快活ねーさん,1388,5
