,-,職業,キャラクター,レベル,転生回数
1,-,,永遠の暗闇,2044,5
2,-,,KUREHA_GtS,2042,5
3,-,,サイバーナイト,2036,5
4,-,,骨ラーメン☆,2034,5
5,-,,_とろ_,2033,5
6,-,,甘酒ココア,2033,5
7,-,,ΨtinariΨ,2032,5
8,-,,mttt,2032,5
9,-,,対立ちゃん,2031,5
10,-,,カカオ零,2030,5
11,-,,vellr1a,2030,5
12,-,,チトヌ,2027,5
13,-,,†LightSide†,2024,5
14,-,,純燼,2024,5
15,-,,krisu,2023,5
16,-,,ずっさん,2023,5
17,-,,蜜月抄,2022,5
18,-,,ドカ食い気絶部,2020,5
19,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2019,5
20,-,,ψXENOψ,2019,5
21,-,,マゼ・ドレーク,2019,5
22,-,,ﾌｪﾘｱ,2016,5
23,-,,inherit,2016,5
24,-,,ああ播磨灘,2016,5
25,-,,HGRY,2015,5
26,-,,Bird_of_Hermes,2015,5
27,-,,うにゃDX,2014,5
28,-,,ゆんの助,2013,5
29,-,,たいやきあんこ,2013,5
30,-,,もぐらⅲ,2011,5
31,-,,あぼん☆,2011,5
32,-,,＊鬼鮫＊,2011,5
33,-,,ちゃらめる,2011,5
34,-,,ﾛｰﾈﾙ,2011,5
35,-,,hanacyan,2011,5
36,-,,あぷりこ,2010,5
37,-,,思いやりGDX,2010,5
38,-,,ウリ☆,2010,5
39,-,,ちよし姫,2010,5
40,-,,♯夕さま,2010,5
41,-,,キャプテン渡良瀬,2010,5
42,-,,lave｡,2009,5
43,-,,ｱﾆﾘｿ,2008,5
44,-,,王女ゲーム,2008,5
45,-,,にゃ～ん（笑）,2008,5
46,-,,もじもじ様,2008,5
47,-,,光月おでん,2008,5
48,-,,あまぞねす。,2007,5
49,-,,ほしめろちゃん,2007,5
50,-,,猫邪,2007,5
