,-,職業,キャラクター,レベル,転生回数
1,-,,パトリック,1500,5
2,-,,ノワール・ヴィ,1500,5
3,-,,海月さん,1500,5
4,-,,Saphir,1500,5
5,-,,penta,1500,5
6,-,,shiro,1500,5
7,-,,キャノーラ,1500,5
8,-,,みお＊,1500,5
9,-,,みお,1500,5
10,-,,ゼフィ,1500,5
11,-,,不穏な悲鳴,1500,5
12,-,,オラついたキティ,1500,5
13,-,,何して遊ぶ？,1500,5
14,-,,ぎんどりⅡ,1500,5
15,-,,天音ちゃ,1500,5
16,-,,みお☆,1500,5
17,-,,エクレール,1500,5
18,-,,キャプテンわかめ,1500,5
19,-,,セナ船長,1500,5
20,-,,クラフティ,1500,5
21,-,,夢花火,1500,5
22,-,,πの一族,1500,5
23,-,,だいもんじ,1500,5
24,-,,Join_Helldivers,1478,5
25,-,,リチャード,1476,5
26,-,,ばぐぴん,1475,5
27,-,,金鯖立ちんぼ女子,1452,5
28,-,,ろたりび,1445,5
29,-,,きゃーのん,1437,5
30,-,,金鯖だからね,1436,5
31,-,,テケ子,1430,5
32,-,,banapagg,1429,5
33,-,,なんた,1420,5
34,-,,合法ロリ,1412,5
35,-,,フォトナ,1410,5
36,-,,catt,1406,5
37,-,,fatale,1404,5
38,-,,おふとぅん,1402,5
39,-,,どらんぱ,1401,5
40,-,,nimucap,1401,5
41,-,,ｘジャスミンｘ,1401,5
42,-,,mkrain,1400,5
43,-,,まつらいろり,1400,5
44,-,,ニア・リストン♪,1397,5
45,-,,これが罵倒,1394,5
46,-,,らいがる,1387,5
47,-,,code,1385,5
48,-,,ぎんどり,1385,5
49,-,,ζArchangelumeζ,1382,5
50,-,,Licos_More,1381,5
