,-,職業,キャラクター,レベル,転生回数
1,-,,カジュアル,2000,5
2,-,,ラクサスドレアン,2000,5
3,-,,ψXENOψ,2000,5
4,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2000,5
5,-,,たいやきあんこ,2000,5
6,-,,mttt,2000,5
7,-,,レジェンド石橋,2000,5
8,-,,アリス・ワンダー,2000,5
9,-,,思いやりGDX,1982,5
10,-,,krisu,1976,5
11,-,,xたまきちx,1974,5
12,-,,marui11111,1972,5
13,-,,Oddesy,1969,5
14,-,,うにゃDX,1963,5
15,-,,快活ねえさん,1961,5
16,-,,ハイドシークス,1957,5
17,-,,蜜月抄,1952,5
18,-,,＊鬼鮫＊,1950,5
19,-,,あぷりこ,1950,5
20,-,,Miki_,1943,5
21,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1942,5
22,-,,愛泉,1933,5
23,-,,ルベーグ2世,1932,5
24,-,,サイバーナイト,1929,5
25,-,,ﾌｪﾘｱ,1928,5
26,-,,猫邪,1926,5
27,-,,アクシズ教神官,1925,5
28,-,,ウリ☆,1925,5
29,-,,御暇さん,1923,5
30,-,,しらすたっぷ。,1915,5
31,-,,ろずこ,1914,5
32,-,,れもんψ,1912,5
33,-,,ちよし姫,1912,5
34,-,,ほしめろちゃん,1911,5
35,-,,二階堂パンパース,1910,5
36,-,,ああ播磨灘,1902,5
37,-,,☆まろむぎ☆,1900,5
38,-,,MVアグスタ,1900,5
39,-,,氷華舞い散る,1897,5
40,-,,永遠の暗闇,1893,5
41,-,,WaterLilyFlower,1892,5
42,-,,黒虎ちゃん,1892,5
43,-,,☆☆うっちぃ☆☆,1888,5
44,-,,むぎちゃ。,1886,5
45,-,,戦略破壊魔術兵器,1880,5
46,-,,痛風姉さん,1874,5
47,-,,ふぇの,1873,5
48,-,,腐敗キノコ,1871,5
49,-,,緋色＄,1870,5
50,-,,☆キノ♪,1870,5
