,サマナー,ぷーちゃん♪,1455,5
2位,,追放天使,狼輝,1446,5
3位,,剣士,地方都市のﾒﾒﾝﾄﾓﾘ,1443,5
4位,,光奏師,ｹﾓ蔵,1442,5
5位,,ランサー,ワユ,1442,5
6位,,闘士,あなたのハートに,1433,5
7位,,プリンセス,Le・Ciel,1433,5
8位,,霊術師,ちんき。,1431,5
9位,,ランサー,さなっしー,1429,5
10位,,霊術師,舞牡丹,1427,5
11位,,ランサー,狗神めありー,1427,5
12位,,武道家,岡部_誠,1427,5
13位,,悪魔,えんまねこ,1426,5
14位,,ランサー,ニート太郎,1426,5
15位,,黒魔術師,￡Gazelle,1425,5
16位,,獣人,解離,1425,5
17位,,アルケミスト,tantan_01,1421,5
18位,,プリンセス,やっくる♪,1420,5
19位,,戦士,コボルト秘密ULT,1418,5
20位,,プリンセス,未美凛,1417,5
21位,,ランサー,わかまつあいな,1416,5
22位,,黒魔術師,アーリア。,1415,5
23位,,武道家,暇潰,1415,5
24位,,剣士,RAD大好き,1415,5
25位,,武道家,はちみつ。,1411,5
26位,,霊術師,鬼一家の霊術師,1410,5
27位,,アルケミスト,きれのじろう,1406,5
28位,,戦士,AnotherOrion,1403,5
29位,,霊術師,ボイン姉ちゃん,1401,5
30位,,アーチャー,＄神様家族＄,1400,5
31位,,武道家,ヒャム,1400,5
32位,,ランサー,趣味は・・・矢,1397,5
33位,,ランサー,紙ねろ,1393,5
34位,,霊術師,カマキリ令嬢,1390,5
35位,,光奏師,tantan_13,1385,5
36位,,武道家,暇つぶ,1385,5
37位,,ビショップ,シル星,1382,5
38位,,武道家,さらまんだーγ,1378,5
39位,,ビショップ,こるてんし（仮）,1378,5
40位,,黒魔術師,メロメロイド,1373,5
41位,,戦士,餅の･∀･凍結,1373,5
42位,,ビショップ,素人僧侶ぽいぽい,1370,5
43位,,プリンセス,おつまみさん,1367,5
44位,,黒魔術師,闇卵,1360,5
45位,,ランサー,バジル・ユバ,1358,5
46位,,シーフ,セっツ,1354,5
47位,,ウィザード,9rpm,1348,5
48位,,ビーストテイマー,フウリン,1341,5
49位,,剣士,DragonTwi☆ミ,1339,5
50位,,サマナー,みゅうごろう,1332,5
51位,,ランサー,べろちゅっちゅ,1330,5
52位,,メイド,つばきひめ,1321,5
53位,,ランサー,くりゅ,1321,5
54位,,シーフ,勃起,1316,5
55位,,追放天使,【ポッセ】,1304,5
56位,,シーフ,るてさん。,1303,5
57位,,闘士,tantan_08,1300,5
58位,,ウィザード,star＠wiz,1300,5
59位,,アルケミスト,ゆゆたそ,1299,5
60位,,ウルフマン,業者,1298,5
61位,,剣士,ﾄﾞﾔ顔の達人。,1293,5
62位,,剣士,わんくろ,1292,5
63位,,武道家,legel,1291,5
64位,,ウィザード,MBMM１２,1291,5
65位,,悪魔,濁湯馬鈴薯,1288,5
66位,,アーチャー,gurai,1283,5
67位,,シーフ,ぷいきゅあ～,1283,5
68位,,黒魔術師,鬼一家の黒魔,1281,5
69位,,武道家,ラカリフサの村長,1280,5
70位,,追放天使,真ﾉ天使（ｵﾄｺ）,1280,5
71位,,プリンセス,Harmonie,1279,5
72位,,黒魔術師,いぼのじろう,1278,5
73位,,武道家,瓏蓮,1278,5
74位,,霊術師,ハープちゃん,1275,5
75位,,黒魔術師,狼妖,1274,5
76位,,ランサー,chachami,1270,5
77位,,武道家,sunafu,1270,5
78位,,獣人,UltimateRAD,1268,5
79位,,霊術師,ぶろんずごりら,1267,5
80位,,ランサー,システィール,1267,5
81位,,霊術師,芋がいい,1266,5
82位,,ランサー,ネオン♪゛,1263,5
83位,,リトルウィッチ,StoPBlTch,1260,5
84位,,アーチャー,Lanval,1260,5
85位,,ウィザード,創造神皇ダニエル,1260,5
86位,,シーフ,攻めがわ,1259,5
87位,,戦士,§Alexandrite§,1259,5
88位,,霊術師,狼闘,1257,5
89位,,ランサー,藤井聡太,1257,5
90位,,光奏師,ゆゆちゃ,1256,5
91位,,獣人,PiPiPuRi,1255,5
92位,,アーチャー,微笑のテレサ,1255,5
93位,,ランサー,ｱｼﾝﾒﾄﾘｰ,1255,5
94位,,ビショップ,ServerDown,1255,5
95位,,シーフ,towaco．,1254,5
96位,,ランサー,小豆桔梗,1253,5
97位,,武道家,神風の隼,1253,5
98位,,戦士,こるじょん,1253,5
99位,,プリンセス,鬼一家の姫,1252,5
100位,,ビーストテイマー,waspinator,1252,5
101位,,武道家,あとぅむ,1252,5
102位,,シーフ,＋カイト＋,1252,5
103位,,ウィザード,しゃいん･れい,1252,5
104位,,リトルウィッチ,みけぼん,1251,5
105位,,剣士,☆シグマワイ,1251,5
106位,,剣士,隴燐,1251,5
107位,,光奏師,一色菫,1250,5
108位,,ランサー,ムロモン,1250,5
109位,,光奏師,kicky,1247,5
110位,,ランサー,愛犬サクラ,1244,5
111位,,シーフ,ジェシ‐おいたん,1244,5
112位,,黒魔術師,ふに゜,1243,5
113位,,闘士,☆よなぐに☆,1243,5
114位,,ランサー,peace。,1243,5
115位,,ウィザード,イフリィート,1241,5
116位,,武道家,うりゅうううう,1240,5
117位,,アーチャー,ちょめ助,1238,5
118位,,戦士,じみ～,1237,5
119位,,リトルウィッチ,お寿司4,1235,5
120位,,ランサー,ねこみみ弐号,1235,5
121位,,剣士,Asley_Cade,1235,5
122位,,ランサー,シルスフィ,1232,5
123位,,武道家,カピカピのおもち,1230,5
124位,,武道家,まるゴキ,1230,5
125位,,ウィザード,大動脈瘤,1226,5
126位,,闘士,○○○○●,1225,5
127位,,ランサー,城咲ロミオ,1225,5
128位,,ウィザード,Manstyle,1224,5
129位,,ランサー,弓兵頭,1221,5
130位,,霊術師,bakkyiii,1218,5
131位,,ランサー,〝AIO〟,1217,5
132位,,霊術師,ちんき２,1216,5
133位,,シーフ,瞬影,1216,5
134位,,黒魔術師,日影アゲハ,1214,5
135位,,ランサー,～破幻～,1214,5
136位,,獣人,狼煌,1212,5
137位,,霊術師,ψ七ちψ,1212,5
138位,,ランサー,ちゃわ～ん＾＾,1212,5
139位,,剣士,DTゆうや,1212,5
140位,,獣人,四ツ矢丸,1211,5
141位,,黒魔術師,ヴァシリッサ,1210,5
142位,,ランサー,記録の地平線,1210,5
143位,,獣人,べーやまぁ,1208,5
144位,,戦士,くびら,1208,5
145位,,ビーストテイマー,ういオレンジ,1207,5
146位,,獣人,山佐の獣撃,1206,5
147位,,プリンセス,蛍猫姫♪,1205,5
148位,,ランサー,ちはるちゃんん,1205,5
149位,,武道家,隻眼盗賊,1205,5
150位,,黒魔術師,meden,1203,5
151位,,ランサー,ふぁみりった,1203,5
152位,,ビショップ,神聖桜,1203,5
153位,,霊術師,Gazelle_yui,1202,5
154位,,ビーストテイマー,karu_g,1201,5
155位,,ランサー,ｼﾞｪﾌﾃｨ,1201,5
156位,,武道家,Melttykiss☆,1201,5
157位,,武道家,ねこぱんつ,1201,3
158位,,アーチャー,￡impulse￡,1200,5
159位,,シーフ,WELLBE,1200,5
160位,,追放天使,ダーグル,1200,5
161位,,ビショップ,†御殴裏隙打郎†,1200,5
162位,,戦士,カトリ。,1200,5
163位,,剣士,Graaazie,1200,5
164位,,霊術師,ふーにゃ,1199,5
165位,,リトルウィッチ,～ジェス～,1196,5
166位,,サマナー,∬ルシフェリア∬,1196,5
167位,,ウルフマン,忠義の狗爪ココ,1195,5
168位,,メイド,ひらぺん,1190,5
169位,,プリンセス,狼妃,1190,5
170位,,アーチャー,魚有,1190,5
171位,,ランサー,つば○,1190,5
172位,,シーフ,温泉ソムリエ,1189,5
173位,,光奏師,Nigelle,1188,5
174位,,戦士,ポロさん,1188,5
175位,,アルケミスト,EquilibrioAlba,1187,5
176位,,霊術師,watta_gra,1187,5
177位,,ウィザード,Lenard,1187,5
178位,,シーフ,バイフリッツ,1186,5
179位,,ランサー,Ａ・シャリアール,1185,5
180位,,ランサー,望みし永遠の混沌,1184,5
181位,,ランサー,ko_san,1183,5
182位,,ランサー,covid,1182,5
183位,,シーフ,nanakusa,1182,5
184位,,プリンセス,Liaison,1181,5
185位,,武道家,比企谷はちまん,1180,5
