,-,職業,キャラクター,レベル,転生回数
1,-,,カジュアル,2000,5
2,-,,ラクサスドレアン,2000,5
3,-,,ψXENOψ,2000,5
4,-,,たいやきあんこ,2000,5
5,-,,mttt,2000,5
6,-,,アリス・ワンダー,2000,5
7,-,,レジェンド石橋,1987,5
8,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1971,5
9,-,,Oddesy,1969,5
10,-,,快活ねえさん,1961,5
11,-,,思いやりGDX,1958,5
12,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1942,5
13,-,,xたまきちx,1930,5
14,-,,蜜月抄,1928,5
15,-,,あぷりこ,1926,5
16,-,,猫邪,1926,5
17,-,,アクシズ教神官,1925,5
18,-,,うにゃDX,1923,5
19,-,,御暇さん,1922,5
20,-,,＊鬼鮫＊,1918,5
21,-,,しらすたっぷ。,1915,5
22,-,,krisu,1913,5
23,-,,愛泉,1912,5
24,-,,れもんψ,1911,5
25,-,,ハイドシークス,1910,5
26,-,,二階堂パンパース,1910,5
27,-,,marui11111,1907,5
28,-,,ほしめろちゃん,1900,5
29,-,,Miki_,1898,5
30,-,,ろずこ,1893,5
31,-,,ﾌｪﾘｱ,1893,5
32,-,,サイバーナイト,1888,5
33,-,,永遠の暗闇,1879,5
34,-,,ウリ☆,1873,5
35,-,,むぎちゃ。,1870,5
36,-,,ルベーグ2世,1866,5
37,-,,☆まろむぎ☆,1866,5
38,-,,☆キノ♪,1864,5
39,-,,ちよし姫,1863,5
40,-,,黒虎ちゃん,1859,5
41,-,,MVアグスタ,1859,5
42,-,,ああ播磨灘,1857,5
43,-,,戦略破壊魔術兵器,1855,5
44,-,,ねこなのクゥーン,1855,5
45,-,,shogi,1853,5
46,-,,WaterLilyFlower,1852,5
47,-,,†フィル†,1852,5
48,-,,ΨtinariΨ,1851,5
49,-,,マハーデーヴィー,1850,5
50,-,,痛風姉さん,1849,5
