,-,職業,キャラクター,レベル,転生回数
1,-,,ぷーちゃん♪,2000,5
2,-,,しらたま団子ＬＬ,1996,5
3,-,,愛犬サクラ,1992,5
4,-,,カマキリ令嬢,1991,5
5,-,,とろっとろ牛すじ,1991,5
6,-,,狼輝,1984,5
7,-,,UnBiR,1980,5
8,-,,おーいえ,1970,5
9,-,,お～い恋茶,1958,5
10,-,,りんじょー,1957,5
11,-,,アーリア。,1955,5
12,-,,シル星,1930,5
13,-,,ループド,1929,5
14,-,,みゅうごろう,1917,5
15,-,,DXUキャプテンUSA,1916,5
16,-,,レバナス父ちゃん,1915,5
17,-,,らっきーよだすけ,1915,5
18,-,,あざといたぬき,1908,5
19,-,,ﾙﾙｰｼｭ・ﾗﾝﾍﾟﾙｰｼﾞ,1906,5
20,-,,yamada3000,1904,5
21,-,,【ポッセ】,1900,5
22,-,,あなたのハートに,1896,5
23,-,,katsuxxx,1894,5
24,-,,鷸榧,1891,5
25,-,,darkfy,1888,5
26,-,,＋カイト＋,1885,5
27,-,,ねこみみ弐号,1879,5
28,-,,§エス§,1877,5
29,-,,獣☆ホブス,1876,5
30,-,,弓兵頭,1874,5
31,-,,伊勢七海,1873,5
32,-,,ひさめっち,1870,5
33,-,,Narmaya,1869,5
34,-,,〝AIO〟,1866,5
35,-,,MariaDB,1863,5
36,-,,メリデ♪,1858,5
37,-,,狛狗,1855,5
38,-,,捨ノ型・生生流転,1852,5
39,-,,Amstel,1844,5
40,-,,ぼのの,1843,5
41,-,,たこち,1838,5
42,-,,9rpm,1834,5
43,-,,covid,1834,5
44,-,,さなっしー,1833,5
45,-,,風の歌,1831,5
46,-,,趣味は・・・矢,1830,5
47,-,,光のボウリング,1829,5
48,-,,ボイン姉ちゃん,1827,5
49,-,,夏休みの破壊工作,1816,5
50,-,,ｂｏｗ‐ｗｏｗ,1811,5
