,-,職業,キャラクター,レベル,転生回数
1,-,,mttt,2032,5
2,-,,カカオ零,2030,5
3,-,,永遠の暗闇,2025,5
4,-,,krisu,2023,5
5,-,,ドカ食い気絶部,2020,5
6,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2014,5
7,-,,うにゃDX,2014,5
8,-,,サイバーナイト,2013,5
9,-,,たいやきあんこ,2013,5
10,-,,対立ちゃん,2013,5
11,-,,ﾌｪﾘｱ,2011,5
12,-,,hanacyan,2011,5
13,-,,骨ラーメン☆,2010,5
14,-,,思いやりGDX,2010,5
15,-,,ウリ☆,2010,5
16,-,,ちよし姫,2010,5
17,-,,ちゃらめる,2008,5
18,-,,もぐらⅲ,2007,5
19,-,,ΨtinariΨ,2007,5
20,-,,vellr1a,2007,5
21,-,,ずっさん,2006,5
22,-,,ψXENOψ,2006,5
23,-,,ろずこ,2006,5
24,-,,マハーデーヴィー,2006,5
25,-,,ﾛｰﾈﾙ,2006,5
26,-,,marui11111,2006,5
27,-,,FILIBUSTER,2006,5
28,-,,あまぞねす。,2005,5
29,-,,ほしめろちゃん,2005,5
30,-,,マゼ・ドレーク,2005,5
31,-,,ξスロウξ,2004,5
32,-,,アクシズ教神官,2004,5
33,-,,甘酒ココア,2004,5
34,-,,黒虎ちゃん,2004,5
35,-,,アリス・ワンダー,2004,5
36,-,,Bird_of_Hermes,2004,5
37,-,,うなぎ。,2004,5
38,-,,HGRY,2003,5
39,-,,てっぷ。,2003,5
40,-,,Oddesy,2002,5
41,-,,御暇さん,2002,5
42,-,,アバブ,2002,5
43,-,,☆キノ♪,2002,5
44,-,,ゆきちゃま,2002,5
45,-,,猫邪,2002,5
46,-,,ｱﾆﾘｿ,2001,5
47,-,,りるどーぷ,2001,5
48,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,2001,5
49,-,,明桜,2001,5
50,-,,カカオ戌,2001,5
