,サマナー,ぷーちゃん♪,1468,5
2位,,追放天使,狼輝,1467,5
3位,,ランサー,ワユ,1462,5
4位,,アーチャー,さなっしー,1459,5
5位,,闘士,あなたのハートに,1457,5
6位,,アーチャー,趣味は・・・矢,1452,5
7位,,獣人,ｹﾓ蔵,1451,5
8位,,霊術師,ちんき。,1451,5
9位,,剣士,地方都市のﾒﾒﾝﾄﾓﾘ,1451,5
10位,,黒魔術師,アーリア。,1448,5
11位,,獣人,解離,1447,5
12位,,プリンセス,Le・Ciel,1446,5
13位,,剣士,RAD大好き,1444,5
14位,,黒魔術師,￡Gazelle,1441,5
15位,,剣士,AnotherOrion,1441,5
16位,,悪魔,えんまねこ,1439,5
17位,,ランサー,わかまつあいな,1438,5
18位,,プリンセス,やっくる♪,1437,5
19位,,武道家,岡部_誠,1434,5
20位,,霊術師,舞牡丹,1431,5
21位,,アーチャー,くりゅ,1431,5
22位,,武道家,暇潰＠引退,1431,5
23位,,光奏師,tantan_13,1430,5
24位,,アルケミスト,tantan_01,1428,5
25位,,ランサー,狗神めありー,1427,5
26位,,武道家,さらまんだーγ,1425,5
27位,,戦士,コボルト秘密ULT,1423,5
28位,,闘士,鬼一家の霊術師,1422,5
29位,,アーチャー,＄神様家族＄,1420,5
30位,,ランサー,藤井聡太,1420,5
31位,,武道家,ヒャム,1420,5
32位,,アーチャー,紙ねろ,1419,5
33位,,プリンセス,未美凛,1417,5
34位,,ビショップ,素人僧侶ぽいぽい,1417,5
35位,,黒魔術師,メロメロイド,1413,5
36位,,ランサー,バジル・ユバ,1413,5
37位,,武道家,はちみつ。,1411,5
38位,,アルケミスト,きれのじろう,1410,5
39位,,追放天使,こるてんし（仮）,1406,5
40位,,戦士,餅の･∀･凍結,1406,5
41位,,霊術師,ボイン姉ちゃん,1403,5
42位,,武道家,神風の隼,1402,5
43位,,武道家,セっツ,1400,5
44位,,武道家,暇つぶ,1400,5
45位,,霊術師,カマキリ令嬢,1398,5
46位,,ウィザード,9rpm,1394,5
47位,,ビーストテイマー,フウリン,1382,5
48位,,ビショップ,シル星,1382,5
49位,,プリンセス,おつまみさん,1380,5
50位,,黒魔術師,闇卵,1379,5
51位,,ウィザード,star＠wiz,1372,5
52位,,ランサー,小豆桔梗,1371,5
53位,,ランサー,愛犬サクラ,1366,5
54位,,メイド,つばきひめ,1355,5
55位,,闘士,○○○○●,1350,5
56位,,闘士,☆よなぐに☆,1349,5
57位,,アーチャー,システィール,1347,5
58位,,サマナー,みゅうごろう,1332,5
59位,,ランサー,べろちゅっちゅ,1330,5
60位,,シーフ,勃起,1330,5
61位,,光奏師,UltimateRAD,1327,5
62位,,シーフ,るてさん。,1320,5
63位,,ランサー,弓兵頭,1317,5
64位,,追放天使,避妊はおしりで,1315,5
65位,,シーフ,ぷいきゅあ～,1308,5
