,-,職業,キャラクター,レベル,転生回数
1,-,,える嬢,1500,5
2,-,,ｳｰﾆｬｰﾙｰﾊﾟｰ,1500,5
3,-,,ﾓｰﾈﾙ,1500,5
4,-,,アリスワンダー,1500,5
5,-,,よーいどーん,1500,5
6,-,,きんぎょ。,1500,5
7,-,,ヤニカス幼女,1500,5
8,-,,Bligh,1500,5
9,-,,ELGIN,1500,5
10,-,,向上箱狙いめっち,1500,5
11,-,,みか☆えりす,1500,5
12,-,,すなふちゃん,1500,5
13,-,,おもぐり,1500,5
14,-,,背中の壺,1500,5
15,-,,EternalSky,1500,5
16,-,,akairosignal,1500,5
17,-,,Saphir,1500,5
18,-,,潤羽るしふぁー,1500,5
19,-,,ベイムババア,1500,5
20,-,,ケイ,1500,5
21,-,,しみにー,1500,5
22,-,,襲う波,1500,5
23,-,,ジェノ氏,1500,5
24,-,,粉砕の祈り,1500,5
25,-,,ふぁるけってぃあ,1500,5
26,-,,ｺﾞｰﾙﾃﾞﾝﾐｻﾐｻ,1500,5
27,-,,しぐっぽい,1500,5
28,-,,パーマ＠,1500,5
29,-,,レジェンド校長,1500,5
30,-,,ましろ,1500,5
31,-,,さぶる,1500,5
32,-,,ぷぴぃ銃,1500,5
33,-,,ねるねる,1500,5
34,-,,るるたん,1500,5
35,-,,マヌケ,1500,5
36,-,,弓子,1500,5
37,-,,ワイアットアープ,1500,5
38,-,,金鯖太郎,1500,5
39,-,,きんちゃん2026,1500,5
40,-,,メタラー,1500,5
41,-,,penta,1500,5
42,-,,ヒママ,1500,5
43,-,,ねむみちゃん,1500,5
44,-,,しろ,1500,5
45,-,,さけのいきおい！,1500,5
46,-,,Andalusite,1500,5
47,-,,ベイムジジイ,1500,5
48,-,,ぷっしゃー,1500,5
49,-,,デスガンぶっころ,1500,5
50,-,,コロリナ,1500,5
