,-,職業,キャラクター,レベル,転生回数
1,-,,うに姫。,1500,5
2,-,,塵地螺鈿飾剣,1500,5
3,-,,ELGIN,1500,5
4,-,,みお＊,1500,5
5,-,,ねこのて,1497,5
6,-,,Maki,1472,5
7,-,,ていたらく,1471,5
8,-,,non1341,1466,5
9,-,,ソムリエ,1450,5
10,-,,レジェンド左橋,1434,5
11,-,,捨てキング,1431,5
12,-,,seef,1431,5
13,-,,魔女のお茶会,1430,5
14,-,,penta,1419,5
15,-,,みどりん,1403,5
16,-,,saburu1,1403,5
17,-,,ジェノ氏,1402,5
18,-,,ノワール・ヴィ,1396,5
19,-,,うーたろう,1389,5
20,-,,takasaki,1380,5
21,-,,code,1379,5
22,-,,野獣と化した先輩,1379,5
23,-,,DEATHNOTE,1377,5
24,-,,ドロップに期待,1376,5
25,-,,ジェット天秤,1376,5
26,-,,神奈備命,1370,5
27,-,,トルテ,1370,5
28,-,,キャノンψ,1368,5
29,-,,YUSA,1367,5
30,-,,GP03ﾃﾞﾝﾄﾞﾛﾋﾞｳﾑ,1366,5
31,-,,Govou,1366,5
32,-,,甘栗うまい！,1363,5
33,-,,快活の原罪,1362,5
34,-,,Bぐり,1362,5
35,-,,えるふぁいやー！,1362,5
36,-,,強キ者,1361,5
37,-,,忍野忍,1361,5
38,-,,ζｃanotarosζ,1361,5
39,-,,Rusalka,1361,5
40,-,,海月さん,1358,5
41,-,,タヌキ,1358,5
42,-,,やわやわ戦車,1357,5
43,-,,あじまる屋さん,1357,5
44,-,,あるもんて,1356,5
45,-,,CR大日本帝国,1355,5
46,-,,CIAOちゅ～る,1352,5
47,-,,蒼佑,1352,5
48,-,,ぼすごん,1351,5
49,-,,ししまる,1350,5
50,-,,まーち,1347,5
