,-,職業,キャラクター,レベル,転生回数
1,-,,りんじょー,2050,5
2,-,,§エス§,2038,5
3,-,,ぷーちゃん♪,2037,5
4,-,,甘栗うっまW,2035,5
5,-,,カマキリ令嬢,2034,5
6,-,,UnBiR,2034,5
7,-,,野獣パイセン,2033,5
8,-,,sunafu,2031,5
9,-,,ｂｏｗ‐ｗｏｗ,2030,5
10,-,,狼輝,2030,5
11,-,,タメヴィアータ。,2030,5
12,-,,シル星,2029,5
13,-,,風の歌,2026,5
14,-,,Narmaya,2024,5
15,-,,＋カイト＋,2022,5
16,-,,covid,2021,5
17,-,,趣味は・・・矢,2019,5
18,-,,おーいえ,2016,5
19,-,,あざといたぬき,2015,5
20,-,,ψ七ちψ,2013,5
21,-,,はぁ,2012,5
22,-,,お稲成さん,2012,5
23,-,,helt,2012,5
24,-,,DXUキャプテンUSA,2011,5
25,-,,瑞穂りん,2011,5
26,-,,YJTAKE,2008,5
27,-,,SRカテナイ,2008,5
28,-,,ローザパークス,2007,5
29,-,,おぃ、止まれ！？,2007,5
30,-,,†卍キリト卍†,2007,5
31,-,,Saphistia,2007,5
32,-,,Saphistia。,2007,5
33,-,,君のﾊｰﾄにｽﾞｷｭﾝ,2006,5
34,-,,お～い恋茶,2006,5
35,-,,ひさめっち,2006,5
36,-,,愛犬サクラ,2005,5
37,-,,【ポッセ】,2005,5
38,-,,しらたま団子ＬＬ,2005,5
39,-,,黒い白鳥,2005,5
40,-,,ぼのの,2005,5
41,-,,ピレノダンシング,2005,5
42,-,,アーリア。,2004,5
43,-,,Andalusite,2004,5
44,-,,きゃのちき。,2004,5
45,-,,asdcfth,2004,5
46,-,,ﾗｯｷｰﾋﾞｯｷｰ,2004,5
47,-,,なーりー,2003,5
48,-,,ループド,2003,5
49,-,,かにちゃん＠,2003,5
50,-,,みどり先輩,2003,5
