,-,職業,キャラクター,レベル,転生回数
1,-,,とったん,1394,5
2,-,,ラートム,1366,5
3,-,,かいふう。,1350,5
4,-,,離婚おじさん,1209,5
5,-,,penta,1184,5
6,-,,あかしょん,1131,5
7,-,,万人の死角,1113,5
8,-,,メイ,1103,5
9,-,,くろひな,1081,5
10,-,,とりんだめあ,1080,5
11,-,,フィリップス,1076,5
12,-,,ちいさめ,1063,5
13,-,,ルフィ,1057,5
14,-,,脳筋ちゃん,1047,5
15,-,,ココ,1045,5
16,-,,ローズ・スィ,1042,5
17,-,,ウーマナイザー響,1038,5
18,-,,タカツキ・BT,1032,5
19,-,,しめじ,1028,5
20,-,,びっちょりアルケ,1023,5
21,-,,∮Moca∮,1020,5
22,-,,arccos01,1020,5
23,-,,トルトン,1019,5
24,-,,デパス斎藤,1018,5
25,-,,Miyavv,1014,5
26,-,,骸月,1014,5
27,-,,あすふぁ,1014,5
28,-,,Gewalt,1009,5
29,-,,氷のち炎時々雷,1008,5
30,-,,ぷーーーた,1008,5
31,-,,たまむり,1007,5
32,-,,猛々しい念獣,1007,5
33,-,,かっつん,1006,5
34,-,,おじたん,1006,5
35,-,,柿葉,1005,5
36,-,,異界強化,1005,5
37,-,,えむはげまん,1005,5
38,-,,KapiKinMaster,1004,5
39,-,,syuGArcher,1004,5
40,-,,ﾁｮｲ悪ﾒｲﾄﾞ,1004,5
41,-,,♪つんはと♪,1004,5
42,-,,ビビンズ,1004,5
43,-,,ももこｃ,1004,5
44,-,,こんちゃん,1003,5
45,-,,§マロン§,1002,5
46,-,,午後の紅茶sf,1002,5
47,-,,きゃんタマ男,1002,5
48,-,,吉田,1002,5
49,-,,ガルシア,1001,5
50,-,,バイルタイタン,1001,5
