,-,職業,キャラクター,レベル,転生回数
1,-,,シエスタ,1500,5
2,-,,天音ちゃ,1500,5
3,-,,AZALEA,1500,5
4,-,,赤石ずん子,1405,5
5,-,,ライラック,1403,5
6,-,,野獣先輩,1400,5
7,-,,とったん,1394,5
8,-,,ずやん,1369,5
9,-,,ラートム,1366,5
10,-,,かいふう。,1350,5
11,-,,スペちゃん,1322,5
12,-,,しゃろろん,1313,5
13,-,,サイレン,1253,5
14,-,,りーふぃあ,1251,5
15,-,,メリデ？,1250,5
16,-,,distortion,1250,5
17,-,,ファン・ミカン,1222,5
18,-,,離婚おじさん,1209,5
19,-,,penta,1184,5
20,-,,えーくす,1183,5
21,-,,あほちん,1142,5
22,-,,あかしょん,1131,5
23,-,,万人の死角,1113,5
24,-,,メイ,1103,5
25,-,,カフェモカ,1102,5
26,-,,perako,1082,5
27,-,,くろひな,1081,5
28,-,,とりんだめあ,1080,5
29,-,,フィリップス,1076,5
30,-,,可愛い子ちゃん,1065,5
31,-,,ちいさめ,1063,5
32,-,,貧乏貴族,1063,5
33,-,,あずうる,1058,5
34,-,,ルフィ,1057,5
35,-,,シャカビーチ,1056,5
36,-,,viviD,1049,5
37,-,,脳筋ちゃん,1047,5
38,-,,ココ,1045,5
39,-,,ローズ・スィ,1042,5
40,-,,ウーマナイザー響,1038,5
41,-,,UBEX,1034,5
42,-,,タカツキ・BT,1032,5
43,-,,しめじ,1028,5
44,-,,パスタン,1027,5
45,-,,ニコニコ葬送曲,1026,5
46,-,,冑中柔獣,1025,5
47,-,,銭投げウーマン,1025,5
48,-,,しましまーる。,1025,5
49,-,,文子,1024,5
50,-,,サナ,1024,5
