,-,職業,キャラクター,レベル,転生回数
1,-,,たいやきあんこ,1940,5
2,-,,mttt,1935,5
3,-,,ψXENOψ,1931,5
4,-,,アリス・ワンダー,1911,5
5,-,,思いやりGDX,1886,5
6,-,,カジュアル,1885,5
7,-,,レジェンド石橋,1885,5
8,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1883,5
9,-,,れもんψ,1882,5
10,-,,ラクサスドレアン,1877,5
11,-,,アクシズ教神官,1871,5
12,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1870,5
13,-,,快活ねえさん,1867,5
14,-,,Oddesy,1864,5
15,-,,猫邪,1860,5
16,-,,蜜月抄,1858,5
17,-,,krisu,1856,5
18,-,,あぷりこ,1856,5
19,-,,御暇さん,1853,5
20,-,,愛泉,1851,5
21,-,,しらすたっぷ。,1850,5
22,-,,二階堂パンパース,1850,5
23,-,,xたまきちx,1849,5
24,-,,＊鬼鮫＊,1846,5
25,-,,キングプー,1845,5
26,-,,ｱﾆﾘｿ,1844,5
27,-,,marui11111,1842,5
28,-,,ﾌｪﾘｱ,1841,5
29,-,,うにゃDX,1841,5
30,-,,☆あおり☆,1840,5
31,-,,ろずこ,1837,5
32,-,,☆キノ♪,1836,5
33,-,,戦略破壊魔術兵器,1835,5
34,-,,ハイドシークス,1835,5
35,-,,サイバーナイト,1833,5
36,-,,ほしめろちゃん,1829,5
37,-,,ああ播磨灘,1824,5
38,-,,ξスロウξ,1823,5
39,-,,ζhaluluζ,1823,5
40,-,,†フィル†,1823,5
41,-,,shogi,1821,5
42,-,,Miki_,1821,5
43,-,,Hard_A,1818,5
44,-,,黒虎ちゃん,1818,5
45,-,,ルベーグ2世,1816,5
46,-,,あぼん☆,1815,5
47,-,,むぎちゃ。,1814,5
48,-,,不動心ミノル,1813,5
49,-,,ちゃらめる,1812,5
50,-,,VR戦士,1812,5
