,-,職業,キャラクター,レベル,転生回数
1,-,,ともたん333,671,15
2,-,,たいやきあんこ,1828,5
3,-,,mttt,1826,5
4,-,,ψXENOψ,1825,5
5,-,,レジェンド石橋,1819,5
6,-,,二階堂パンパース,1816,5
7,-,,☆あおり☆,1814,5
8,-,,アリス・ワンダー,1814,5
9,-,,ｱﾆﾘｿ,1813,5
10,-,,krisu,1811,5
11,-,,思いやりGDX,1808,5
12,-,,ζhaluluζ,1807,5
13,-,,うにゃDX,1806,5
14,-,,ハイドシークス,1805,5
15,-,,＊鬼鮫＊,1804,5
16,-,,ルベーグ2世,1801,5
17,-,,ろずこ,1801,5
18,-,,アバブ,1800,5
19,-,,腐敗キノコ,1796,5
20,-,,キングプー,1788,5
21,-,,shogi,1787,5
22,-,,ラクサスドレアン,1786,5
23,-,,marui11111,1785,5
24,-,,れもんψ,1784,5
25,-,,ﾌｪﾘｱ,1784,5
26,-,,快活ねえさん,1784,5
27,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1782,5
28,-,,たっぷ。,1776,5
29,-,,nonamealcemist,1775,5
30,-,,戦略破壊魔術兵器,1774,5
31,-,,元団長さん,1774,5
32,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1771,5
33,-,,しらすたっぷ。,1771,5
34,-,,Oddesy,1770,5
35,-,,愛泉,1769,5
36,-,,やまCha☆,1766,5
37,-,,ああ播磨灘,1766,5
38,-,,Luvric_ver0,1766,5
39,-,,errr,1762,5
40,-,,御暇さん,1759,5
41,-,,Hard_A,1759,5
42,-,,グライムズ01,1754,5
43,-,,☆☆うっちぃ☆☆,1754,5
44,-,,ずっさん,1753,5
45,-,,Unlimited快楽園,1750,5
46,-,,サクラサケ,1750,5
47,-,,羽熊,1749,5
48,-,,マハーデーヴィー,1748,5
49,-,,†ユファ†,1746,5
50,-,,†LightSide†,1746,5
