,-,職業,キャラクター,レベル,転生回数
1,-,,たいやきあんこ,1849,5
2,-,,ψXENOψ,1846,5
3,-,,アリス・ワンダー,1844,5
4,-,,レジェンド石橋,1843,5
5,-,,思いやりGDX,1839,5
6,-,,れもんψ,1835,5
7,-,,☆あおり☆,1834,5
8,-,,ハイドシークス,1833,5
9,-,,二階堂パンパース,1830,5
10,-,,mttt,1830,5
11,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1830,5
12,-,,krisu,1826,5
13,-,,カジュアル,1825,5
14,-,,＊鬼鮫＊,1825,5
15,-,,ろずこ,1825,5
16,-,,ζhaluluζ,1823,5
17,-,,ｱﾆﾘｿ,1823,5
18,-,,キングプー,1822,5
19,-,,快活ねえさん,1821,5
20,-,,戦略破壊魔術兵器,1818,5
21,-,,愛泉,1815,5
22,-,,ﾌｪﾘｱ,1814,5
23,-,,Oddesy,1813,5
24,-,,ああ播磨灘,1811,5
25,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1810,5
26,-,,アバブ,1809,5
27,-,,†フィル†,1809,5
28,-,,黒虎ちゃん,1809,5
29,-,,うにゃDX,1809,5
30,-,,ξスロウξ,1808,5
31,-,,ずっさん,1808,5
32,-,,marui11111,1808,5
33,-,,真ぜの,1808,5
34,-,,☆☆うっちぃ☆☆,1807,5
35,-,,御暇さん,1805,5
36,-,,ラクサスドレアン,1805,5
37,-,,アクシズ教神官,1805,5
38,-,,ウリ☆,1805,5
39,-,,たっぷ。,1805,5
40,-,,サクラサケ,1804,5
41,-,,ルベーグ2世,1804,5
42,-,,ちぇころん,1803,5
43,-,,Hard_A,1803,5
44,-,,shogi,1802,5
45,-,,†LightSide†,1802,5
46,-,,アルス君,1802,5
47,-,,腐敗キノコ,1802,5
48,-,,サイバーナイト,1801,5
49,-,,不動心ミノル,1801,5
50,-,,WO・Bentley,1801,5
