,-,職業,キャラクター,レベル,転生回数
1,-,,ノワール・ヴィ,1500,5
2,-,,takasaki,1500,5
3,-,,non1341,1500,5
4,-,,みどりん,1500,5
5,-,,DEATHNOTE,1500,5
6,-,,ドロップに期待,1500,5
7,-,,えるふぁいやー！,1500,5
8,-,,うに姫。,1500,5
9,-,,うーたろう,1500,5
10,-,,ていたらく,1500,5
11,-,,モンステラ,1500,5
12,-,,ねこのて,1500,5
13,-,,黙れドン太郎,1500,5
14,-,,捨てキング,1500,5
15,-,,神奈備命,1500,5
16,-,,レジェンド左橋,1500,5
17,-,,じゃむにあ,1500,5
18,-,,塵地螺鈿飾剣,1500,5
19,-,,背中の壺【2025】,1500,5
20,-,,penta,1500,5
21,-,,うるてぃめっと,1500,5
22,-,,ジェノ氏,1500,5
23,-,,タヌキ,1500,5
24,-,,家系らーめん,1500,5
25,-,,CIAOちゅ～る,1500,5
26,-,,舞葵,1500,5
27,-,,Maki,1500,5
28,-,,ELGIN,1500,5
29,-,,seef,1500,5
30,-,,みお＊,1500,5
31,-,,YUJIN,1500,5
32,-,,社会の歯車,1500,5
33,-,,キャノンψ,1500,5
34,-,,キャノーラ,1500,5
35,-,,zizizizi,1500,5
36,-,,Alive,1500,5
37,-,,Govou,1500,5
38,-,,CM砲撃マジカル,1500,5
39,-,,魔女のお茶会,1500,5
40,-,,non398,1500,5
41,-,,Mami,1500,5
42,-,,みお☆,1500,5
43,-,,純喫茶,1500,5
44,-,,エクレール,1500,5
45,-,,病気のコボルト,1500,5
46,-,,海月さん,1494,5
47,-,,そうこみん３,1490,5
48,-,,フルーツキャノン,1488,5
49,-,,Saphir,1482,5
50,-,,MaLyi,1469,5
