,-,職業,キャラクター,レベル,転生回数
1,-,,ジェノ氏,1500,5
2,-,,タヌキ,1500,5
3,-,,そうこみん３,1500,5
4,-,,ぷりちーこ,1500,5
5,-,,Saphir,1500,5
6,-,,CR大日本帝国,1500,5
7,-,,家系らーめん,1500,5
8,-,,長浜ラーメン,1500,5
9,-,,しみしみ屋さん,1500,5
10,-,,鶏白湯ラーメン,1500,5
11,-,,いたさん,1500,5
12,-,,penta,1500,5
13,-,,shiro,1500,5
14,-,,花えび,1500,5
15,-,,背中の壺【2025】,1500,5
16,-,,じゃむにあ,1500,5
17,-,,塵地螺鈿飾剣,1500,5
18,-,,白虎,1500,5
19,-,,ぴあどら,1500,5
20,-,,ζｃanotarosζ,1500,5
21,-,,Maki,1500,5
22,-,,あじまる屋さん,1500,5
23,-,,税負担爆撃,1500,5
24,-,,海月さん,1500,5
25,-,,うに姫。,1500,5
26,-,,ノワール・ヴィ,1500,5
27,-,,takasaki,1500,5
28,-,,non1341,1500,5
29,-,,DEATHNOTE,1500,5
30,-,,パトリック,1500,5
31,-,,MaLyi,1500,5
32,-,,ドロップに期待,1500,5
33,-,,えるふぁいやー！,1500,5
34,-,,ていたらく,1500,5
35,-,,モンステラ,1500,5
36,-,,金のうにゃ缶,1500,5
37,-,,saburu1,1500,5
38,-,,まーち,1500,5
39,-,,ぺんぺん,1500,5
40,-,,蒼佑,1500,5
41,-,,レジェンド左橋,1500,5
42,-,,神奈備命,1500,5
43,-,,捨てキング,1500,5
44,-,,黙れドン太郎,1500,5
45,-,,ねこのて,1500,5
46,-,,あるもんて,1500,5
47,-,,apecano,1500,5
48,-,,sketoudara,1500,5
49,-,,強キ者,1500,5
50,-,,きょんち。,1500,5
