,追放天使,狼輝,1464,5
2位,,サマナー,ぷーちゃん♪,1462,5
3位,,ランサー,ワユ,1459,5
4位,,アーチャー,さなっしー,1457,5
5位,,闘士,あなたのハートに,1454,5
6位,,獣人,ｹﾓ蔵,1451,5
7位,,剣士,地方都市のﾒﾒﾝﾄﾓﾘ,1451,5
8位,,霊術師,ちんき。,1450,5
9位,,獣人,解離,1447,5
10位,,アーチャー,趣味は・・・矢,1447,5
11位,,プリンセス,Le・Ciel,1445,5
12位,,黒魔術師,アーリア。,1444,5
13位,,黒魔術師,￡Gazelle,1441,5
14位,,悪魔,えんまねこ,1437,5
15位,,ランサー,わかまつあいな,1437,5
16位,,戦士,AnotherOrion,1437,5
17位,,剣士,RAD大好き,1437,5
18位,,プリンセス,やっくる♪,1435,5
19位,,武道家,岡部_誠,1432,5
20位,,シーフ,暇潰,1431,5
21位,,光奏師,tantan_13,1430,5
22位,,霊術師,舞牡丹,1430,5
23位,,アルケミスト,tantan_01,1428,5
24位,,ランサー,狗神めありー,1427,5
25位,,武道家,さらまんだーγ,1423,5
26位,,霊術師,鬼一家の霊術師,1422,5
27位,,戦士,コボルト秘密ULT,1422,5
28位,,アーチャー,くりゅ,1421,5
29位,,アーチャー,＄神様家族＄,1420,5
30位,,ランサー,藤井聡太,1420,5
31位,,アーチャー,紙ねろ,1419,5
32位,,プリンセス,未美凛,1417,5
33位,,黒魔術師,メロメロイド,1413,5
34位,,ランサー,バジル・ユバ,1411,5
35位,,武道家,はちみつ。,1411,5
36位,,アルケミスト,きれのじろう,1410,5
37位,,戦士,餅の･∀･凍結,1406,5
38位,,霊術師,ボイン姉ちゃん,1402,5
39位,,ビショップ,こるてんし（仮）,1402,5
40位,,武道家,暇つぶ,1400,5
41位,,武道家,ヒャム,1400,5
42位,,ビショップ,素人僧侶ぽいぽい,1398,5
43位,,ランサー,～破幻～,1397,5
44位,,霊術師,カマキリ令嬢,1395,5
45位,,武道家,セっツ,1393,5
46位,,ビショップ,シル星,1382,5
47位,,ビーストテイマー,フウリン,1381,5
48位,,武道家,神風の隼,1381,5
49位,,プリンセス,おつまみさん,1380,5
50位,,黒魔術師,闇卵,1379,5
51位,,ウィザード,9rpm,1378,5
52位,,ランサー,小豆桔梗,1370,5
53位,,ウィザード,star＠wiz,1359,5
54位,,メイド,つばきひめ,1351,5
55位,,闘士,○○○○●,1350,5
56位,,闘士,☆よなぐに☆,1338,5
57位,,アーチャー,システィール,1335,5
58位,,サマナー,みゅうごろう,1332,5
59位,,ランサー,べろちゅっちゅ,1330,5
60位,,光奏師,UltimateRAD,1324,5
61位,,シーフ,勃起,1322,5
62位,,ランサー,愛犬サクラ,1309,5
63位,,シーフ,ぷいきゅあ～,1308,5
64位,,ウィザード,MBMM１２,1308,5
65位,,シーフ,るてさん。,1304,5
66位,,追放天使,【ポッセ】,1304,5
67位,,闘士,tantan_08,1300,5
68位,,ウィザード,業者,1300,5
69位,,アルケミスト,ゆゆたそ,1299,5
70位,,戦士,ﾄﾞﾔ顔の達人。,1293,5
71位,,剣士,わんくろ,1293,5
72位,,武道家,legel,1291,5
73位,,戦士,じみ～,1291,5
74位,,悪魔,濁湯馬鈴薯,1288,5
75位,,追放天使,真ﾉ天使（ｵﾄｺ）,1287,5
76位,,リトルウィッチ,StoPBlTch,1285,5
77位,,黒魔術師,鬼一家の黒魔,1283,5
78位,,アーチャー,gurai,1283,5
79位,,追放天使,ﾀｲｶﾞｰﾒﾛﾝ,1283,5
80位,,武道家,ラカリフサの村長,1280,5
81位,,黒魔術師,いぼのじろう,1279,5
82位,,プリンセス,Harmonie,1279,5
83位,,ランサー,ｱｼﾝﾒﾄﾘｰ,1276,5
84位,,ランサー,chachami,1276,5
85位,,霊術師,ハープちゃん,1275,5
86位,,武道家,カピカピのおもち,1275,5
87位,,ウィザード,イフリィート,1275,5
88位,,黒魔術師,狼妖,1274,5
