,-,職業,キャラクター,レベル,転生回数
1,-,,カジュアル,2000,5
2,-,,krisu,2000,5
3,-,,ラクサスドレアン,2000,5
4,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2000,5
5,-,,ψXENOψ,2000,5
6,-,,たいやきあんこ,2000,5
7,-,,marui11111,2000,5
8,-,,mttt,2000,5
9,-,,レジェンド石橋,2000,5
10,-,,アリス・ワンダー,2000,5
11,-,,xたまきちx,2000,5
12,-,,思いやりGDX,1999,5
13,-,,Oddesy,1998,5
14,-,,うにゃDX,1996,5
15,-,,蜜月抄,1990,5
16,-,,あぷりこ,1988,5
17,-,,ハイドシークス,1986,5
18,-,,快活ねえさん,1985,5
19,-,,Miki_,1982,5
20,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1976,5
21,-,,愛泉,1973,5
22,-,,＊鬼鮫＊,1969,5
23,-,,ウリ☆,1969,5
24,-,,サイバーナイト,1962,5
25,-,,御暇さん,1962,5
26,-,,猫邪,1962,5
27,-,,ﾌｪﾘｱ,1961,5
28,-,,ルベーグ2世,1952,5
29,-,,アクシズ教神官,1951,5
30,-,,腐敗キノコ,1950,5
31,-,,ほしめろちゃん,1945,5
32,-,,ちよし姫,1942,5
33,-,,ろずこ,1939,5
34,-,,☆☆うっちぃ☆☆,1937,5
35,-,,氷華舞い散る,1936,5
36,-,,魔法姫ひかり,1933,5
37,-,,ΨtinariΨ,1932,5
38,-,,MVアグスタ,1932,5
39,-,,akmm,1931,5
40,-,,ふぇの,1928,5
41,-,,真ぜの,1927,5
42,-,,ああ播磨灘,1926,5
43,-,,黒虎ちゃん,1925,5
44,-,,WaterLilyFlower,1919,5
45,-,,永遠の暗闇,1915,5
46,-,,れもんψ,1915,5
47,-,,しらすたっぷ。,1915,5
48,-,,二階堂パンパース,1910,5
49,-,,☆キノ♪,1909,5
50,-,,Unlimited快楽園,1906,5
