,サマナー,ぷーちゃん♪,1475,5
2位,,ビショップ,狼輝,1473,5
3位,,ランサー,ワユ,1465,5
4位,,アーチャー,さなっしー,1462,5
5位,,闘士,あなたのハートに,1458,5
6位,,アーチャー,趣味は・・・矢,1455,5
7位,,霊術師,ちんき。,1454,5
8位,,黒魔術師,アーリア。,1451,5
9位,,獣人,ｹﾓ蔵,1451,5
10位,,剣士,地方都市のﾒﾒﾝﾄﾓﾘ,1451,5
11位,,獣人,解離,1448,5
12位,,プリンセス,Le・Ciel,1447,5
13位,,剣士,RAD大好き,1445,5
14位,,黒魔術師,￡Gazelle,1442,5
15位,,剣士,AnotherOrion,1442,5
16位,,悪魔,えんまねこ,1440,5
17位,,ランサー,わかまつあいな,1438,5
18位,,プリンセス,やっくる♪,1437,5
19位,,武道家,岡部_誠,1437,5
20位,,アーチャー,くりゅ,1434,5
21位,,光奏師,tantan_13,1431,5
22位,,霊術師,舞牡丹,1431,5
23位,,武道家,暇潰＠引退,1431,5
24位,,アルケミスト,tantan_01,1428,5
25位,,ランサー,狗神めありー,1427,5
26位,,武道家,さらまんだーγ,1426,5
27位,,戦士,コボルト秘密ULT,1425,5
28位,,闘士,鬼一家の霊術師,1422,5
29位,,アーチャー,＄神様家族＄,1421,5
30位,,ランサー,藤井聡太,1421,5
31位,,武道家,ヒャム,1421,5
32位,,アーチャー,紙ねろ,1419,5
33位,,プリンセス,未美凛,1417,5
34位,,ビショップ,究ﾎﾟ極ｲ完ﾎﾟ全ｲ体,1417,5
35位,,黒魔術師,メロメロイド,1414,5
36位,,ランサー,バジル・ユバ,1414,5
37位,,武道家,はちみつ。,1411,5
38位,,アルケミスト,きれのじろう,1410,5
39位,,ウィザード,9rpm,1407,5
40位,,追放天使,こるてんし（仮）,1406,5
41位,,戦士,餅の･∀･凍結,1406,5
42位,,霊術師,ボイン姉ちゃん,1404,5
43位,,武道家,神風の隼,1403,5
44位,,武道家,セっツ,1401,5
45位,,霊術師,カマキリ令嬢,1400,5
46位,,武道家,暇つぶ,1400,5
47位,,ランサー,～破幻～,1397,5
48位,,ビショップ,シル星,1383,5
49位,,ビーストテイマー,フウリン,1382,5
50位,,プリンセス,おつまみさん,1381,5
51位,,黒魔術師,闇卵,1380,5
52位,,ランサー,愛犬サクラ,1376,5
53位,,ランサー,小豆桔梗,1372,5
54位,,ウィザード,star＠wiz,1372,5
55位,,アーチャー,システィール,1361,5
56位,,メイド,つばきひめ,1357,5
57位,,闘士,☆よなぐに☆,1353,5
58位,,霊術師,○○○○●,1350,5
59位,,ランサー,弓兵頭,1341,5
60位,,剣士,DragonTwi☆ミ,1339,5
61位,,シーフ,勃起,1335,5
62位,,サマナー,みゅうごろう,1332,5
63位,,ランサー,べろちゅっちゅ,1330,5
64位,,獣人,UltimateRAD,1328,5
65位,,剣士,わんくろ,1328,5
66位,,シーフ,るてさん。,1320,5
67位,,追放天使,避妊はおしりで,1319,5
68位,,ビショップ,クロウ･300グラム,1318,5
69位,,ランサー,ｱｼﾝﾒﾄﾘｰ,1310,5
70位,,シーフ,ぷいきゅあ～,1308,5
71位,,ウィザード,MBMM１２,1308,5
72位,,戦士,じみ～,1308,5
73位,,ランサー,ラッキーやなすけ,1306,5
74位,,ウィザード,イフリィート,1306,5
75位,,追放天使,【ポッセ】,1304,5
76位,,剣士,☆シグマワイ,1304,5
77位,,黒魔術師,ひらぺん,1302,5
78位,,霊術師,tantan_08,1300,5
79位,,リトルウィッチ,StoPBlTch,1300,5
80位,,ウルフマン,業者,1300,5
81位,,アルケミスト,ゆゆたそ,1299,5
82位,,アーチャー,〝AIO〟,1296,5
83位,,ランサー,城咲ロミオ,1295,5
84位,,剣士,ﾄﾞﾔ顔の達人。,1293,5
85位,,武道家,legel,1291,5
86位,,シーフ,＋カイト＋,1291,5
87位,,追放天使,真ﾉ天使（ｵﾄｺ）,1290,5
88位,,ウルフマン,ｂｏｗ‐ｗｏｗ,1289,5
89位,,悪魔,濁湯馬鈴薯,1288,5
90位,,アーチャー,20％Over,1285,5
91位,,追放天使,ﾀｲｶﾞｰﾒﾛﾝ,1284,5
92位,,黒魔術師,鬼一家の黒魔,1283,5
93位,,アーチャー,gurai,1283,5
94位,,プリンセス,Harmonie,1281,5
95位,,武道家,ラカリフサの村長,1280,5
96位,,黒魔術師,いぼのじろう,1279,5
97位,,霊術師,ハープちゃん,1279,5
98位,,武道家,カピカピのおもち,1275,5
99位,,ウィザード,Manstyle,1275,5
100位,,アルケミスト,EquilibrioAlba,1274,5
101位,,黒魔術師,狼妖,1274,5
102位,,リトルウィッチ,RelMayer,1274,5
103位,,シーフ,towaco．,1273,5
104位,,戦士,ポロさん,1272,5
105位,,武道家,sunafu,1270,5
106位,,光奏師,一色菫,1268,5
107位,,霊術師,watta_gra,1267,5
108位,,霊術師,ぶろんずごりら,1267,5
109位,,剣士,DTゆうや,1267,5
110位,,霊術師,芋がいい,1266,5
111位,,霊術師,狼闘,1265,5
112位,,ウィザード,創造神皇ダニエル,1265,5
113位,,武道家,瑞雲改二,1264,5
114位,,ランサー,ネオン♪゛,1263,5
115位,,戦士,§Alexandrite§,1263,5
116位,,ランサー,ｼﾞｪﾌﾃｨ,1262,5
117位,,アーチャー,Lanval,1260,5
118位,,戦士,くびら,1260,5
119位,,アーチャー,微笑のテレサ,1259,5
120位,,シーフ,攻めがわ,1259,5
121位,,獣人,PiPiPuRi,1258,5
122位,,武道家,ココナッツン,1258,5
123位,,ランサー,ふぁみりった,1257,5
124位,,光奏師,ゆゆちゃ,1256,5
125位,,アーチャー,ねこみみ弐号,1256,5
126位,,武道家,あとぅむ,1256,5
127位,,追放天使,ServerDown,1255,5
128位,,アーチャー,シルスフィ,1254,5
129位,,戦士,こるじょん,1254,5
130位,,闘士,アンヘル＿,1253,5
131位,,武道家,まるゴキ,1253,5
132位,,闘士,ふーにゃ,1252,5
133位,,プリンセス,鬼一家の姫,1252,5
134位,,ビーストテイマー,waspinator,1252,5
135位,,ウィザード,しゃいん･れい,1252,5
136位,,リトルウィッチ,みけぼん,1251,5
137位,,剣士,カナト,1251,5
138位,,ランサー,ムロモン,1250,5
139位,,剣士,monaka先生,1248,5
140位,,光奏師,kicky,1247,5
141位,,シーフ,ジェシ‐おいたん,1244,5
142位,,黒魔術師,ふに゜,1243,5
143位,,獣人,おーいえ,1243,5
144位,,ランサー,peace。,1243,5
145位,,獣人,狼煌,1241,5
146位,,追放天使,Xenn,1241,5
147位,,武道家,うりゅうううう,1240,5
148位,,シーフ,隠れ里,1240,5
149位,,ランサー,ちょめ助,1238,5
150位,,リトルウィッチ,お寿司4,1235,5
151位,,剣士,Asley_Cade,1235,5
152位,,ウィザード,大動脈瘤,1234,5
153位,,霊術師,℃hantsumi,1232,5
154位,,シーフ,September☆7th,1231,5
155位,,剣士,魔じぇ,1231,5
156位,,アルケミスト,きれじの妹,1230,5
157位,,剣士,Graaazie,1230,5
158位,,リトルウィッチ,～ジェス～,1227,5
159位,,ランサー,望みし永遠の混沌,1227,5
160位,,リトルウィッチ,かなぷる親父号,1226,5
161位,,霊術師,ちんき２,1222,5
162位,,追放天使,ごるでん,1221,3
163位,,ウィザード,残兵首領,1219,5
164位,,霊術師,bakkyiii,1218,5
165位,,光奏師,四ツ矢丸,1217,5
166位,,ウルフマン,忠義の狗爪ココ,1217,5
167位,,シーフ,瞬影,1216,5
168位,,アーチャー,ゆるふわ系,1215,5
169位,,黒魔術師,日影アゲハ,1214,5
170位,,リトルウィッチ,くりゅう,1214,5
171位,,武道家,宅見,1214,5
172位,,ビーストテイマー,karu_g,1213,5
173位,,霊術師,ψ七ちψ,1212,5
174位,,ランサー,ﾗﾐｰﾉｰｽﾞﾃﾄﾗ,1212,5
175位,,ビショップ,（＝ω＝安,1212,5
176位,,ウィザード,TAKUGON,1212,5
177位,,黒魔術師,meden,1211,5
178位,,ウィザード,akimasaだよ。,1211,5
179位,,戦士,MurderMan,1211,5
180位,,黒魔術師,ヴァシリッサ,1210,5
181位,,アーチャー,ぴちゃ,1210,5
182位,,ランサー,記録の地平線,1210,5
183位,,ウルフマン,ﾓｼﾞｬﾓｼﾞｬおじさん,1210,5
184位,,アルケミスト,Crewd,1209,5
185位,,獣人,べーやまぁ,1208,5
186位,,霊術師,bycm,1208,5
187位,,戦士,シュガ♪,1208,5
188位,,ビーストテイマー,∬ルシフェリア∬,1207,5
189位,,ランサー,くまもん♪,1207,5
190位,,ランサー,つば○,1207,5
191位,,獣人,山佐の獣撃,1206,5
192位,,プリンセス,蛍猫姫♪,1206,5
193位,,霊術師,Gazelle_yui,1205,5
194位,,ランサー,ちはるちゃんん,1205,5
195位,,武道家,隻眼盗賊,1205,5
196位,,霊術師,ナツメグ。,1204,5
197位,,剣士,swordko,1204,5
198位,,剣士,カトリ。,1204,5
199位,,ビショップ,神聖桜,1203,5
200位,,獣人,towaco．β,1202,5
201位,,光奏師,Nigelle,1202,5
202位,,武道家,比企谷はちまん,1201,5
203位,,シーフ,Melttykiss☆,1201,5
204位,,武道家,ねこぱんつ,1201,3
205位,,黒魔術師,みるきちん,1200,5
206位,,リトルウィッチ,pomm,1200,5
207位,,リトルウィッチ,Artesano,1200,5
208位,,アーチャー,魚有,1200,5
209位,,アーチャー,￡impulse￡,1200,5
210位,,シーフ,WELLBE,1200,5
211位,,ビショップ,ダーグル,1200,5
212位,,ビショップ,†御殴裏隙打郎†,1200,5
213位,,リトルウィッチ,Liaison,1199,5
214位,,ランサー,covid,1199,5
215位,,サマナー,シルドレ,1197,5
216位,,リトルウィッチ,花咲乙女達の影に,1196,5
217位,,ウィザード,フラウボー,1195,5
218位,,マスケッティア,akubo,1193,5
219位,,リトルウィッチ,アクアマナ,1193,5
220位,,武道家,ノアだけはガチ,1193,5
221位,,プリンセス,狼妃,1190,5
222位,,アーチャー,イリナ。,1190,5
223位,,ランサー,あいこすまるち,1190,5
224位,,武道家,マンナンライフ３,1190,5
225位,,シーフ,温泉ソムリエ,1189,5
226位,,武道家,ぺしゅん,1189,4
227位,,霊術師,ﾈｸﾛ。,1188,5
228位,,シーフ,バイフリッツ,1188,5
229位,,ウィザード,♪復活レオン555,1188,5
230位,,戦士,アダマンティン,1188,5
231位,,ランサー,Ａ・シャリアール,1187,5
232位,,ウィザード,Lenard,1187,5
233位,,霊術師,＊stitch＊,1186,5
234位,,ランサー,Spallow_Tail,1185,5
235位,,ランサー,ko_san,1183,5
236位,,獣人,ナオタ！！！！！,1182,5
237位,,アーチャー,となてぃう,1182,5
238位,,シーフ,backnumber大好き,1182,5
239位,,シーフ,nanakusa,1182,5
240位,,追放天使,って、おい！,1181,5
241位,,ウルフマン,ふろーる犬,1181,5
242位,,戦士,ローザパークス,1181,5
243位,,黒魔術師,FrouFrou,1180,5
244位,,リトルウィッチ,上下左右回転使い,1180,5
245位,,武道家,モリタン♪,1180,5
246位,,剣士,rotarisl,1180,5
247位,,サマナー,NEOぷーちゃん,1179,5
248位,,アーチャー,シャイえんまねこ,1179,5
249位,,ランサー,雷蓮,1179,5
250位,,追放天使,☆志音☆,1179,5
251位,,戦士,Destron,1179,5
252位,,プリンセス,ファーナ。,1178,5
253位,,ランサー,とっぽぎの踊り子,1178,5
254位,,獣人,役満チャンス,1176,5
255位,,ランサー,アバハラキ,1175,5
256位,,追放天使,じぇにどん,1175,5
257位,,戦士,５㍉,1175,5
258位,,戦士,はるたそ,1175,5
259位,,アーチャー,花鳥くん,1174,5
260位,,ウィザード,隻眼の魔術師,1174,5
261位,,霊術師,いんだら,1173,5
262位,,霊術師,ロッソ・ネロ,1173,5
263位,,追放天使,Cens,1173,5
264位,,リトルウィッチ,魔凜,1172,5
265位,,霊術師,まえがちゃん,1171,5
266位,,闘士,〝ανα〟,1170,5
267位,,霊術師,キッコーマソ,1170,5
268位,,戦士,ここぷ,1170,5
269位,,サマナー,nerumo,1169,5
270位,,ランサー,眠神☆ヒュノプス,1169,5
271位,,シーフ,旗振りたぬき,1169,5
272位,,剣士,ﾀﾞｰﾄﾃﾄﾗ,1169,5
273位,,ウルフマン,琥炭,1168,5
274位,,獣人,∮シルク∮,1166,5
275位,,シーフ,めぎぃ,1166,5
276位,,追放天使,イキり大学生,1166,5
277位,,ランサー,。ゆーにゃ。,1165,5
278位,,黒魔術師,exiatence4,1164,5
279位,,悪魔,魔法の壁,1163,5
280位,,剣士,風小僧,1163,5
281位,,光奏師,ひひまま,1162,5
282位,,武道家,kabeちゃん,1162,5
283位,,プリンセス,不安㍑,1161,5
284位,,ランサー,nonameさん,1161,5
285位,,ランサー,Vendome,1158,5
286位,,シーフ,鬼一家,1158,5
287位,,戦士,捨ノ型・生生流転,1157,5
288位,,武道家,かみまみ,1156,5
289位,,追放天使,にゃんたきー,1156,5
290位,,プリンセス,伊吹姫奈,1154,5
291位,,ビショップ,グッロチ,1153,5
292位,,ビショップ,☆ショップ☆,1153,5
293位,,悪魔,Almagest,1151,5
294位,,シーフ,漣鎖,1151,5
295位,,ウィザード,nayaata,1151,5
296位,,プリンセス,びびぷりん,1150,5
297位,,剣士,ロビンフッド☆,1149,5
298位,,ランサー,ranko_star,1145,5
299位,,霊術師,‐MIYU‐,1144,5
300位,,ウルフマン,tantan_39,1144,5
301位,,サマナー,ちくわまる,1142,5
302位,,シーフ,てけぞー,1142,5
303位,,剣士,くろしば,1142,5
304位,,黒魔術師,紫りのん,1138,5
305位,,シーフ,すた３,1138,5
306位,,黒魔術師,ψ芽亜ψ,1136,5
307位,,悪魔,か～ら,1136,5
308位,,武道家,いもむし♪,1136,5
309位,,戦士,RED_ORCA,1135,5
310位,,霊術師,ﾎﾟｶﾎﾝﾀｽ,1134,5
311位,,シーフ,じゅえちゃん,1134,5
312位,,黒魔術師,Lime。,1133,5
313位,,サマナー,帝愛会長,1133,5
314位,,光奏師,わべ助,1132,5
315位,,ランサー,Tummy,1132,5
316位,,アーチャー,Amstel,1131,5
317位,,ランサー,卵槍,1131,5
318位,,サマナー,ほっかほか,1130,5
319位,,ウィザード,hinaru,1129,5
320位,,ランサー,†Y4Z4K1†ATSU†,1128,5
321位,,シーフ,だいこくてん,1128,5
322位,,シーフ,シッフー,1128,5
323位,,霊術師,吉田沙保里のASMR,1126,5
324位,,アーチャー,イリス・エリス,1126,5
325位,,ランサー,†微笑のテレサ†,1126,5
326位,,アーチャー,えいしぐ,1125,5
327位,,ランサー,パーニャ,1125,5
328位,,光奏師,My☆Dear,1124,5
329位,,リトルウィッチ,らいみん,1124,5
330位,,アーチャー,star＠弓,1124,3
331位,,獣人,Gazelle_tim,1122,5
332位,,アーチャー,こるるちゃん,1122,5
333位,,追放天使,鬼一家の天使,1122,5
334位,,マスケッティア,ズックにロック,1121,5
335位,,ランサー,ジンランサー,1120,5
336位,,獣人,Leffe,1118,5
337位,,ランサー,青なな,1116,5
338位,,武道家,BLAAKSHOUT,1116,5
339位,,アーチャー,A・シャリアール,1115,5
340位,,プリンセス,早見,1114,5
341位,,霊術師,メラメライド,1113,5
342位,,プリンセス,ぷりめろろ,1113,5
343位,,ウィザード,t_e_i,1113,5
344位,,黒魔術師,あざといたぬき,1112,5
345位,,悪魔,幻魔狼士,1112,5
346位,,黒魔術師,黒蒼穹,1111,5
347位,,獣人,uwiclo,1111,5
348位,,ランサー,ことちゃん,1111,5
349位,,シーフ,shinki3,1110,5
350位,,武道家,怪盗るぱんⅢ,1109,5
351位,,戦士,オコノ,1108,5
352位,,剣士,マイシャローナ,1108,5
353位,,光奏師,賀喜,1107,5
354位,,獣人,卍gotcha卍,1106,5
355位,,獣人,ブルーなしゅり,1105,5
356位,,アーチャー,流星の猫,1105,5
357位,,剣士,WEDGWOOD,1104,5
358位,,サマナー,キャロりん,1101,5
359位,,獣人,DearMyWaker,1099,5
360位,,ランサー,カヤちゃん,1096,5
361位,,闘士,Ⅷ秋桜Ⅷ,1095,5
362位,,武道家,yamada3000,1095,5
363位,,ウルフマン,ざぶとん☆,1095,5
364位,,プリンセス,七槻四季,1093,3
365位,,ネクロマンサー,よなくま,1092,5
366位,,ビショップ,アタックチャンス,1091,5
367位,,追放天使,無我夢中♪,1090,5
368位,,戦士,カミソン,1090,5
369位,,黒魔術師,アマランテ,1088,5
370位,,リトルウィッチ,ネオロック,1087,5
371位,,ランサー,ニャ－さん,1087,5
372位,,武道家,ふゆさんまん,1086,5
373位,,剣士,RORONOA＋ZORO,1086,5
,374位
霊術師,双七,1082,5
,375位
シーフ,Pokerhero,1082,5
,376位
追放天使,ひまつぶC,1082,5
,377位
獣人,新しい世界への扉,1081,5
,378位
戦士,オソマ,1081,5
379位,,獣人,肋木,1080,5
380位,,光奏師,小年,1077,5
381位,,霊術師,Leccee,1077,5
382位,,戦士,LilaNia,1077,5
383位,,ランサー,とこよ,1076,5
384位,,追放天使,茶蕎麦,1076,5
385位,,獣人,EinherjarAlbedo,1075,5
386位,,ランサー,タウリエル,1075,5
387位,,黒魔術師,黒魔さん,1074,5
388位,,サマナー,笛吹奏,1071,5
389位,,ランサー,††紫電一閃††,1071,5
390位,,ランサー,梅酒ソーダ,1071,5
391位,,霊術師,アミリア´,1070,5
392位,,ビショップ,chinki,1070,5
393位,,ウィザード,ひろぽんwiz,1069,5
394位,,獣人,間衣華,1069,3
395位,,黒魔術師,雪野凜檎,1068,5
396位,,獣人,緑茶一筋,1068,5
397位,,アーチャー,アゼルマ,1068,5
398位,,リトルウィッチ,プッチン・プリン,1066,5
399位,,獣人,キリン丸,1065,5
400位,,アーチャー,てんち♪,1064,5
401位,,剣士,ZODIAC6168,1063,5
402位,,メイド,マッドストーム,1062,5
403位,,獣人,JimmyHoffa,1062,5
404位,,ウィザード,Bィザード,1062,5
405位,,プリンセス,evian1_5,1060,5
406位,,ランサー,グレープジュース,1060,5
407位,,獣人,白銀の威虎リオン,1059,5
408位,,光奏師,xiviler,1058,5
409位,,霊術師,どうもありがとう,1057,5
410位,,ウィザード,Gazelle_sup,1057,5
411位,,ランサー,凛ver弓,1056,5
412位,,獣人,岡_部_誠,1055,5
413位,,リトルウィッチ,変身ロボ,1055,5
414位,,武道家,ぢょんさん,1055,5
415位,,武道家,軍隊長,1055,5
416位,,ウィザード,のんた～ん,1055,5
417位,,戦士,じょなす,1055,5
418位,,武道家,地下室,1054,5
419位,,武道家,ろっきんぽ,1054,5
420位,,光奏師,へくまr,1053,5
421位,,プリンセス,いなっぴー,1053,5
422位,,光奏師,けもぉ,1052,5
423位,,闘士,ぷちゅあ,1052,5
424位,,アーチャー,くろまS,1052,5
425位,,ランサー,sherry,1052,5
426位,,武道家,カエルくん。,1052,5
