,-,職業,キャラクター,レベル,転生回数
1,-,,ψXENOψ,2000,5
2,-,,たいやきあんこ,2000,5
3,-,,mttt,2000,5
4,-,,アリス・ワンダー,1959,5
5,-,,カジュアル,1957,5
6,-,,ラクサスドレアン,1950,5
7,-,,レジェンド石橋,1936,5
8,-,,快活ねえさん,1932,5
9,-,,Oddesy,1929,5
10,-,,思いやりGDX,1925,5
11,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1923,5
12,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1920,5
13,-,,しらすたっぷ。,1912,5
14,-,,アクシズ教神官,1910,5
15,-,,二階堂パンパース,1910,5
16,-,,猫邪,1908,5
17,-,,御暇さん,1907,5
18,-,,蜜月抄,1906,5
19,-,,あぷりこ,1903,5
20,-,,れもんψ,1902,5
21,-,,xたまきちx,1899,5
22,-,,愛泉,1891,5
23,-,,krisu,1884,5
24,-,,うにゃDX,1882,5
25,-,,＊鬼鮫＊,1879,5
26,-,,ろずこ,1868,5
27,-,,ハイドシークス,1866,5
28,-,,ﾌｪﾘｱ,1865,5
29,-,,ほしめろちゃん,1862,5
30,-,,Miki_,1862,5
31,-,,☆キノ♪,1861,5
32,-,,サイバーナイト,1858,5
33,-,,marui11111,1856,5
34,-,,永遠の暗闇,1852,5
35,-,,むぎちゃ。,1852,5
36,-,,戦略破壊魔術兵器,1847,5
37,-,,キングプー,1845,5
38,-,,ｱﾆﾘｿ,1844,5
39,-,,黒虎ちゃん,1844,5
40,-,,☆あおり☆,1840,5
41,-,,ルベーグ2世,1839,5
42,-,,†フィル†,1838,5
43,-,,shogi,1837,5
44,-,,ああ播磨灘,1837,5
45,-,,ウリ☆,1834,5
46,-,,ねこなのクゥーン,1833,5
47,-,,VR戦士,1831,5
48,-,,Hard_A,1831,5
49,-,,ξスロウξ,1826,5
50,-,,ちゃらめる,1826,5
