,-,職業,キャラクター,レベル,転生回数
1,-,,ソムリエ,1445,5
2,-,,塵地螺鈿飾剣,1440,5
3,-,,Maki,1412,5
4,-,,ていたらく,1401,5
5,-,,レジェンド左橋,1392,5
6,-,,うに姫。,1386,5
7,-,,seef,1386,5
8,-,,みどりん,1382,5
9,-,,ELGIN,1380,5
10,-,,捨てキング,1376,5
11,-,,non1341,1369,5
12,-,,ねこのて,1369,5
13,-,,ドロップに期待,1363,5
14,-,,saburu1,1363,5
15,-,,penta,1360,5
16,-,,ノワール・ヴィ,1359,5
17,-,,野獣と化した先輩,1353,5
18,-,,甘栗うまい！,1352,5
19,-,,蒼佑,1352,5
20,-,,CR大日本帝国,1350,5
21,-,,GP03ﾃﾞﾝﾄﾞﾛﾋﾞｳﾑ,1350,5
22,-,,ジェノ氏,1347,5
23,-,,あじまる屋さん,1344,5
24,-,,黙れドン太郎,1339,5
25,-,,ζｃanotarosζ,1330,5
26,-,,トルテ,1330,5
27,-,,魔女のお茶会,1322,5
28,-,,強キ者,1317,5
29,-,,初瀬川昴,1317,5
30,-,,takasaki,1313,5
31,-,,code,1313,5
32,-,,やわやわ戦車,1312,5
33,-,,うるてぃめっと,1312,5
34,-,,DEATHNOTE,1311,5
35,-,,あるもんて,1311,5
36,-,,ヌ・ルカ,1310,5
37,-,,ｳﾆｬﾙﾗﾄﾎﾃﾌﾟ,1308,5
38,-,,FILINER,1308,5
39,-,,ねーさま,1306,5
40,-,,神奈備命,1305,5
41,-,,♪つんぬこ♪,1304,5
42,-,,￡＋,1304,5
43,-,,まーち,1301,5
44,-,,ぽき,1301,5
45,-,,鞄専ちゃん,1300,5
46,-,,Mageblood,1300,5
47,-,,ぼすごん,1300,5
48,-,,聖少女領域,1296,5
49,-,,チェルシ,1296,5
50,-,,焼き飯食べたい,1293,5
