,サマナー,ぷーちゃん♪,1500,5
2位,,追放天使,狼輝,1488,5
3位,,ランサー,ワユ,1481,5
4位,,アーチャー,さなっしー,1471,5
5位,,黒魔術師,アーリア。,1465,5
6位,,アーチャー,趣味は・・・矢,1465,5
7位,,霊術師,ちんき。,1463,5
8位,,闘士,あなたのハートに,1460,5
9位,,剣士,RAD大好き,1454,5
10位,,プリンセス,Le・Ciel,1453,5
11位,,獣人,ｹﾓ蔵,1452,5
12位,,剣士,地方都市のﾒﾒﾝﾄﾓﾘ,1451,5
13位,,剣士,AnotherOrion,1451,5
14位,,光奏師,解離,1450,5
15位,,武道家,岡部_誠,1447,5
16位,,アーチャー,くりゅ,1444,5
17位,,黒魔術師,￡Gazelle,1442,5
18位,,ネクロマンサー,えんまねこ,1441,5
19位,,ランサー,わかまつあいな,1439,5
20位,,プリンセス,やっくる♪,1438,5
21位,,戦士,コボルト秘密ULT,1435,5
22位,,マスケッティア,ゆゆたそ,1433,5
23位,,光奏師,tantan_13,1433,5
24位,,霊術師,舞牡丹,1431,5
25位,,武道家,暇潰＠引退,1431,5
26位,,プリンセス,未美凛,1430,5
27位,,ランサー,狗神めありー,1430,5
28位,,アルケミスト,tantan_01,1429,5
29位,,武道家,さらまんだーγ,1426,5
30位,,ウィザード,9rpm,1425,5
31位,,霊術師,鬼一家の霊術師,1422,5
32位,,ランサー,藤井聡太,1422,5
33位,,アーチャー,＄神様家族＄,1421,5
34位,,武道家,ヒャム,1421,5
35位,,アーチャー,紙ねろ,1420,5
36位,,アーチャー,システィール,1418,5
37位,,ランサー,バジル・ユバ,1418,5
38位,,追放天使,究ﾎﾟ極ｲ完ﾎﾟ全ｲ体,1417,5
39位,,黒魔術師,メロメロイド,1416,5
40位,,ランサー,愛犬サクラ,1416,5
41位,,武道家,はちみつ。,1411,5
42位,,アルケミスト,きれのじろう,1410,5
43位,,霊術師,カマキリ令嬢,1410,5
44位,,戦士,餅の･∀･凍結,1406,5
45位,,霊術師,ボイン姉ちゃん,1405,5
46位,,武道家,神風の隼,1405,5
47位,,アーチャー,〝AIO〟,1404,5
48位,,霊術師,☆よなぐに☆,1403,5
49位,,シーフ,セっツ,1402,5
50位,,ランサー,ラッキーやなすけ,1401,5
51位,,戦士,じみ～,1401,5
52位,,武道家,暇つぶ,1400,5
53位,,シーフ,るてさん。,1400,5
54位,,リトルウィッチ,岡部誠∵,1399,5
55位,,ランサー,～破幻～,1397,5
56位,,ウルフマン,ｂｏｗ‐ｗｏｗ,1392,5
57位,,霊術師,tantan_08,1390,5
58位,,黒魔術師,闇卵,1389,5
59位,,ビーストテイマー,フウリン,1389,5
60位,,霊術師,ハープちゃん,1385,5
61位,,ビショップ,シル星,1384,5
62位,,剣士,わんくろ,1382,5
63位,,プリンセス,おつまみさん,1381,5
64位,,ランサー,弓兵頭,1381,5
65位,,シーフ,＋カイト＋,1381,5
66位,,アルケミスト,EquilibrioAlba,1380,5
67位,,獣人,UltimateRAD,1378,5
68位,,ランサー,小豆桔梗,1377,5
69位,,ウィザード,star＠wiz,1372,5
70位,,ランサー,ｱｼﾝﾒﾄﾘｰ,1371,5
71位,,ビショップ,☆ショップ☆,1371,5
72位,,武道家,legel,1360,5
73位,,メイド,つばきひめ,1359,5
74位,,プリンセス,Harmonie,1356,5
75位,,武道家,カピカピのおもち,1355,5
76位,,アーチャー,20％Over,1352,5
77位,,ビショップ,クロウ･300グラム,1352,5
78位,,霊術師,○○○○●,1350,5
79位,,サマナー,みゅうごろう,1343,5
80位,,剣士,DragonTwi☆ミ,1339,5
81位,,ランサー,城咲ロミオ,1337,5
82位,,シーフ,勃起,1337,5
83位,,ランサー,べろちゅっちゅ,1330,5
84位,,追放天使,ServerDown,1326,5
85位,,悪魔,濁湯馬鈴薯,1325,5
86位,,追放天使,避妊はおしりで,1321,5
87位,,ウィザード,イフリィート,1320,5
88位,,剣士,DTゆうや,1317,5
89位,,武道家,あとぅむ,1311,5
90位,,シーフ,ぷいきゅあ～,1308,5
91位,,ウィザード,MBMM１２,1308,5
92位,,剣士,☆シグマワイ,1305,5
93位,,追放天使,【ポッセ】,1304,5
94位,,黒魔術師,ひらぺん,1302,5
95位,,リトルウィッチ,StoPBlTch,1300,5
96位,,ウィザード,業者,1300,5
97位,,獣人,おーいえ,1295,5
98位,,リトルウィッチ,RelMayer,1294,5
99位,,剣士,ﾄﾞﾔ顔の達人。,1293,5
100位,,霊術師,ちんき２,1290,5
101位,,プリンセス,狼妃,1290,5
102位,,追放天使,真ﾉ天使（ｵﾄｺ）,1290,5
103位,,霊術師,ロッソ・ネロ,1289,5
104位,,戦士,ポロさん,1289,5
105位,,アーチャー,nebosuke,1288,5
106位,,ランサー,ｼﾞｪﾌﾃｨ,1287,5
107位,,サマナー,NEOぷーちゃん,1286,5
108位,,追放天使,ﾀｲｶﾞｰﾒﾛﾝ,1284,5
109位,,黒魔術師,鬼一家の黒魔,1283,5
110位,,アーチャー,gurai,1283,5
111位,,ランサー,Spallow_Tail,1283,5
112位,,剣士,ロビンフッド☆,1281,5
113位,,闘士,〝ανα〟,1280,5
114位,,武道家,ラカリフサの村長,1280,5
115位,,黒魔術師,いぼのじろう,1279,5
116位,,シーフ,September☆7th,1279,5
117位,,シーフ,瑞雲改二,1279,5
118位,,シーフ,towaco．,1278,5
119位,,剣士,カトリ。,1278,5
120位,,アーチャー,ねこみみ弐号,1277,5
121位,,ウィザード,Manstyle,1275,5
122位,,黒魔術師,狼妖,1274,5
123位,,ビショップ,ダーグル,1274,5
124位,,霊術師,watta_gra,1273,5
125位,,武道家,ホブス☆次男,1273,5
126位,,戦士,シュガ♪,1273,5
127位,,武道家,sunafu,1270,5
128位,,シーフ,だいこくてん,1270,5
129位,,光奏師,一色菫,1268,5
130位,,アーチャー,Amstel,1268,5
131位,,ランサー,ムロモン,1268,5
132位,,ウィザード,創造神皇ダニエル,1268,5
133位,,戦士,§Alexandrite§,1268,5
134位,,霊術師,ぶろんずごりら,1267,5
135位,,霊術師,芋がいい,1266,5
136位,,霊術師,狼闘,1265,5
137位,,リトルウィッチ,かなぷる親父号,1265,5
138位,,ランサー,望みし永遠の混沌,1263,5
139位,,ランサー,ネオン♪゛,1263,5
140位,,戦士,くびら,1263,5
141位,,アーチャー,微笑のテレサ,1262,5
142位,,ランサー,†Y4Z4K1†ATSU†,1262,5
143位,,ウルフマン,琥炭,1261,5
144位,,アーチャー,Lanval,1260,5
145位,,獣人,PiPiPuRi,1259,5
146位,,シーフ,攻めがわ,1259,5
147位,,武道家,ココナッツン,1258,5
148位,,獣人,ゆゆちゃ,1257,5
149位,,獣人,狼煌,1257,5
150位,,闘士,アンヘル＿,1257,5
151位,,アーチャー,star＠弓,1257,5
152位,,アーチャー,シルスフィ,1257,5
153位,,ランサー,ふぁみりった,1257,5
154位,,ビショップ,（＝ω＝安,1257,5
155位,,剣士,カナト,1257,5
156位,,闘士,ふーにゃ,1256,5
157位,,闘士,℃hantsumi,1256,5
158位,,ランサー,あるもんて,1256,5
159位,,ウィザード,残兵首領,1256,5
160位,,ランサー,peace。,1255,5
161位,,追放天使,Xenn,1255,5
162位,,剣士,swordko,1255,5
163位,,武道家,マンナンライフ３,1254,5
164位,,戦士,こるじょん,1254,5
165位,,武道家,まるゴキ,1253,5
166位,,戦士,ローザパークス,1253,5
167位,,アルケミスト,Crewd,1252,5
168位,,リトルウィッチ,くりゅう,1252,5
169位,,プリンセス,鬼一家の姫,1252,5
170位,,プリンセス,みけぼん,1252,5
171位,,ビーストテイマー,waspinator,1252,5
172位,,ウィザード,♪復活レオン555,1252,5
173位,,ウィザード,しゃいん･れい,1252,5
174位,,剣士,MurderMan,1252,5
175位,,サマナー,nerumo,1251,5
176位,,武道家,隠れ里,1251,5
177位,,武道家,宅見,1251,5
178位,,ウルフマン,TAKUGON,1251,5
179位,,ウィザード,akimasaだよ。,1251,5
180位,,リトルウィッチ,いろどりぴんく,1250,5
181位,,ランサー,くまもん♪,1250,5
182位,,剣士,monaka先生,1250,5
183位,,ランサー,ﾗﾐｰﾉｰｽﾞﾃﾄﾗ,1249,5
184位,,戦士,魔じぇ,1248,5
185位,,光奏師,kicky,1247,5
186位,,ウルフマン,ﾓｼﾞｬﾓｼﾞｬおじさん,1247,5
187位,,光奏師,monaちゃん,1246,5
188位,,リトルウィッチ,花咲乙女達の影に,1245,5
189位,,シーフ,ジェシ‐おいたん,1244,5
190位,,黒魔術師,ふに゜,1243,5
191位,,リトルウィッチ,pomm,1242,5
192位,,ランサー,眠神☆ヒュノプス,1242,5
193位,,追放天使,ごるでん,1242,3
194位,,リトルウィッチ,Artesano,1240,5
195位,,武道家,うりゅうううう,1240,5
196位,,ランサー,ちょめ助,1238,5
197位,,シーフ,旗振りたぬき,1236,5
198位,,リトルウィッチ,お寿司4,1235,5
199位,,ランサー,ψﾍﾞﾙﾆｶψ,1235,5
200位,,剣士,Asley_Cade,1235,5
201位,,ウィザード,大動脈瘤,1234,5
