,-,職業,キャラクター,レベル,転生回数
1,-,,たいやきあんこ,1843,5
2,-,,ψXENOψ,1840,5
3,-,,アリス・ワンダー,1839,5
4,-,,レジェンド石橋,1838,5
5,-,,思いやりGDX,1833,5
6,-,,ハイドシークス,1832,5
7,-,,☆あおり☆,1832,5
8,-,,れもんψ,1830,5
9,-,,二階堂パンパース,1830,5
10,-,,mttt,1829,5
11,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1827,5
12,-,,＊鬼鮫＊,1824,5
13,-,,ζhaluluζ,1823,5
14,-,,ろずこ,1822,5
15,-,,ｱﾆﾘｿ,1821,5
16,-,,キングプー,1821,5
17,-,,快活ねえさん,1821,5
18,-,,カジュアル,1818,5
19,-,,krisu,1815,5
20,-,,愛泉,1815,5
21,-,,Oddesy,1811,5
22,-,,戦略破壊魔術兵器,1808,5
23,-,,うにゃDX,1808,5
24,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1807,5
25,-,,アバブ,1807,5
26,-,,黒虎ちゃん,1807,5
27,-,,ﾌｪﾘｱ,1806,5
28,-,,marui11111,1806,5
29,-,,ラクサスドレアン,1805,5
30,-,,ξスロウξ,1804,5
31,-,,サクラサケ,1804,5
32,-,,御暇さん,1804,5
33,-,,ルベーグ2世,1803,5
34,-,,アクシズ教神官,1803,5
35,-,,ウリ☆,1803,5
36,-,,たっぷ。,1803,5
37,-,,腐敗キノコ,1802,5
38,-,,ちぇころん,1801,5
39,-,,Hard_A,1801,5
40,-,,しらすたっぷ。,1800,5
41,-,,アルス君,1800,5
42,-,,WO・Bentley,1800,5
43,-,,nonamealcemist,1800,5
44,-,,Luvric_ver0,1800,5
45,-,,†フィル†,1799,5
46,-,,ああ播磨灘,1798,5
47,-,,ずっさん,1797,5
48,-,,真夏の雨§,1794,5
49,-,,†LightSide†,1793,5
50,-,,shogi,1790,5
