,-,職業,キャラクター,レベル,転生回数
1,-,,mttt,2025,5
2,-,,カカオ零,2022,5
3,-,,krisu,2013,5
4,-,,たいやきあんこ,2013,5
5,-,,うにゃDX,2013,5
6,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2010,5
7,-,,ﾌｪﾘｱ,2010,5
8,-,,サイバーナイト,2006,5
9,-,,もぐらⅲ,2006,5
10,-,,ろずこ,2006,5
11,-,,マハーデーヴィー,2006,5
12,-,,ウリ☆,2006,5
13,-,,marui11111,2005,5
14,-,,思いやりGDX,2005,5
15,-,,ほしめろちゃん,2005,5
16,-,,アリス・ワンダー,2004,5
17,-,,永遠の暗闇,2003,5
18,-,,アクシズ教神官,2003,5
19,-,,黒虎ちゃん,2003,5
20,-,,ξスロウξ,2002,5
21,-,,Oddesy,2002,5
22,-,,御暇さん,2002,5
23,-,,ψXENOψ,2002,5
24,-,,アバブ,2002,5
25,-,,hanacyan,2002,5
26,-,,ちゃらめる,2001,5
27,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,2001,5
28,-,,ちよし姫,2001,5
29,-,,マゼ・ドレーク,2001,5
30,-,,猫邪,2001,5
31,-,,nishi,2000,5
32,-,,ライブリー,2000,5
33,-,,カジュアル,2000,5
34,-,,ナイスキャッチ,2000,5
35,-,,ルベーグ2世,2000,5
36,-,,ｼｮﾝﾎﾞﾘ沈殿丸,2000,5
37,-,,†ユファ†,2000,5
38,-,,＊鬼鮫＊,2000,5
39,-,,Unlimited快楽園,2000,5
40,-,,戦略破壊魔術兵器,2000,5
41,-,,エルロン5,2000,5
42,-,,豹弦,2000,5
43,-,,ラクサスドレアン,2000,5
44,-,,あぷりこ,2000,5
45,-,,SOB０R０N,2000,5
46,-,,ボイスブリザード,2000,5
47,-,,†LightSide†,2000,5
48,-,,ハイドシークス,2000,5
49,-,,HGRY,2000,5
50,-,,名無しの槍士,2000,5
