,-,職業,キャラクター,レベル,転生回数
1,-,,ともたん333,671,15
2,-,,たいやきあんこ,1830,5
3,-,,ψXENOψ,1828,5
4,-,,mttt,1826,5
5,-,,レジェンド石橋,1825,5
6,-,,二階堂パンパース,1822,5
7,-,,アリス・ワンダー,1821,5
8,-,,☆あおり☆,1820,5
9,-,,ｱﾆﾘｿ,1817,5
10,-,,ζhaluluζ,1813,5
11,-,,ハイドシークス,1813,5
12,-,,krisu,1811,5
13,-,,思いやりGDX,1811,5
14,-,,＊鬼鮫＊,1810,5
15,-,,うにゃDX,1806,5
16,-,,ろずこ,1803,5
17,-,,ルベーグ2世,1801,5
18,-,,れもんψ,1800,5
19,-,,アバブ,1800,5
20,-,,腐敗キノコ,1800,5
21,-,,ラクサスドレアン,1794,5
22,-,,快活ねえさん,1794,5
23,-,,marui11111,1791,5
24,-,,キングプー,1788,5
25,-,,shogi,1787,5
26,-,,ﾌｪﾘｱ,1787,5
27,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1786,5
28,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1784,5
29,-,,Oddesy,1779,5
30,-,,戦略破壊魔術兵器,1777,5
31,-,,元団長さん,1777,5
32,-,,しらすたっぷ。,1777,5
33,-,,たっぷ。,1776,5
34,-,,nonamealcemist,1775,5
35,-,,愛泉,1773,5
36,-,,サクラサケ,1772,5
37,-,,ああ播磨灘,1770,5
38,-,,Luvric_ver0,1770,5
39,-,,やまCha☆,1766,5
40,-,,Hard_A,1763,5
41,-,,errr,1763,5
42,-,,御暇さん,1762,5
43,-,,ずっさん,1755,5
44,-,,☆☆うっちぃ☆☆,1755,5
45,-,,ξスロウξ,1754,5
46,-,,グライムズ01,1754,5
47,-,,Unlimited快楽園,1750,5
48,-,,†LightSide†,1750,5
49,-,,羽熊,1749,5
50,-,,†ユファ†,1748,5
