,-,職業,キャラクター,レベル,転生回数
1,-,,mttt,1822,5
2,-,,たいやきあんこ,1818,5
3,-,,レジェンド石橋,1812,5
4,-,,krisu,1811,5
5,-,,ψXENOψ,1810,5
6,-,,☆あおり☆,1806,5
7,-,,二階堂パンパース,1804,5
8,-,,アリス・ワンダー,1803,5
9,-,,ルベーグ2世,1801,5
10,-,,ｱﾆﾘｿ,1799,5
11,-,,＊鬼鮫＊,1796,5
12,-,,ζhaluluζ,1795,5
13,-,,思いやりGDX,1794,5
14,-,,ろずこ,1788,5
15,-,,shogi,1786,5
16,-,,キングプー,1782,5
17,-,,ﾌｪﾘｱ,1780,5
18,-,,アバブ,1777,5
19,-,,腐敗キノコ,1774,5
20,-,,元団長さん,1770,5
21,-,,うにゃDX,1767,5
22,-,,やまCha☆,1765,5
23,-,,愛泉,1762,5
24,-,,errr,1760,5
25,-,,たっぷ。,1759,5
26,-,,ああ播磨灘,1757,5
27,-,,戦略破壊魔術兵器,1756,5
28,-,,Luvric_ver0,1756,5
29,-,,Oddesy,1754,5
30,-,,グライムズ01,1754,5
31,-,,nonamealcemist,1753,5
32,-,,ずっさん,1752,5
33,-,,Unlimited快楽園,1749,5
34,-,,羽熊,1748,5
35,-,,marui11111,1748,5
36,-,,れもんψ,1747,5
37,-,,マハーデーヴィー,1747,5
38,-,,†ユファ†,1745,5
39,-,,究ﾙ極ﾙ完ﾙ全ﾙ体,1745,5
40,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1745,5
41,-,,夜廻まるか,1744,5
42,-,,☆☆うっちぃ☆☆,1744,5
43,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1743,5
44,-,,ちゃらめる,1743,5
45,-,,ラクサスドレアン,1741,5
46,-,,オナルドダック,1741,5
47,-,,しらすたっぷ。,1741,5
48,-,,Inocent,1740,5
49,-,,真ぜの,1740,5
50,-,,蜜月抄,1739,5
