,-,職業,キャラクター,レベル,転生回数
1,-,,うに姫。,1500,5
2,-,,non1341,1500,5
3,-,,ねこのて,1500,5
4,-,,塵地螺鈿飾剣,1500,5
5,-,,ELGIN,1500,5
6,-,,みお＊,1500,5
7,-,,Maki,1472,5
8,-,,ていたらく,1471,5
9,-,,レジェンド左橋,1453,5
10,-,,ソムリエ,1451,5
11,-,,捨てキング,1450,5
12,-,,seef,1435,5
13,-,,みどりん,1434,5
14,-,,うーたろう,1432,5
15,-,,魔女のお茶会,1430,5
16,-,,penta,1419,5
17,-,,蒼佑,1410,5
18,-,,キャノンψ,1408,5
19,-,,ジェノ氏,1406,5
20,-,,saburu1,1403,5
21,-,,ジェット天秤,1400,5
22,-,,takasaki,1398,5
23,-,,ノワール・ヴィ,1396,5
24,-,,DEATHNOTE,1380,5
25,-,,海月さん,1380,5
26,-,,code,1379,5
27,-,,野獣と化した先輩,1379,5
28,-,,Govou,1379,5
29,-,,ドロップに期待,1377,5
30,-,,甘栗うまい！,1372,5
31,-,,トルテ,1371,5
32,-,,神奈備命,1370,5
33,-,,忍野忍,1370,5
34,-,,タヌキ,1367,5
35,-,,YUSA,1367,5
36,-,,GP03ﾃﾞﾝﾄﾞﾛﾋﾞｳﾑ,1366,5
37,-,,えるふぁいやー！,1363,5
38,-,,強キ者,1363,5
39,-,,快活の原罪,1362,5
40,-,,Bぐり,1362,5
41,-,,Rusalka,1362,5
42,-,,ζｃanotarosζ,1361,5
43,-,,あじまる屋さん,1359,5
44,-,,やわやわ戦車,1358,5
45,-,,apecano,1358,5
46,-,,あるもんて,1357,5
47,-,,きゃのぴん,1356,5
48,-,,CR大日本帝国,1355,5
49,-,,ぷりちーこ,1354,5
50,-,,CIAOちゅ～る,1353,5
