,-,職業,キャラクター,レベル,転生回数
1,-,,カカオ零,2029,5
2,-,,mttt,2025,5
3,-,,krisu,2023,5
4,-,,永遠の暗闇,2020,5
5,-,,ドカ食い気絶部,2020,5
6,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2014,5
7,-,,たいやきあんこ,2013,5
8,-,,うにゃDX,2013,5
9,-,,サイバーナイト,2011,5
10,-,,hanacyan,2011,5
11,-,,ﾌｪﾘｱ,2010,5
12,-,,思いやりGDX,2010,5
13,-,,ウリ☆,2010,5
14,-,,ちよし姫,2010,5
15,-,,対立ちゃん,2009,5
16,-,,ちゃらめる,2008,5
17,-,,vellr1a,2007,5
18,-,,もぐらⅲ,2006,5
19,-,,ろずこ,2006,5
20,-,,マハーデーヴィー,2006,5
21,-,,ﾛｰﾈﾙ,2006,5
22,-,,marui11111,2006,5
23,-,,ψXENOψ,2005,5
24,-,,ΨtinariΨ,2005,5
25,-,,ほしめろちゃん,2005,5
26,-,,ξスロウξ,2004,5
27,-,,ずっさん,2004,5
28,-,,アクシズ教神官,2004,5
29,-,,黒虎ちゃん,2004,5
30,-,,アリス・ワンダー,2004,5
31,-,,Bird_of_Hermes,2004,5
32,-,,マゼ・ドレーク,2004,5
33,-,,FILIBUSTER,2004,5
34,-,,うなぎ。,2004,5
35,-,,てっぷ。,2003,5
36,-,,あまぞねす。,2002,5
37,-,,御暇さん,2002,5
38,-,,Oddesy,2002,5
39,-,,HGRY,2002,5
40,-,,アバブ,2002,5
41,-,,☆キノ♪,2002,5
42,-,,甘酒ココア,2002,5
43,-,,ゆきちゃま,2002,5
44,-,,猫邪,2002,5
45,-,,ｱﾆﾘｿ,2001,5
46,-,,りるどーぷ,2001,5
47,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,2001,5
48,-,,明桜,2001,5
49,-,,カカオ戌,2001,5
50,-,,nishi,2000,5
