,-,職業,キャラクター,レベル,転生回数
1,-,,ぜおにゃん,1500,5
2,-,,パーマ＠,1500,5
3,-,,ﾓｰﾈﾙ,1500,5
4,-,,すなふちゃん,1500,5
5,-,,える嬢,1500,5
6,-,,ましろ,1500,5
7,-,,ヤニカス幼女,1500,5
8,-,,弓子,1500,5
9,-,,よーいどーん,1500,5
10,-,,ｺﾞｰﾙﾃﾞﾝﾐｻﾐｻ,1500,5
11,-,,みか☆えりす,1500,5
12,-,,ぷぴぃ銃,1500,5
13,-,,ELGIN,1500,5
14,-,,粉砕の祈り,1500,5
15,-,,背中の壺,1500,5
16,-,,るるたん,1500,5
17,-,,おもぐり,1500,5
18,-,,ワイアットアープ,1500,5
19,-,,akairosignal,1500,5
20,-,,きんちゃん2026,1500,5
21,-,,EternalSky,1500,5
22,-,,penta,1500,5
23,-,,潤羽るしふぁー,1500,5
24,-,,ねむみちゃん,1500,5
25,-,,Saphir,1500,5
26,-,,ケイ,1500,5
27,-,,ベイムババア,1500,5
28,-,,襲う波,1500,5
29,-,,しみにー,1500,5
30,-,,ｳｰﾆｬｰﾙｰﾊﾟｰ,1500,5
31,-,,ジェノ氏,1500,5
32,-,,きんぎょ。,1500,5
33,-,,ふぁるけってぃあ,1500,5
34,-,,アリスワンダー,1500,5
35,-,,しぐっぽい,1500,5
36,-,,Bligh,1500,5
37,-,,レジェンド校長,1500,5
38,-,,向上箱狙いめっち,1500,5
39,-,,さぶる,1500,5
40,-,,ねるねる,1500,5
41,-,,マヌケ,1500,5
42,-,,金鯖太郎,1500,5
43,-,,メタラー,1500,5
44,-,,ヒママ,1500,5
45,-,,しろ,1500,5
46,-,,さけのいきおい！,1500,5
47,-,,Andalusite,1500,5
48,-,,ベイムジジイ,1500,5
49,-,,コロリナ,1500,5
50,-,,デスガンぶっころ,1500,5
