1位,,獣人,Moniak16,1001,5
2位,,獣人,獣人,1001,5
3位,,獣人,ちいさめA,1000,5
4位,,獣人,ヤスダ,1000,5
5位,,光奏師,金ぜの,1000,0
6位,,獣人,パロ,969,5
7位,,獣人,トッティ,964,5
8位,,獣人,アカツキ,941,1
9位,,獣人,ページワン,939,0
10位,,獣人,毒林檎ミィ☆,935,5
11位,,獣人,DroHun,931,2
12位,,獣人,ICEBOX,930,5
13位,,獣人,るてきん,928,0
14位,,獣人,かみちゃん,927,5
15位,,獣人,RS大好きﾌﾟﾚｲﾔｰ,926,0
16位,,獣人,かざまいろは,925,5
17位,,獣人,おもちさん,920,5
18位,,獣人,ルルフェル,920,5
19位,,獣人,スペちゃん,918,0
20位,,獣人,ggmarlborogg,917,4
21位,,光奏師,ぶるじょあ,916,2
22位,,獣人,レーニア,914,5
23位,,光奏師,台所の黒い奴,914,3
24位,,光奏師,すふにゃ,913,5
25位,,獣人,獣ver,912,5
26位,,獣人,アリアリＱ,912,2
27位,,獣人,hobbyhell,911,5
28位,,獣人,先っちょだけの人,911,0
29位,,獣人,ひゅーねるΣ,910,5
30位,,獣人,みぐ,907,0
31位,,獣人,にゃん,907,0
32位,,獣人,金鳥の夏,906,5
33位,,獣人,Yuiji,906,0
34位,,獣人,チャンナラ,905,5
35位,,獣人,マーガレット,905,5
36位,,光奏師,岸和田地車漢,905,5
37位,,獣人,Kikki,904,5
38位,,光奏師,魔法致命おじさん,904,0
39位,,獣人,AkairoSignal,903,5
40位,,獣人,がくぽん,903,3
41位,,獣人,ウィゼル,902,5
42位,,獣人,shikica,902,1
43位,,獣人,淡麗淡口醤油,902,0
44位,,獣人,ステイメン´,901,5
45位,,獣人,malaki,901,0
46位,,獣人,たこしゅ☆彡,900,5
47位,,獣人,Rinoah,900,5
48位,,獣人,夕さまっ,900,3
49位,,光奏師,ひかりかなでし,900,2
50位,,光奏師,マトイ,900,1
51位,,獣人,CampbellEarly,897,4
52位,,獣人,Blue_G,897,0
53位,,獣人,被検体775E,897,0
54位,,獣人,味噌マイスター,896,4
55位,,獣人,兎咲ミミ,896,4
56位,,獣人,みこそうし,896,4
57位,,獣人,美樹さやか,896,0
58位,,獣人,ﾒﾒﾀｰ,896,0
59位,,獣人,ぺペリオ,895,4
60位,,獣人,サミDeeeeN,895,0
61位,,獣人,NaTTsU,895,0
62位,,獣人,ゆら猫,895,0
63位,,光奏師,ともよん,895,0
64位,,光奏師,インビゴかけ太郎,895,0
65位,,光奏師,なよい。,895,0
66位,,獣人,輝く頭皮,894,4
67位,,獣人,紅い蝶,894,0
68位,,獣人,foxfood,894,0
69位,,光奏師,ゼイ,892,3
70位,,獣人,†漆原†,892,0
71位,,獣人,Therianthropy,892,0
72位,,獣人,ティノビー,892,0
73位,,獣人,さすがにヤシガニ,892,0
74位,,光奏師,Gol_ゆりぽん,892,0
75位,,獣人,怪獣ななせまりゅ,891,4
76位,,獣人,ひまじんの獣人,890,4
77位,,獣人,暇な獣人,889,0
78位,,獣人,ランページ竹田,888,4
79位,,光奏師,大咲エジル,888,3
80位,,獣人,☆ティト☆,888,0
81位,,獣人,珠藻,887,3
82位,,獣人,三ツ矢サイダー,887,2
83位,,獣人,もちもちのだんご,886,0
84位,,獣人,ogiogi,885,4
85位,,獣人,かなえマン,885,4
86位,,獣人,引退した冒険家,885,0
87位,,獣人,Lucy,883,0
88位,,獣人,どすこい高橋,882,3
89位,,光奏師,LightFantasy,882,0
90位,,獣人,双らぅりぃ双,879,0
91位,,獣人,DA_02,878,0
92位,,光奏師,Potora,875,4
93位,,獣人,マサマサ,875,0
94位,,獣人,折り紙公理,874,4
95位,,獣人,夏休み,873,0
96位,,獣人,リンイル獣,872,0
97位,,獣人,☆若鯱屋☆,871,0
98位,,光奏師,菜の花丸,869,0
99位,,獣人,ににやあんこ,866,0
100位,,光奏師,楽天ｻｰﾋﾞｽ（卵）,866,0
101位,,獣人,ガトーショコラ,865,2
102位,,獣人,ローラン,865,0
103位,,獣人,おじかん,865,0
104位,,獣人,なないろ,862,0
105位,,獣人,スサノヲφ,859,0
106位,,獣人,FOX大帝国くん,856,1
107位,,光奏師,うにゃ［E］,854,0
108位,,獣人,レンビゴ,852,0
109位,,獣人,GANDER,827,2
110位,,光奏師,Harken,826,0
111位,,獣人,リューベル,824,4
112位,,光奏師,リルイル獣,815,1
113位,,光奏師,maccho12,802,0
114位,,獣人,ポヤトス,801,0
115位,,獣人,オボロヅキ,800,0
116位,,獣人,Y_Toma,793,0
117位,,獣人,うさだぺこら,788,0
118位,,獣人,Porankov,768,0
119位,,獣人,かまぼこ猫,757,0
120位,,獣人,ｶﾞﾝﾊﾞbeast．,756,0
121位,,獣人,ドギョマ,754,0
122位,,獣人,ｷｬﾌﾟﾃﾝUSA【獣】,753,0
123位,,獣人,cafe_latte,752,4
