順位,職業,キャラクター,レベル,ポイント
,,ZODIAC6168,1424,20346
,,はなおとめ,1313,10891
,,9rpm,1723,5293
4,,おーいえ,1766,4612
5,,さなっしー,1753,4400
6,,ｲﾝﾀｰﾈｯﾄ撲殺ﾏﾝ,1365,4348
7,,アル・シェリ,965,4161
8,,ScarletRuby,929,3988
9,,らっきーよだすけ,1718,3472
10,,sevencraw,1031,3338
11,,残兵首領,1461,3138
12,,捨ノ型・生生流転,1748,2717
13,,ハスラム,1065,2687
14,,愛犬サクラ,1787,2631
15,,Diamant,983,2616
16,,岡部誠∵,1550,2461
17,,ｷｰｽ･ｶｲ,1263,2413
18,,誇り無き教主,1323,2403
19,,ヘビー,1215,2328
20,,＋カイト＋,1754,2323
21,,katsuxxx,1739,2247
22,,ぷーちゃん♪,1810,2181
23,,らいみん,1259,2147
24,,風の歌,1699,2116
25,,RelMayer,1724,2115
26,,シル星,1781,2110
27,,じみ～,1748,2102
28,,戦士ちゃま,1420,1998
29,,【ポッセ】,1684,1996
30,,ゅぅぁ,1708,1978
31,,カラー、,1051,1971
32,,ループド,1719,1970
33,,間衣華,1742,1960
34,,ooよーだoo,1256,1869
35,,covid,1724,1844
36,,アネット姫,716,1823
37,,↑ウラチャ↑,1248,1812
38,,狛狗,1745,1776
39,,CV種田梨沙,1707,1764
40,,Spallow_Tail,1534,1722
41,,おいえ天使,1400,1678
42,,シュガ♪,1586,1648
43,,☆ショップ☆,1737,1647
44,,ナイア君,875,1637
45,,マイシャローナ,1405,1609
46,,趣味は・・・矢,1786,1597
47,,皇虎,1026,1571
48,,おじろくん,1756,1527
49,,みゅうごろう,1536,1504
50,,Crewd,1428,1499
51,,アンヘル＿,1320,1485
52,,イチゴ大福姫,1339,1476
53,,神風の隼,1697,1467
54,,マリジェンヌ,1131,1464
55,,カマキリ令嬢,1775,1450
56,,さなっしーJr,1213,1444
57,,狼煌,1414,1436
58,,二代目おいえ,1273,1434
59,,ピレッソ,1705,1431
60,,BILL・PEACE,1140,1429
61,,heet,961,1423
62,,RAD大好き,1709,1391
63,,狼輝,1768,1382
64,,トラウトサーモン,1742,1380
65,,最強姫あ,1589,1379
66,,NIFCO,559,1366
67,,§エス§,1524,1361
68,,￡Gazelle,1458,1335
69,,ぷいきゅあ～,1614,1323
70,,ｂｏｗ‐ｗｏｗ,1759,1317
71,,Vergiftung,1004,1313
72,,CV水瀬いのり,1676,1312
73,,アーリア。,1732,1305
74,,城咲ロミオ,1663,1299
75,,つんで･れい,1715,1279
76,,新撰組近藤,975,1277
77,,peace。,1568,1272
78,,イフリィート,1404,1263
79,,ranko_star,1732,1261
80,,☆ぷりんちゃん,778,1254
81,,めぎぃ,1466,1253
82,,UltimateRAD,1719,1245
83,,未來♪,1258,1242
84,,Tummy,1321,1238
85,,笛吹奏,1484,1229
86,,ワユ,1592,1213
87,,Lacris,1501,1213
88,,えいしぐ,1501,1200
89,,Gazelle_tim,1257,1199
90,,るーしぇ。,995,1199
91,,swordko,1710,1197
92,,お～い恋茶,1756,1186
93,,弓兵頭,1731,1183
94,,yamada3000,1678,1175
95,,花鳥くん,1257,1169
96,,たこち,1728,1165
97,,ピノーサ,981,1160
98,,グレープミント,1118,1155
99,,るてさん。,1624,1154
100,,＊鷹＊,1141,1147
